"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER44L","HER44L_2A_169",9.55,946.83,6.55,1,24487,73721,1.4,12,63,86,87,528,265,29,216,25010,99,133,58,1747,140,1334,947,35358,7007
"HER44L","HER44L_2A_170",9.6,952.56,6.55,1,23034,73012,1.42,25,48,88,104,1048,365,40,292,25669,78,153,47,1442,171,2098,950,32393,7214
"HER44L","HER44L_2A_171",9.65,958.29,6.55,1,22132,70147,1.49,37,35,87,195,1304,453,48,254,23642,154,111,70,1313,204,2514,670,30915,7245
"HER44L","HER44L_2A_172",9.7,964.03,6.54,1,22244,72091,1.42,27,29,67,215,1204,287,33,292,24964,102,122,178,1381,176,2189,681,31674,7531
"HER44L","HER44L_2A_173",9.75,969.76,6.53,1,23110,78962,1.55,51,43,49,414,1125,425,10,380,31226,137,151,194,966,325,2346,856,31941,7433
"HER44L","HER44L_2A_174",9.8,975.5,6.53,1,22813,72474,1.39,46,49,52,357,1146,539,29,321,23064,126,129,169,1307,264,2625,730,33326,7570
"HER44L","HER44L_2A_175",9.85,981.23,6.52,1,24680,77718,1.58,35,50,76,170,883,395,90,339,27121,122,105,121,1730,195,1922,700,35554,7505
"HER44L","HER44L_2A_176",9.9,986.97,6.51,1,25164,78963,1.36,30,40,64,169,825,325,16,341,27839,122,176,118,2047,53,1764,1176,35949,7229
"HER44L","HER44L_2A_177",9.95,992.7,6.5,1,24781,79984,1.65,24,41,88,249,1027,539,40,387,29958,194,140,94,1942,318,1764,937,34366,7208
"HER44L","HER44L_2A_178",10,998.44,6.5,1,23325,73427,1.22,39,49,69,246,1052,402,29,302,27522,97,99,127,1683,128,1429,876,31521,7051
"HER44L","HER44L_2A_179",10.05,1004.17,6.49,1,23092,76072,1.43,27,54,94,228,1076,874,61,359,29729,72,264,140,1546,244,1808,842,30844,7043
"HER44L","HER44L_2A_180",10.1,1009.91,6.48,1,22272,71054,1.51,37,47,80,146,1344,342,32,370,25609,182,111,139,1318,359,2554,878,29902,6995
"HER44L","HER44L_2A_181",10.15,1015.64,6.47,1,20866,65861,1.46,25,53,77,164,1058,307,14,306,22001,396,241,133,1190,299,2876,557,28444,6885
"HER44L","HER44L_2A_182",10.2,1021.38,6.46,1,19490,60367,1.48,22,52,73,165,1130,236,20,317,19533,155,121,126,1105,67,2070,610,27412,6211
"HER44L","HER44L_2A_183",10.25,1027.11,6.44,1,20024,67948,1.35,42,38,81,274,1044,407,23,495,27301,114,196,211,769,266,1945,547,26273,6826
"HER44L","HER44L_2A_184",10.3,1032.85,6.43,1,20440,66935,1.51,59,37,72,421,1380,276,31,335,24984,130,90,110,962,221,2230,670,26778,7188
"HER44L","HER44L_2A_185",10.35,1038.58,6.43,1,19183,59031,1.36,17,25,44,129,928,264,28,238,19203,109,43,67,1035,275,2426,472,26725,6533
"HER44L","HER44L_2A_186",10.4,1044.31,6.44,1,20410,65970,1.38,31,39,45,171,848,336,48,327,24389,72,80,79,1273,309,2166,904,27809,6374
"HER44L","HER44L_2A_187",10.45,1050.05,6.45,1,21756,76171,1.29,30,33,65,182,1221,584,43,418,32595,111,219,154,1242,311,2423,621,28268,6997
"HER44L","HER44L_2A_188",10.5,1055.78,6.47,1,21173,72406,1.51,55,45,61,201,1091,526,42,406,30473,71,108,135,1274,292,1887,603,27531,6617
"HER44L","HER44L_2A_189",10.55,1061.52,6.48,1,21793,77542,1.56,27,50,62,275,1361,690,0,575,35714,73,123,154,966,214,2503,659,27053,6507
"HER44L","HER44L_2A_190",10.6,1067.25,6.5,1,21897,79342,1.53,39,29,38,239,1694,459,49,540,35008,111,75,231,1049,324,3096,978,27556,7126
"HER44L","HER44L_2A_191",10.65,1072.99,6.51,1,22104,78347,1.41,64,53,75,269,1540,567,36,497,34427,111,111,128,1196,184,2820,904,28086,6632
"HER44L","HER44L_2A_192",10.7,1078.72,6.5,1,21384,74698,1.6,66,34,68,211,1582,526,42,463,31673,68,107,96,888,224,2666,554,27732,7057
"HER44L","HER44L_2A_193",10.75,1084.46,6.49,1,20880,69341,1.4,28,83,68,267,1443,340,57,336,25865,65,79,49,1012,318,2737,666,28436,6841
"HER44L","HER44L_2A_194",10.8,1090.19,6.48,1,21017,68281,1.27,25,56,63,265,1391,341,51,303,24138,81,33,94,892,380,2262,631,29445,7066
"HER44L","HER44L_2A_195",10.85,1095.93,6.49,1,21226,70411,1.34,51,51,81,239,1554,361,44,385,26022,124,119,149,1156,349,2492,563,29130,6968
"HER44L","HER44L_2A_196",10.9,1101.66,6.5,1,22270,78153,1.43,40,15,52,284,1690,484,12,520,33159,119,205,243,1075,264,2626,607,29247,6875
"HER44L","HER44L_2A_197",10.95,1107.4,6.51,1,21975,77570,1.36,24,43,88,286,1369,563,19,513,33194,81,137,154,1108,372,2385,636,28635,7133
"HER44L","HER44L_2A_198",11,1113.13,6.53,1,22870,84144,1.46,28,45,66,289,1523,665,78,627,40042,77,93,80,1268,243,2026,895,28559,6843
"HER44L","HER44L_2A_199",11.05,1118.87,6.55,1,22967,85233,1.51,46,48,79,248,1579,1042,93,683,41288,94,159,103,1186,388,1998,741,28146,6683
"HER44L","HER44L_2A_200",11.1,1124.6,6.57,1,22484,82007,1.44,49,15,78,340,1557,613,78,598,38308,110,128,161,986,406,2235,1036,28098,6614
"HER44L","HER44L_2A_201",11.15,1130.34,6.59,1,20886,74371,1.49,37,59,67,271,1482,537,33,512,33591,98,140,63,990,332,2203,590,26176,6578
"HER44L","HER44L_2A_202",11.2,1136.07,6.6,1,21416,79169,1.61,6,21,54,208,1560,1801,0,694,35768,136,140,161,963,326,2675,669,26302,6915
"HER44L","HER44L_2A_203",11.25,1141.8,6.61,1,21554,78810,1.35,21,25,57,237,1727,551,52,563,35052,112,142,155,1013,447,2931,919,26886,7176
"HER44L","HER44L_2A_204",11.3,1147.54,6.62,1,22424,82977,1.47,49,42,81,295,2272,916,73,633,38023,130,88,172,999,355,2917,823,27468,6804
"HER44L","HER44L_2A_205",11.35,1153.27,6.63,1,22502,82556,1.43,26,36,52,294,1986,722,57,643,38636,82,94,94,954,272,2177,958,28239,6728
"HER44L","HER44L_2A_206",11.4,1159.01,6.64,1,22428,82517,1.41,40,26,78,245,1969,728,12,654,37747,92,205,109,1010,396,2186,930,28284,6780
"HER44L","HER44L_2A_207",11.45,1164.74,6.65,1,22513,81988,1.39,58,38,78,316,1872,1256,63,615,35676,63,197,182,930,466,2166,1176,28653,7332
"HER44L","HER44L_2A_208",11.5,1170.48,6.66,1,22733,80144,1.41,39,41,76,259,1979,642,39,624,34230,131,152,145,1057,234,2416,858,29546,6729
"HER44L","HER44L_2A_209",11.55,1176.21,6.66,1,23288,85132,1.46,36,19,83,280,2067,755,64,777,37893,132,238,169,1088,410,2007,1328,30118,6911
"HER44L","HER44L_2A_210",11.6,1181.95,6.67,1,22801,81175,1.45,19,31,36,303,1798,1081,32,684,33877,90,128,198,1050,380,2254,995,30477,7149
"HER44L","HER44L_2A_211",11.65,1187.68,6.67,1,22725,78772,1.38,44,44,74,394,1697,705,18,567,31212,47,205,182,1118,416,2344,950,30871,7203
"HER44L","HER44L_2A_212",11.7,1193.42,6.68,1,23052,78488,1.37,41,49,48,265,1556,611,60,550,30296,181,190,156,1217,348,2003,1451,31537,7231
"HER44L","HER44L_2A_213",11.75,1199.15,6.69,1,23470,80741,1.52,27,29,60,249,1489,528,35,555,32331,102,135,187,1311,308,2173,964,32415,7099
"HER44L","HER44L_2A_214",11.8,1204.89,6.69,1,23634,80234,1.57,54,50,75,277,1460,667,74,575,30998,81,183,86,1460,275,1979,714,32967,7406
"HER44L","HER44L_2A_215",11.85,1210.62,6.7,1,24418,81263,1.45,12,46,64,220,1362,631,5,557,29184,93,167,182,1544,371,2110,2054,34484,7312
"HER44L","HER44L_2A_216",11.9,1216.36,6.71,1,24706,81625,1.37,28,34,69,215,1577,547,41,567,30360,109,169,159,1612,384,1962,1003,34916,7401
"HER44L","HER44L_2A_217",11.95,1222.09,6.72,1,25009,81775,1.44,19,29,57,327,1521,598,67,547,29999,116,209,62,1628,282,1842,1065,35545,7416
"HER44L","HER44L_2A_218",12,1227.82,6.73,1,25452,84169,1.37,36,64,79,301,1696,718,54,531,31825,179,149,146,1801,240,2020,794,35365,7354
"HER44L","HER44L_2A_219",12.05,1284.4,6.74,1,24930,82859,1.47,42,42,61,250,1551,644,67,537,31907,93,194,178,1693,162,1804,782,34922,7017
"HER44L","HER44L_2A_220",12.1,1340.97,6.74,1,24666,81612,1.48,53,81,100,323,1521,683,69,548,31234,128,181,140,1467,109,1905,841,34470,6959
"HER44L","HER44L_2A_221",12.15,1397.54,6.74,1,24204,79608,1.56,39,51,69,266,1745,458,36,457,30034,187,206,114,1495,103,2014,888,33880,6984
"HER44L","HER44L_2A_222",12.2,1454.11,6.75,1,23212,76480,1.25,30,65,60,209,1473,481,33,411,27001,117,137,125,1693,137,1852,822,34096,7256
"HER44L","HER44L_2A_223",12.25,1510.68,6.77,1,23165,74368,1.31,19,39,49,254,1306,401,72,442,25724,133,257,207,1722,63,1490,735,33931,6925
"HER44L","HER44L_2A_224",12.3,1567.25,6.78,1,23878,75749,1.39,44,52,70,210,1201,490,84,478,25780,85,255,135,1724,172,1772,811,34822,7113
"HER44L","HER44L_2A_225",12.35,1623.82,6.77,1,24404,76038,1.43,58,86,77,292,1164,453,64,445,24812,165,270,156,1721,202,1496,1053,35589,7477
"HER44L","HER44L_2A_226",12.4,1680.39,6.77,1,24765,80215,1.41,17,28,88,245,1169,449,85,552,28706,145,139,107,1681,141,1783,843,35919,7456
"HER44L","HER44L_2A_227",12.45,1736.96,6.77,1,25036,81634,1.4,28,40,85,250,1453,652,67,471,29588,111,294,216,1555,195,1990,922,35594,7436
"HER44L","HER44L_2A_228",12.5,1793.53,6.77,1,24956,81672,1.43,37,25,73,258,1517,548,23,419,29427,142,158,138,1446,288,1877,961,36018,7406
"HER44L","HER44L_2A_229",12.55,1850.11,6.77,1,24797,81250,1.23,0,46,64,270,1266,661,77,513,29220,129,242,201,1495,401,2165,1040,35276,7478
"HER44L","HER44L_2A_230",12.6,1906.68,6.78,1,24595,78273,1.31,48,54,80,212,1233,674,42,443,26449,135,161,139,1892,184,2026,813,35416,7367
"HER44L","HER44L_2A_231",12.65,1963.25,6.78,1,24939,80948,1.3,46,28,69,242,1331,605,46,461,29058,182,241,91,1769,335,1896,981,35423,7198
"HER44L","HER44L_2A_232",12.7,2019.82,6.78,1,24811,78593,1.37,0,39,67,213,1287,748,22,532,27422,104,188,150,1604,303,1616,991,35487,7213
"HER44L","HER44L_2A_233",12.75,2076.39,6.78,1,24897,79186,1.44,32,71,86,288,1133,469,82,468,28291,105,170,186,1611,158,1666,889,35478,7336
"HER44L","HER44L_2A_234",12.8,2132.96,6.78,1,25038,78447,1.56,23,61,88,266,1184,474,43,436,26527,105,223,172,1762,282,1683,737,36218,7427
"HER44L","HER44L_2A_235",12.85,2189.53,6.78,1,25116,79020,1.41,30,34,88,218,1293,449,43,428,26380,102,156,141,1556,510,1742,728,36773,7569
"HER44L","HER44L_2A_236",12.9,2246.1,6.79,1,25696,84683,1.47,25,37,87,218,1445,621,94,541,31220,81,222,141,1777,321,1996,1145,36738,7444
"HER44L","HER44L_2A_237",12.95,2302.67,6.79,1,26312,86869,1.47,31,75,67,235,1325,674,55,643,33563,123,205,203,1748,165,1605,1211,37040,7395
"HER44L","HER44L_2A_238",13,2359.24,6.79,1,26914,86637,1.47,15,64,68,250,1511,556,68,469,32291,114,212,200,1893,151,2037,796,37794,7588
"HER44L","HER44L_2A_239",13.05,2415.82,6.79,1,26839,85412,1.3,27,48,104,213,1374,621,47,549,31435,125,196,183,1893,162,1645,729,37896,7501
"HER44L","HER44L_2A_240",13.1,2472.39,6.79,1,25998,81455,1.31,5,36,73,222,1236,506,66,423,29120,188,196,174,1803,219,1529,861,36852,7394
"HER44L","HER44L_2A_241",13.15,2528.96,6.8,1,25240,81587,1.44,34,39,91,213,1374,653,50,421,29823,170,201,126,1737,397,1706,837,35809,7015
"HER44L","HER44L_2A_242",13.2,2585.53,6.8,1,24460,81102,1.69,47,52,73,325,1604,734,43,476,32075,68,203,140,1497,371,1477,708,33992,6757
"HER44L","HER44L_2A_243",13.25,2642.1,6.8,1,24034,82183,1.36,67,59,77,329,1530,493,56,521,33782,125,162,193,1493,396,1776,829,32705,6955
"HER44L","HER44L_2A_244",13.3,2698.67,6.8,1,24126,81244,1.48,44,54,64,314,1415,902,30,511,33637,53,153,149,1360,367,1923,917,31921,6963
"HER44L","HER44L_2A_245",13.35,2755.24,6.79,1,24004,81587,1.51,61,73,53,339,1357,638,36,478,33353,112,72,160,1508,338,1900,903,31955,6974
"HER44L","HER44L_2A_246",13.4,2811.81,6.78,1,23189,78347,1.34,55,20,57,299,1558,579,77,441,30823,128,222,235,1458,269,2064,700,31448,7262
"HER44L","HER44L_2A_247",13.45,2868.38,6.78,1,23164,77357,1.38,38,31,65,405,1781,809,23,457,30610,111,152,99,1163,322,2126,647,31180,7031
"HER44L","HER44L_2A_248",13.5,2924.95,6.78,1,22981,77980,1.56,60,60,67,353,1843,597,41,484,30464,92,147,134,1252,323,2078,669,31875,6959
"HER44L","HER44L_2A_249",13.55,2981.53,6.77,1,24048,85083,1.55,72,70,75,357,1829,949,62,486,35839,128,191,227,1299,308,2369,834,32347,7203
"HER44L","HER44L_2A_250",13.6,3038.1,6.77,1,23729,80962,1.38,23,70,80,377,1569,648,54,484,31286,127,192,103,1370,182,2311,685,33158,7319
"HER44L","HER44L_2A_251",13.65,3094.67,6.77,1,24481,84564,1.37,66,54,56,505,1423,785,46,461,34555,138,93,182,1311,317,2069,841,33376,7518
"HER44L","HER44L_2A_252",13.7,3151.24,6.77,1,24313,80542,1.51,56,84,73,325,1305,415,57,376,29821,121,218,86,1579,175,1781,1114,34741,7586
"HER44L","HER44L_2A_253",13.75,3207.81,6.77,1,24483,80140,1.49,26,51,72,255,1215,478,59,399,29677,153,149,62,1449,328,1790,726,35192,7309
"HER44L","HER44L_2A_254",13.8,3264.38,6.78,1,24162,80315,1.46,41,53,68,360,1238,630,63,441,30111,171,220,230,1459,313,1909,721,33982,7180
"HER44L","HER44L_2A_255",13.85,3320.95,6.79,1,23929,77985,1.36,42,63,80,276,1297,471,64,408,29903,111,227,203,1443,208,1618,786,33353,6744
"HER44L","HER44L_2A_256",13.9,3377.52,6.79,1,23902,82760,1.38,40,87,71,288,1453,530,86,550,34102,171,204,134,1552,336,1886,753,32882,6704
"HER44L","HER44L_2A_257",13.95,3434.09,6.8,1,22972,79078,1.36,55,74,74,279,1226,623,62,565,32747,116,132,121,1106,342,1954,605,31922,6626
"HER44L","HER44L_2A_258",14,3490.66,6.8,1,23012,77030,1.51,26,49,67,312,1301,717,16,426,29433,62,98,144,1274,434,2231,857,31319,6851
"HER44L","HER44L_2A_259",14.05,3547.24,6.81,1,23182,77709,1.44,19,29,67,268,1530,534,47,436,30059,93,139,194,1460,211,2237,751,31910,7020
"HER44L","HER44L_2A_260",14.1,3603.81,6.81,1,23602,78836,1.26,34,44,66,272,1498,646,57,441,30727,137,214,166,1179,383,2125,842,32187,7224
"HER44L","HER44L_2A_261",14.15,3660.38,6.82,1,23684,77928,1.5,63,56,90,318,1171,572,41,394,30773,109,255,84,1393,256,1802,812,32056,6883
"HER44L","HER44L_2A_262",14.2,3716.95,6.82,1,23791,78145,1.43,29,36,75,299,1304,1471,22,634,29022,99,183,206,1401,108,1925,1168,32416,7109
"HER44L","HER44L_2A_263",14.25,3773.52,6.81,1,23641,77837,1.5,46,40,80,289,1210,585,26,462,29634,133,207,111,1292,319,1679,814,32847,7339
"HER44L","HER44L_2A_264",14.3,3830.09,6.81,1,24184,82130,1.54,37,78,80,265,1534,1245,35,504,32798,113,158,112,1321,234,2096,751,33031,7132
"HER44L","HER44L_2A_265",14.35,3886.66,6.8,1,25122,86233,1.52,48,48,59,277,1516,854,50,469,34963,107,155,129,1491,483,2238,1378,33829,7596
"HER44L","HER44L_2A_266",14.4,3943.23,6.79,1,25252,87177,1.46,41,59,65,274,1644,837,59,467,35155,167,206,172,1498,372,2263,1068,35184,7209
"HER44L","HER44L_2A_267",14.45,3999.8,6.79,1,26494,94151,1.33,43,93,99,290,1644,735,80,520,39493,117,269,145,1430,300,2143,1216,36951,7882
"HER44L","HER44L_2A_268",14.5,4056.37,6.79,1,27479,95369,1.44,34,95,84,286,1319,581,59,531,39523,101,235,160,1570,160,2032,872,39082,7995
"HER44L","HER44L_2A_269",14.55,4112.95,6.78,1,28330,98567,1.45,36,73,80,223,1252,661,73,518,40578,92,189,173,2161,279,1707,912,40584,8106
"HER44L","HER44L_2A_270",14.6,4169.52,6.78,1,28892,98924,1.39,17,78,87,260,1140,596,37,495,39523,188,209,100,1872,276,1515,2064,41724,8089
"HER44L","HER44L_2A_271",14.65,4226.09,6.78,1,29139,92717,1.38,20,99,60,145,795,463,38,423,32679,120,164,69,2288,113,1340,1007,44120,7950
"HER44L","HER44L_2A_272",14.7,4282.66,6.78,1,29386,91495,1.45,25,109,95,144,768,336,45,320,30148,170,190,142,2346,89,958,1118,45408,8153
"HER44L","HER44L_2A_273",14.75,4339.23,6.78,1,29476,91362,1.33,20,56,69,113,732,274,53,273,30432,167,215,119,2464,238,884,886,45695,8017
"HER44L","HER44L_2A_274",14.8,4395.8,6.78,1,29488,91715,1.56,5,60,78,100,878,318,68,279,30720,137,257,144,2674,14,826,975,45621,7925
"HER44L","HER44L_2A_275",14.85,4452.37,6.78,1,28792,89322,1.46,27,86,70,210,962,386,29,255,27895,151,182,91,2318,187,1229,1071,45407,8064
"HER44L","HER44L_2A_276",14.9,4508.94,6.77,1,28792,87903,1.27,11,61,80,162,1006,350,27,269,26211,235,140,125,2322,75,1022,1159,45696,8167
"HER44L","HER44L_2A_277",14.95,4565.51,6.77,1,28975,91061,1.52,30,61,85,214,1199,516,58,295,27972,109,402,130,2556,144,1211,1065,46020,8235
"HER44L","HER44L_2A_278",15,4622.08,6.77,1,29075,89543,1.38,31,64,98,160,949,274,35,276,27835,155,267,176,2422,201,1118,1094,46039,7816
"HER44L","HER44L_2A_279",15.05,4678.66,6.77,1,29168,90385,1.3,45,64,110,154,1017,414,32,312,28967,201,101,193,2421,133,1192,928,45779,7808
"HER44L","HER44L_2A_280",15.1,4735.23,6.77,1,28732,86937,1.28,48,66,60,217,1063,340,69,304,25844,170,82,115,2338,143,1059,1022,45462,7837
"HER44L","HER44L_2A_281",15.15,4791.8,6.77,1,28678,86775,1.4,0,67,66,165,1079,463,48,270,25502,76,120,99,2532,188,1269,1205,45428,7855
"HER44L","HER44L_2A_282",15.2,4848.37,6.77,1,28818,88765,1.26,23,95,120,159,1146,453,25,388,27693,188,116,207,2559,112,1060,959,44858,7919
"HER44L","HER44L_2A_283",15.25,4904.94,6.77,1,28430,84967,1.35,50,84,89,117,911,606,70,364,24980,93,98,107,2626,10,986,1018,44288,7613
"HER44L","HER44L_2A_284",15.3,4961.51,6.77,1,28148,82637,1.4,20,56,76,107,820,258,15,214,22842,106,158,81,2515,101,1154,922,44968,7686
"HER44L","HER44L_2A_285",15.35,5018.08,6.77,1,28047,82352,1.35,18,47,55,157,919,247,33,218,21526,153,199,148,2294,253,1097,1094,45018,7887
"HER44L","HER44L_2A_286",15.4,5074.65,6.77,1,28478,84924,1.34,12,71,65,184,899,350,17,252,24429,161,126,123,2519,118,1222,1024,44903,7806
"HER44L","HER44L_2A_287",15.45,5131.22,6.77,1,28084,84971,1.42,27,48,67,130,892,338,23,239,26583,114,160,152,2311,224,1205,932,43360,7583
"HER44L","HER44L_2A_288",15.5,5187.79,6.77,1,27638,81208,1.32,7,62,66,107,647,261,30,235,24021,136,69,95,2159,168,1233,850,43058,7358
"HER44L","HER44L_2A_289",15.55,5244.37,6.77,1,27639,80718,1.38,19,57,83,92,698,195,51,235,22591,80,166,129,2616,91,1592,882,42873,7670
"HER44L","HER44L_2A_290",15.6,5300.94,6.77,1,27949,81939,1.49,14,97,70,123,791,214,58,206,24694,152,212,30,2374,58,1203,1247,42474,7217
"HER44L","HER44L_2A_291",15.65,5357.51,6.78,1,27066,79013,1.38,17,94,95,97,586,205,50,189,23345,104,233,6,2366,46,1170,1093,41112,7428
"HER44L","HER44L_2A_292",15.7,5414.08,6.78,1,26450,77320,1.36,19,76,74,107,696,209,33,198,23481,146,97,102,2366,0,1298,1043,39238,7377
"HER44L","HER44L_2A_293",15.75,5470.65,6.78,1,25899,77902,1.45,8,55,52,128,844,282,59,228,24923,161,140,134,2484,301,1393,949,37958,7123
"HER44L","HER44L_2A_294",15.8,5527.22,6.78,1,25474,79904,1.37,34,80,64,175,822,398,80,312,29961,177,159,109,2161,228,1232,1207,35039,6671
"HER44L","HER44L_2A_295",15.85,5583.79,6.78,1,23950,77810,1.35,9,113,80,171,1003,453,42,347,31432,117,212,75,1728,326,1473,671,32173,6631
"HER44L","HER44L_2A_296",15.9,5640.36,6.78,1,22921,76027,1.43,37,109,74,178,1089,582,55,322,30879,40,168,101,1603,245,1756,720,30734,6625
"HER44L","HER44L_2A_297",15.95,5696.93,6.77,1,22279,74326,1.46,27,46,46,175,835,662,41,355,30852,58,140,138,1475,115,1761,603,29652,6607
"HER44L","HER44L_2A_298",16,5753.5,6.76,1,23428,82382,1.47,69,92,68,299,1282,726,56,463,36228,118,205,92,1521,356,1898,854,30212,7022
"HER44L","HER44L_2A_299",16.05,5788.42,6.77,1,23112,83103,1.49,50,87,58,318,1290,1206,36,546,39639,95,199,148,1302,319,1885,585,28206,6530
"HER44L","HER44L_2A_300",16.1,5823.34,6.77,1,22361,78443,1.41,48,107,79,331,1579,507,57,449,36803,109,268,173,1186,306,2104,580,26644,6395
"HER44L","HER44L_2A_301",16.15,5858.25,6.77,1,21754,77859,1.38,94,114,72,322,1530,649,40,414,37045,87,177,194,1043,223,2398,571,25743,6477
"HER44L","HER44L_2A_302",16.2,5893.17,6.77,1,21370,78101,1.6,48,100,62,341,1737,601,73,500,37316,31,164,102,963,284,2483,547,25070,6811
"HER44L","HER44L_2A_303",16.25,5928.09,6.77,1,21447,80925,1.4,43,102,41,448,2184,1042,32,580,40014,145,190,187,840,442,2730,546,24065,6624
"HER44L","HER44L_2A_304",16.3,5963.01,6.78,1,20792,75574,1.62,27,61,58,354,1698,819,51,492,36230,100,154,190,999,359,2419,606,23621,6666
"HER44L","HER44L_2A_305",16.35,5997.92,6.78,1,20889,79158,1.42,57,69,62,319,2090,900,57,604,41088,85,86,138,724,179,2224,628,22911,6276
"HER44L","HER44L_2A_306",16.4,6032.84,6.79,1,20580,79066,1.62,45,85,64,354,1957,789,69,669,40576,82,129,174,594,371,2310,994,22781,6414
"HER44L","HER44L_2A_307",16.45,6067.76,6.79,1,20614,83229,1.56,49,60,41,355,2412,874,66,785,45332,82,98,184,546,358,2434,735,21862,6226
"HER44L","HER44L_2A_308",16.5,6102.67,6.79,1,19616,78935,1.55,92,61,44,414,2851,774,54,722,41298,113,128,183,546,199,2380,872,21163,6352
"HER44L","HER44L_2A_309",16.55,6137.59,6.8,1,19840,80342,1.34,84,69,59,433,3187,1683,68,789,40813,77,114,113,341,290,2994,880,21345,6376
"HER44L","HER44L_2A_310",16.6,6172.51,6.8,1,20392,82875,1.47,61,64,53,513,3283,1603,44,925,42459,113,0,203,447,348,3069,1154,21129,6512
"HER44L","HER44L_2A_311",16.65,6207.42,6.81,1,19841,80066,1.45,98,70,48,570,3292,795,40,860,42059,115,19,139,151,367,2766,1015,20666,6398
"HER44L","HER44L_2A_312",16.7,6242.34,6.81,1,19913,81835,1.51,88,57,51,459,3103,884,83,758,42904,112,90,246,401,389,2694,1126,21122,6376
"HER44L","HER44L_2A_313",16.75,6277.26,6.82,1,20624,82669,1.45,69,47,48,572,2769,1111,58,880,42787,56,114,142,430,398,3207,1182,21811,6580
"HER44L","HER44L_2A_314",16.8,6312.17,6.82,1,20948,85271,1.41,63,48,51,512,2858,975,94,914,45235,81,62,243,305,437,3120,788,22089,6543
"HER44L","HER44L_2A_315",16.85,6347.09,6.82,1,20882,84691,1.58,54,16,63,557,2802,1299,81,955,44986,83,31,177,370,316,2910,942,21789,6332
"HER44L","HER44L_2A_316",16.9,6382.01,6.83,1,20255,79575,1.58,59,28,55,478,2948,1316,44,814,40614,117,64,164,179,282,2766,791,21827,6329
"HER44L","HER44L_2A_317",16.95,6416.92,6.83,1,19892,75935,1.68,63,46,67,486,2981,927,0,748,37004,40,58,228,340,424,2936,912,21771,6514
"HER44L","HER44L_2B_122",17.05,6486.76,6.74,1,21078,85650,1.67,188,132,35,642,3520,827,65,842,43909,130,157,252,311,438,3169,1058,22280,7014
"HER44L","HER44L_2B_123",17.1,6521.68,6.73,1,21635,88723,1.73,180,130,39,811,3634,1215,77,872,45826,42,23,197,390,328,3052,936,22973,7276
"HER44L","HER44L_2B_124",17.15,6556.59,6.73,1,21654,86947,1.72,225,178,44,772,3751,874,69,738,43241,13,157,260,534,496,3141,933,23560,7261
"HER44L","HER44L_2B_125",17.2,6591.51,6.73,1,22111,91023,1.63,267,169,47,821,3995,1041,33,845,47283,124,112,244,489,396,3162,1837,22227,6977
"HER44L","HER44L_2B_126",17.25,6626.43,6.72,1,19851,75697,1.55,217,116,39,650,3251,809,33,686,34884,65,114,175,336,290,3322,802,21410,6917
"HER44L","HER44L_2B_127",17.3,6661.34,6.72,1,20184,78745,1.5,222,104,21,787,3555,848,61,726,37327,131,103,310,257,316,3256,995,21666,6783
"HER44L","HER44L_2B_128",17.35,6696.26,6.71,1,18840,72059,1.6,203,96,47,592,2914,713,35,589,33832,113,104,224,317,318,2962,550,21104,6822
"HER44L","HER44L_2B_129",17.4,6731.18,6.7,1,19408,75925,1.55,249,125,23,620,2973,837,47,660,36551,63,8,250,323,376,3182,958,21008,6917
"HER44L","HER44L_2B_130",17.45,6766.09,6.69,1,19911,82609,1.76,268,100,34,591,3207,1191,0,751,43981,9,46,189,419,410,3030,618,20516,6520
"HER44L","HER44L_2B_131",17.5,6801.01,6.69,1,17723,66867,1.52,245,116,50,687,3278,793,23,565,29932,62,0,175,447,227,2968,594,19771,6335
"HER44L","HER44L_2B_132",17.55,6835.93,6.69,1,17959,68397,1.56,230,77,34,520,3204,584,27,543,31366,75,27,153,186,327,2912,1139,19636,6334
"HER44L","HER44L_2B_133",17.6,6870.84,6.7,1,19012,78010,1.63,233,75,27,738,3394,1027,72,788,39077,48,169,198,312,368,3102,879,20410,6514
"HER44L","HER44L_2B_134",17.65,6905.76,6.7,1,18480,72027,1.68,224,69,34,765,3929,744,11,658,32399,118,0,135,368,335,3401,1508,20088,6562
"HER44L","HER44L_2B_135",17.7,6940.68,6.7,1,17410,67550,1.47,184,78,37,787,3482,866,10,653,30132,124,0,94,117,353,3309,738,19324,6467
"HER44L","HER44L_2B_136",17.75,6975.59,6.7,1,18772,75814,1.82,201,81,34,769,3789,1858,76,782,37395,50,0,138,227,435,3101,903,19294,6230
"HER44L","HER44L_2B_137",17.8,7010.51,6.71,1,17680,71585,1.5,172,67,29,690,3368,1026,64,644,35111,93,58,164,306,277,2807,789,19305,6070
"HER44L","HER44L_2B_138",17.85,7045.43,6.71,1,17619,68959,1.51,221,57,34,679,3273,791,62,607,31840,89,116,261,246,317,2960,806,19802,6235
"HER44L","HER44L_2B_139",17.9,7080.35,6.71,1,18388,73295,1.62,153,57,34,650,3520,1279,54,695,34720,112,96,143,400,249,2979,1261,19797,6516
