"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Si","Ca","Ti","Mn","Fe","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2B","HER44L_2B_766",49.25,9714.97,7.42,1,25834,99230,1.54,-0.903301270653517,-2.69716822222114,0.430036363480125,-0.360976979828155,-0.735114224794467,3.76045554854959,-2.2625950299549,-1.81959200252767,0.324182447047518,-1.40713385892854,0.566753574991426,3.27270412257253,1.8317495322672,4.22516737259188,0.236677014616479,-0.54320703326903,-1.33489002348088,-0.791682990211849
"HER44L","HER44L_2B","HER44L_2B_767",49.3,9717.84,7.42,1,25166,95242,1.62,-1.07722322345988,-2.79760602984571,0.407306088005108,-0.372213507590114,-0.796126029635583,3.6311021843503,-2.58249465022876,-1.07722322345988,0.298273192313223,-1.00807125563976,0.39369302725226,3.23333560780448,1.74724782013433,4.42025495750708,0.226231294260903,-0.706219262127298,-1.48637781967687,-0.780158557549575
"HER44L","HER44L_2B","HER44L_2B_768",49.35,9720.71,7.42,1,24725,91912,1.48,-1.02545441897416,-2.76005547436226,0.374834694432845,-0.133978856219726,-0.703441965238628,3.67040297788,-2.29178946501507,-1.69438734141351,0.344780301128389,-1.34298945457562,0.460485629824999,3.29167415281058,1.80991921972217,4.40115107913669,0.227213286256048,-0.892924021213979,-1.40213869014104,-0.509214668927063
"HER44L","HER44L_2B","HER44L_2B_769",49.4,9723.58,7.42,1,24189,89734,1.48,-0.975954621887098,-2.50339756761958,0.382234844912684,-0.248751936914658,-0.755123210331268,3.64395626863873,-2.580784231235,-1.33958208514071,0.329815776436632,-1.42629148417244,0.484323982188328,3.24552098675041,1.74403327837399,4.48889227023737,0.22277210942002,-0.728398130030745,-1.3599076059467,-0.631509475915951
"HER44L","HER44L_2B","HER44L_2B_770",49.45,9726.46,7.41,1,24172,92260,1.39,-0.922292119501727,-2.63024363145769,0.51947124057179,-0.0993518684278658,-0.654529952011795,3.65807404044028,-2.26887384321475,-2.15291396211988,0.327725689423129,-1.28906970561827,0.561925789797537,3.19433259264897,1.75574572947027,4.21520656314093,0.237236297918187,-0.824137955384107,-1.44339341897229,-0.61925546358818
"HER44L","HER44L_2B","HER44L_2B_771",49.5,9729.33,7.41,1,23716,88854,1.44,-0.996271587996358,-2.43933487901749,0.498689076915858,-0.14613952637328,-0.715234058263246,3.57743754611894,-2.1776897803487,-1.81384634693136,0.139181269892822,-1.26572493842167,0.517326202914603,3.12779607567795,1.69381094583193,4.1958639292672,0.238329940355013,-0.851398165769175,-1.49667543848061,-0.645277272711431
"HER44L","HER44L_2B","HER44L_2B_772",49.55,9732.2,7.41,1,23245,87908,1.42,-0.756165210844007,-2.39294857716864,0.752397935203525,-0.221352143404814,-0.521908305065806,3.65648126388454,-3.1794276975208,-2.10279431557147,0.155103296836747,-1.13313836315787,0.680386262540048,3.22493800971959,1.83842784454894,4.00129515038135,0.249919079302284,-0.535612402748446,-1.5100654386209,-0.97445303587245
"HER44L","HER44L_2B","HER44L_2B_773",49.6,9735.07,7.41,1,22769,84684,1.56,-0.694757373593562,-2.8445797120352,0.812120843714504,-0.170431062608669,-0.4995739031572,3.65995793137925,-2.60819093397097,-2.70481776966004,0.145302147840618,-1.10411353719469,0.855074815246697,3.27179059196466,1.88221796207459,4.01357933579336,0.249154162989114,-0.525119859810227,-1.50839146731524,-0.983271607505017
"HER44L","HER44L_2B","HER44L_2B_774",49.65,9737.94,7.41,1,22368,82118,1.41,-0.684109054041814,-2.35271394381157,0.681781062580846,-0.15126549535917,-0.60807935943389,3.53518741327968,-3.03638238041698,-1.86501073746644,-0.0275290189002879,-1.17772867635889,0.695430046081952,3.19532398890112,1.79509615494544,4.05658389766742,0.246512835732305,-0.533586208004439,-1.36722887214243,-0.833642664137994
"HER44L","HER44L_2B","HER44L_2B_775",49.7,9740.81,7.4,1,21856,80211,1.47,-0.612913673360552,-2.3530142843147,0.854126284335083,-0.0166318117373602,-0.629503915620748,3.60737338176968,-2.82301791356043,-2.138238982671,0.002321374064878,-1.90672718168628,0.89461095383949,3.25435670988373,1.86725905905822,4.00367421922841,0.249770572040379,-0.597104131539968,-1.4684481103205,-0.871343978780533
