"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2A","HER44L_2A_67",4.45,651.9,6.5,1,28010,79075,1.43,13,34,58,120,519,271,29,201,16775,126,163,178,2864,126,469,48129,7740,55869,6.21821705426357,0.160817802156704,-0.814627078097655,-1.46441214038384,-0.649785062286188
"HER44L","HER44L_2A","HER44L_2A_68",4.5,653.55,6.51,1,28072,80222,1.34,19,33,44,103,586,227,20,162,17299,195,112,160,3046,101,697,47960,7879,55839,6.08706688666074,0.164282735613011,-0.790221029251767,-1.73859080134738,-0.94836977209561
"HER44L","HER44L_2A","HER44L_2A_69",4.55,655.2,6.52,1,27630,78008,1.47,31,28,69,98,554,280,33,152,16286,175,149,97,3002,188,637,47031,7529,54560,6.24664630096958,0.160085900788841,-1.04982212449868,-1.73219720807671,-0.682375083578034
"HER44L","HER44L_2A","HER44L_2A_70",4.6,656.85,6.52,1,27599,78112,1.38,34,25,67,122,577,289,10,199,17289,124,131,122,2888,10,578,46120,7938,54058,5.81002771478962,0.172116218560278,-0.862405643379176,-1.55382122177484,-0.691415578395667
"HER44L","HER44L_2A","HER44L_2A_71",4.65,658.5,6.52,1,27294,78242,1.29,20,50,74,132,579,283,15,203,17761,151,189,152,2781,180,741,45927,7586,53513,6.05417875032955,0.165175169290396,-0.762644975056867,-1.47850055498662,-0.715855579929758
"HER44L","HER44L_2A","HER44L_2A_72",4.7,660.15,6.53,1,27077,77168,1.45,25,38,72,117,588,283,50,238,16977,148,225,112,2801,62,835,45478,7622,53100,5.96667541327735,0.167597519679845,-0.883272962845482,-1.61455301310087,-0.731280050255389
"HER44L","HER44L_2A","HER44L_2A_73",4.75,661.8,6.53,1,27282,80101,1.26,41,47,74,174,708,377,32,301,19603,129,331,189,2748,222,761,45190,7560,52750,5.97751322751323,0.167293649037398,-0.773189888233482,-1.40338879447919,-0.630198906245709
"HER44L","HER44L_2A","HER44L_2A_74",4.8,663.45,6.53,1,26991,78328,1.26,NA,47,51,127,660,358,5,278,18452,116,191,117,2826,40,774,44929,7913,52842,5.67787185643877,0.17612232633711,-1.03634589994211,-1.64805274856188,-0.611706848619771
"HER44L","HER44L_2A","HER44L_2A_75",4.85,665.1,6.53,1,26887,77688,1.31,23,46,60,104,646,240,10,276,17439,190,174,127,2802,NA,909,45136,7839,52975,5.75787728026534,0.173675115207373,-0.836248024200619,-1.82640860464123,-0.990160580440611
"HER44L","HER44L_2A","HER44L_2A_76",4.9,666.75,6.53,1,27632,80618,1.35,30,25,64,143,702,309,36,308,19954,134,259,155,3115,NA,743,45432,7838,53270,5.79637662669048,0.172521570699067,-0.770496646637838,-1.5910887737659,-0.820592127128066
