"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER24L","HER24L_3B","HER24L_3B_396",70.5,9100.27,7.15,1,36455,76787,1.42,-2.45818026528859,0.960408859085433,-5.40261924445503,-5.40261924445503,1.06507948164932,-0.0135475146385307,2.75015480828904,-1.84727118296562,1.04627014969183,5.6002969301251,3.70202722296209,6.67496665184526,0.149813482547295,NA,-3.47093071967683,NA
"HER24L","HER24L_3B","HER24L_3B_397",70.6,9102.22,7.14,1,36088,77250,1.33,-2.29171337786191,0.82662121778441,-1.76364594766142,-5.42720759379106,0.969722061425083,0.0942533240711831,2.73929272536399,-5.42720759379106,1.01851222559452,5.5798300364428,3.68154292242349,6.67508026126425,0.149810932731856,-0.54654370636807,-3.16086142980757,-2.6143177234395
"HER24L","HER24L_3B","HER24L_3B_398",70.7,9104.17,7.13,1,36024,76732,1.51,-2.41940344486921,0.540269778869079,-2.07109675060099,-3.8056978059891,1.45353217185089,-0.269581106427574,2.64081534941587,-5.59745727521716,0.634990741333368,5.40460923209818,3.48901910953664,6.79160063391442,0.147240695368102,-0.36101334553733,-3.00007067515259,-2.63905732961526
"HER24L","HER24L_3B","HER24L_3B_399",70.8,9106.12,7.1,1,36735,78381,1.23,-2.62108254823029,0.616287859274079,-2.76418339187096,-5.3291327493325,2.07939781756213,0.0415052787951671,2.96865987704837,-5.3291327493325,0.877443177392432,5.68095179577576,3.7792856329183,6.69767441860465,0.149305555555556,0.154150679827258,-3.30374204551144,-3.4578927253387
"HER24L","HER24L_3B","HER24L_3B_400",70.9,9108.07,7.08,1,37029,79218,1.31,-2.63519980236614,0.464073150128691,-2.22973469425798,-3.16129289826292,1.61783059484861,-0.305707256452171,2.52071577684372,-5.72624225572446,0.747648440627818,5.29251802637289,3.41539091824194,6.53529726834494,0.153015227760749,-0.421213465076304,-3.14374168535917,-2.72252822028286
"HER24L","HER24L_3B","HER24L_3B_401",71,9110.01,7.06,1,37385,80374,1.47,-2.42783111772079,0.284653680449287,-1.8036768086478,-2.99581515532673,1.80385700601219,-0.74143216415056,2.48898177816393,-5.82902849938294,0.712001499806959,5.19525674895652,3.31303303183994,6.56869043794839,0.152237346156981,-0.640037355245997,-2.7441715095162,-2.10413415427021
"HER24L","HER24L_3B","HER24L_3B_402",71.1,9111.96,7.05,1,36922,79043,1.53,-5.46414167712871,0.468103510319296,-2.41961923940529,-2.32864746119956,2.33724964316277,-0.0174043054624043,2.74598272803555,-5.46414167712871,0.944387113930784,5.5457940498433,3.65243731503299,6.64224516695958,0.150551504026724,NA,NA,-2.9338568698359
"HER24L","HER24L_3B","HER24L_3B_403",71.2,9113.91,7.03,1,36946,78825,1.45,-1.85378344831498,0.684438260240747,-3.46322136074908,-5.40913150980439,2.11866247791705,0.0114034894678968,2.88666660083176,-5.40913150980439,1.13189848938551,5.59617983566182,3.70601867516804,6.62105378946211,0.151033359914939,1.73460105538811,-2.56494935746154,-4.29955041284964
"HER24L","HER24L_3B","HER24L_3B_404",71.3,9115.86,7.03,1,36359,77052,1.38,-2.44446533745576,0.717588151545747,-1.8514016154528,-5.48898777517918,1.77504236772035,0.231324001428231,2.75350537800844,-5.48898777517918,0.693097131537451,5.50523109257418,3.59805438045251,6.7346984953049,0.148484746673834,-0.615185639090233,-3.2088254890147,-2.59363984992447
"HER24L","HER24L_3B","HER24L_3B_405",71.4,9117.81,7.01,1,36451,78321,1.61,-1.91793828405708,0.348587759121261,-2.35515209047983,-3.08108909386276,1.82072290594858,-0.69538909415821,2.53057809188563,-5.78913929496497,0.616089163065869,5.21246042119758,3.31026951630393,6.70119566432004,0.149227100668679,0.448950220047903,-2.28541728937168,-2.73436750941958
"HER24L","HER24L_3B","HER24L_3B_406",71.5,9119.76,6.99,1,36265,77163,1.53,-1.9924552365253,0.713572719196141,-1.53771907941035,-5.48896279799178,1.47517281442646,-0.458524876599346,2.81602678214858,-5.48896279799178,0.835396164389529,5.51055036731569,3.61590594104217,6.65081129139809,0.150357596417352,-0.466089729924599,-2.73477327124296,-2.26868354131836
"HER24L","HER24L_3B","HER24L_3B_407",71.6,9121.71,6.99,1,35923,76790,1.49,-1.8769070408027,0.541750223444102,-1.80279906864898,-5.54046868693234,1.76067911892369,-0.193361156214875,2.77705330935483,-5.54046868693234,0.884400336973044,5.44558645710304,3.54453519373254,6.69357215735177,0.149397059819795,-0.075985906977922,-2.4423470353692,-2.36636112839128
"HER24L","HER24L_3B","HER24L_3B_408",71.7,9123.65,6.99,1,36438,77393,1.35,-3.19330670787254,-1.86329527457572e-05,-3.42969548593677,-2.40007606875561,0.817846921357317,-0.669685545903849,2.21315676465583,-1.43726532124656,0.282249241108163,4.85680909499222,2.95998574055455,6.66532348332214,0.150030227715456,0.251314428280906,-3.24519313318557,-3.49650756146648
"HER24L","HER24L_3B","HER24L_3B_409",71.8,9125.6,6.99,1,36256,77509,1.56,-2.36264826737929,0.628528189638843,-2.1214862105624,-5.4536907207376,1.6537347533731,0.276409062235971,2.89933512446472,-5.4536907207376,0.734573402344986,5.5467577577174,3.65217762964187,6.6503830354169,0.150367278797997,-0.251314428280906,-3.03541075737217,-2.78409632909126
"HER24L","HER24L_3B","HER24L_3B_410",71.9,9127.55,7,1,36186,77288,1.42,-2.37467854964415,0.769927346636255,-2.68006019919533,-5.31911752881059,1.67939211344001,-0.335510907102255,3.03720243701756,-5.31911752881059,1.0490696575399,5.67456364128392,3.81832951764527,6.40017211703959,0.156245798036843,0.325422400434628,-3.19640296901614,-3.52182536945077
"HER24L","HER24L_3B","HER24L_3B_411",72,9129.5,7.01,1,36608,76986,1.46,-2.54547417195225,0.638245395931371,-2.08116856382115,-3.69060647625525,1.38724232942788,-0.207170996356127,2.70274535761301,-5.63651662531057,0.632579658395694,5.35857538497161,3.4415487073558,6.8013698630137,0.147029204431017,-0.481838086892738,-3.22835456882274,-2.74651648193001
"HER24L","HER24L_3B","HER24L_3B_412",72.1,9131.45,7.03,1,36328,76728,1.27,-5.34820360160403,0.856354160964662,-2.30368116388061,-2.57561487936425,2.28758325979156,-0.594613410497664,2.96196542037788,-5.34820360160403,0.692051109673386,5.6293473666788,3.74301533946429,6.59576385759351,0.151612462421427,NA,NA,-3.20680324363393
"HER24L","HER24L_3B","HER24L_3B_413",72.2,9133.4,7.05,1,36188,78034,1.36,-2.63491117616101,0.255460581735151,-3.69962191315344,-4.05629685709217,1.65884937621434,-0.920802641163025,2.27367866332687,-1.4070871560129,0.441924250552953,4.98381426484406,3.10499260690918,6.54640204013749,0.152755665458487,1.13497993283898,-2.92354553157816,-4.05852546441715
"HER24L","HER24L_3B","HER24L_3B_414",72.3,9135.35,7.07,1,35680,76237,1.34,-2.2187711917492,0.779231230339328,-2.91191837230915,-5.30981364510752,1.6236093806232,-0.174015208057257,2.92182853486589,-5.30981364510752,1.14223530932971,5.67478392096058,3.78264368621195,6.63418476426241,0.150734421113335,0.741937344729377,-3.04225228918888,-3.78418963391826
"HER24L","HER24L_3B","HER24L_3B_415",72.4,9137.3,7.09,1,35563,75404,1.43,-2.82078187475762,0.174950398796374,-2.4843096381364,-2.92614239041544,0.649630575926012,-0.590767474598407,2.43201497648861,-3.41861887551324,0.548236608540304,5.16650480507984,3.26928288858997,6.66798821930222,0.149970270958974,-0.351397886837889,-3.04452243772342,-2.69312455088553
"HER24L","HER24L_3B","HER24L_3B_416",72.5,9139.24,7.1,1,35667,76119,1.58,-2.4292053723412,0.131208829954945,-2.02374026423304,-2.62336138678216,0.224450756695211,-0.931685376111085,2.3069930760533,-3.39061653949582,0.567996409192151,5.04101876355877,3.12694110350894,6.78133878849869,0.147463507013692,-0.415515443961666,-2.58799185160869,-2.17247640764703
"HER24L","HER24L_3B","HER24L_3B_417",72.6,9141.19,7.12,1,35940,77067,1.46,-2.71139625254021,0.440864823246006,-2.38289218556818,-2.65732903126994,0.742112423689955,-0.231129982308713,2.74511124331018,-5.60176801043638,0.764702437295062,5.39979835516172,3.49192617942049,6.73937963587323,0.148381609885437,-0.344840486291729,-3.2070413672212,-2.86220088092947
"HER24L","HER24L_3B","HER24L_3B_418",72.7,9143.14,7.15,1,36495,77301,1.48,-3.00600445719697,0.218569388785873,-2.36164744080645,-3.27793817268061,0.270241399330194,-1.10176700454222,2.26455011237371,-1.55071722459012,0.521755647773619,4.94870216285883,3.07425558869415,6.51781239786469,0.153425710799472,-0.667829372575656,-3.27146827498737,-2.60363890241172
"HER24L","HER24L_3B","HER24L_3B_419",72.8,9145.09,7.17,1,36555,77255,1.41,-2.41337995311853,0.609967487468439,-1.60690408725158,-3.55281423630689,0.222816144215701,-0.135087552693524,2.75117742324999,-5.63225577798673,0.897163060275499,5.36591970632536,3.49339778582226,6.50527919886797,0.153721303794927,-0.829279354884525,-3.06222201482282,-2.2329426599383
"HER24L","HER24L_3B","HER24L_3B_420",72.9,9147.04,7.19,1,36212,76605,1.34,-5.74037259422122,0.464185168347471,-2.12945468157699,-2.6493301408629,0.126095462712077,-0.315422576739817,2.57617212370818,-1.42288448068491,0.482203673850149,5.26044308947226,3.34836495599571,6.76778857013779,0.147758753045626,NA,NA,-2.61901657873181
"HER24L","HER24L_3B","HER24L_3B_421",73,9148.99,7.21,1,36268,77220,1.5,-2.1356412596374,0.538507389789132,-3.17709513446556,-5.66200178425356,0.336934777693125,-0.612145777004021,2.71178282386732,-1.14021320720452,0.383003529782454,5.34515193125336,3.41171671017966,6.91389589543683,0.144636253586057,1.09861228866811,-2.70197115502583,-3.80058344369394
"HER24L","HER24L_3B","HER24L_3B_422",73.1,9150.94,7.22,1,36242,77133,1.62,-2.13623322408938,0.573617157516978,-1.77685922318148,-2.56909730638566,-0.00735822455437007,-0.362656073944515,2.64129917878991,-5.7471511367336,0.806782267292207,5.2536144814575,3.32404210383242,6.88724137931034,0.145196014619737,-0.367724780125317,-2.73544917529032,-2.36772439516501
