"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER24L","HER24L_3C_442",84.6,9374.3,7.35,1,35540,75523,1.38,82,19,442,20,34,120,181,3480,0,860,1469,59474,8566
"HER24L","HER24L_3C_443",84.7,9376.27,7.35,1,35385,74974,1.37,70,26,398,31,10,215,247,3451,0,556,1409,59172,8611
"HER24L","HER24L_3C_444",84.8,9378.24,7.34,1,35192,74131,1.44,93,31,435,26,16,417,196,3397,0,478,1129,58548,8544
"HER24L","HER24L_3C_445",84.9,9380.21,7.35,1,35417,75104,1.38,47,22,414,31,0,378,206,3414,68,668,1298,59106,8848
"HER24L","HER24L_3C_446",85,9382.18,7.35,1,35525,75014,1.44,70,5,453,11,16,377,146,3459,61,723,1236,59095,8482
"HER24L","HER24L_3C_447",85.1,9384.69,7.35,1,35591,75773,1.31,59,29,426,32,26,198,210,3227,68,584,1393,59802,9068
"HER24L","HER24L_3C_448",85.2,9387.21,7.36,1,35786,75846,1.47,73,17,455,38,0,216,211,3404,0,319,1293,60212,8940
"HER24L","HER24L_3C_449",85.3,9389.73,7.35,1,35921,75278,1.49,56,13,558,4,13,233,164,3501,0,614,1287,59613,8550
"HER24L","HER24L_3C_450",85.4,9392.25,7.34,1,35590,74976,1.46,81,12,414,11,0,178,230,3368,0,652,1328,59173,8806
"HER24L","HER24L_3C_451",85.5,9394.76,7.35,1,35621,75652,1.7,87,22,477,24,11,256,170,3575,0,682,1157,59879,8644
"HER24L","HER24L_3C_452",85.6,9397.28,7.34,1,35623,75031,1.37,41,16,482,60,13,303,185,3363,118,585,1296,59330,8433
"HER24L","HER24L_3C_453",85.7,9399.8,7.33,1,35663,76427,1.4,102,24,511,12,0,303,207,3644,0,724,1220,59419,8936
"HER24L","HER24L_3C_454",85.8,9402.32,7.32,1,35553,75325,1.63,50,18,466,19,50,181,189,3709,0,608,1168,59292,8799
"HER24L","HER24L_3C_455",85.9,9404.83,7.32,1,35714,76156,1.45,63,5,450,32,0,301,196,3560,31,784,1571,59687,8948
"HER24L","HER24L_3C_456",86,9407.35,7.32,1,35923,76492,1.45,80,14,485,27,0,263,231,3794,0,534,1486,60276,8725
"HER24L","HER24L_3C_457",86.1,9409.87,7.31,1,36211,76411,1.56,99,0,459,8,0,478,137,3803,0,629,1459,59764,9050
"HER24L","HER24L_3C_458",86.2,9412.39,7.32,1,36191,77110,1.5,86,15,510,60,10,721,223,3628,67,780,1340,60157,8911
"HER24L","HER24L_3C_459",86.3,9414.9,7.31,1,36344,77475,1.46,61,20,458,35,21,1208,245,3605,0,632,1376,60081,8908
"HER24L","HER24L_3C_460",86.4,9417.42,7.3,1,36616,78470,1.27,69,18,484,21,23,1835,181,3654,0,711,1464,60419,8892
"HER24L","HER24L_3C_461",86.5,9419.94,7.29,1,37213,84546,1.49,123,29,482,31,0,8593,178,3890,0,502,1131,60045,8721
"HER24L","HER24L_3C_462",86.6,9422.46,7.28,1,37039,82027,1.46,96,8,557,34,23,5205,246,3679,0,749,1507,60336,8876
"HER24L","HER24L_3C_463",86.7,9424.97,7.27,1,36537,78953,1.53,99,16,542,21,19,3157,203,3553,39,762,1130,59424,8814
"HER24L","HER24L_3C_464",86.8,9427.49,7.27,1,36185,77065,1.7,118,26,569,25,0,2251,248,3324,22,509,1388,59070,8765
"HER24L","HER24L_3C_465",86.9,9430.01,7.26,1,35984,76417,1.37,95,16,483,10,0,1512,239,3276,0,722,1388,59287,8659
"HER24L","HER24L_3C_466",87,9432.53,7.25,1,35966,77439,1.39,74,16,471,4,43,613,247,3577,0,730,1393,60141,8987
"HER24L","HER24L_3C_467",87.1,9435.04,7.25,1,36169,75338,1.38,84,14,411,0,0,506,199,3454,0,688,1430,59313,8564
"HER24L","HER24L_3C_468",87.2,9437.56,7.25,1,36405,76405,1.34,59,19,493,20,0,451,238,3573,0,750,1391,60120,8569
"HER24L","HER24L_3C_469",87.3,9440.08,7.24,1,36426,76608,1.46,98,21,550,6,0,388,195,3626,0,473,1062,60346,9110
"HER24L","HER24L_3C_470",87.4,9442.6,7.25,1,36417,76293,1.43,54,32,530,0,26,274,249,3653,0,747,1225,59791,8842
"HER24L","HER24L_3C_471",87.5,9445.12,7.24,1,36402,77160,1.65,86,22,577,25,21,789,202,3437,0,620,1453,60130,8816
"HER24L","HER24L_3C_472",87.6,9447.63,7.24,1,36266,77002,1.52,109,23,524,52,25,509,213,3219,118,466,1436,60734,8737
"HER24L","HER24L_3C_473",87.7,9450.15,7.23,1,36339,76225,1.32,84,0,545,21,0,387,172,3194,214,684,1309,59930,8813
"HER24L","HER24L_3C_474",87.8,9452.67,7.23,1,36046,77084,1.62,95,9,472,30,23,2037,166,3471,0,640,1165,59244,8864
"HER24L","HER24L_3C_475",87.9,9455.19,7.23,1,36290,76147,1.51,77,20,462,28,5,783,170,3393,0,598,1148,59695,8969
"HER24L","HER24L_3C_476",88,9457.7,7.22,1,36549,77877,1.55,83,30,482,35,0,1075,141,3704,58,708,1181,60648,8765
"HER24L","HER24L_3C_477",88.1,9460.22,7.21,1,36425,76705,1.43,82,22,490,23,0,544,198,3521,127,790,1221,60381,8787
"HER24L","HER24L_3C_478",88.2,9462.74,7.2,1,36721,76935,1.41,50,23,492,37,0,528,186,3672,107,648,1193,60689,8708
"HER24L","HER24L_3C_479",88.3,9465.26,7.18,1,36612,77301,1.56,93,19,438,7,0,259,201,3362,25,670,1346,61103,9026
"HER24L","HER24L_3C_480",88.4,9467.77,7.18,1,36611,77371,1.51,72,0,437,57,9,291,229,3747,50,698,1304,60442,8908
"HER24L","HER24L_3C_481",88.5,9470.29,7.17,1,36756,76862,1.66,94,30,538,10,0,171,151,3629,0,785,1053,60710,9255
"HER24L","HER24L_3C_482",88.6,9472.81,7.16,1,36883,77236,1.32,94,26,504,0,0,183,220,3799,0,605,1268,60830,9035
"HER24L","HER24L_3C_483",88.7,9475.33,7.15,1,36761,77441,1.5,67,22,565,18,40,280,229,3488,0,696,1351,60569,9042
"HER24L","HER24L_3C_484",88.8,9477.84,7.14,1,37215,78501,1.42,85,18,526,0,0,470,229,3729,0,712,1228,61551,9071
"HER24L","HER24L_3C_485",88.9,9480.36,7.13,1,37201,77905,1.53,87,21,622,35,13,306,204,3594,13,543,1338,61563,8889
"HER24L","HER24L_3C_486",89,9482.88,7.11,1,37204,77411,1.34,89,30,582,9,17,245,211,3546,44,451,1470,61256,9025
"HER24L","HER24L_3C_487",89.1,9485.4,7.09,1,37030,77317,1.39,98,7,607,17,0,293,194,3710,0,635,1314,60885,8718
"HER24L","HER24L_3C_488",89.2,9487.91,7.08,1,37027,77963,1.46,83,0,496,8,27,217,205,3566,29,700,1463,61341,9154
"HER24L","HER24L_3C_489",89.3,9490.43,7.06,1,37290,78391,1.34,101,9,548,44,0,311,218,3657,12,765,1057,61842,9158
"HER24L","HER24L_3C_490",89.4,9492.95,7.05,1,37199,77956,1.35,73,8,459,14,0,329,178,3610,51,448,1413,61686,9031
