"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER34L","HER34L_1A_175",28.4,1500.67,6.82,1,35188.72656,77227,1.34,60,35,659,288,58,3280,0,196,32,111,4226,31,975,1186,56400,9027
"HER34L","HER34L_1A_176",28.5,1507.92,6.84,1,35132.51563,76000,1.31,45,24,608,92,7,2579,0,176,159,54,4017,102,828,1223,56523,8876
"HER34L","HER34L_1A_177",28.6,1515.17,6.85,1,34938.94531,74646,1.77,55,20,611,48,39,1773,0,133,112,52,4214,0,892,1137,56602,8421
"HER34L","HER34L_1A_178",28.7,1522.41,6.84,1,35154.15625,75867,1.47,43,57,547,69,16,1596,7,234,109,143,4451,163,748,1237,56993,8804
"HER34L","HER34L_1A_179",28.8,1529.66,6.84,1,35390.33203,75864,1.51,52,44,579,124,23,1782,37,185,0,0,4189,167,975,1185,57203,8579
"HER34L","HER34L_1A_180",28.9,1536.91,6.84,1,35489.11719,76321,1.31,42,23,558,35,9,2250,40,186,72,62,4202,86,769,1196,57211,8718
"HER34L","HER34L_1A_181",29,1544.15,6.85,1,35511.64844,76993,1.22,45,18,526,61,11,2447,40,261,188,110,4277,0,905,1137,57660,8665
"HER34L","HER34L_1A_182",29.1,1551.4,6.87,1,35378.15234,76891,1.38,62,45,564,84,29,2242,0,199,27,151,4327,0,873,1212,57678,8634
"HER34L","HER34L_1A_183",29.2,1558.64,6.88,1,35489.66016,76180,1.45,56,21,525,153,49,2156,46,190,69,60,4183,53,711,1367,57241,8752
"HER34L","HER34L_1A_184",29.3,1565.89,6.89,1,35149.90625,75082,1.56,47,22,526,93,9,1611,52,195,95,43,3940,0,900,1005,57490,8482
"HER34L","HER34L_1A_185",29.4,1573.14,6.9,1,35522.55469,77439,1.61,67,33,580,69,45,2566,18,185,61,62,4032,35,774,1245,57753,8937
"HER34L","HER34L_1A_186",29.5,1580.38,6.91,1,35496.44531,76733,1.44,53,26,544,82,8,2206,21,177,51,97,4155,0,811,1104,57985,8762
"HER34L","HER34L_1A_187",29.6,1587.63,6.92,1,35534.46875,76037,1.4,65,15,584,95,40,2481,23,131,21,25,4242,13,648,1135,57342,8650
"HER34L","HER34L_1A_188",29.7,1594.88,6.93,1,35402.20313,75806,1.35,46,49,609,95,57,2041,41,149,162,84,4075,0,590,1314,57400,8589
"HER34L","HER34L_1A_189",29.8,1602.12,6.94,1,35101.44141,75703,1.58,53,43,607,40,13,1725,5,198,45,45,4192,209,752,1379,57188,8584
"HER34L","HER34L_1A_190",29.9,1609.37,6.94,1,35490.67188,76329,1.35,40,26,548,68,14,2117,0,189,49,53,4230,0,628,1256,58011,8531
"HER34L","HER34L_1A_191",30,1616.62,6.94,1,35339.71484,75341,1.68,29,44,589,52,7,1668,0,176,130,28,4296,0,855,1030,57330,8563
"HER34L","HER34L_1A_192",30.1,1623.48,6.95,1,35296.58594,76110,1.37,30,33,558,318,23,2095,40,213,52,224,4259,0,857,1258,57506,8226
"HER34L","HER34L_1A_193",30.2,1630.34,6.96,1,35271.0625,75581,1.35,49,56,596,154,49,2079,0,210,53,126,4202,113,860,1216,56795,8484
"HER34L","HER34L_1A_194",30.3,1637.21,6.97,1,35267.26563,75803,1.44,33,33,608,63,16,2456,5,219,44,17,4170,0,755,1206,56963,8584
"HER34L","HER34L_1A_195",30.4,1644.07,6.98,1,35022.48828,74240,1.5,60,57,514,65,46,2295,54,180,118,9,4044,0,662,1145,56139,8432
"HER34L","HER34L_1A_196",30.5,1650.93,6.99,1,35174.85156,75916,1.4,50,66,582,50,13,2244,0,169,131,0,4073,49,794,1318,57166,8853
"HER34L","HER34L_1A_197",30.6,1657.8,7,1,35523.28125,76896,1.55,60,33,620,102,42,2845,0,179,0,72,4087,0,863,1257,57288,8798
"HER34L","HER34L_1A_198",30.7,1664.66,7,1,35176.91406,76418,1.27,56,19,590,60,20,2555,32,221,81,143,4117,51,775,1475,56754,8700
"HER34L","HER34L_1A_199",30.8,1671.52,7.02,1,35192.21484,75821,1.36,51,23,638,86,22,1793,17,216,125,137,3837,198,945,1196,57236,8904
"HER34L","HER34L_1A_200",30.9,1678.39,7.03,1,35308.89063,75104,1.58,59,27,618,42,71,2011,54,222,85,68,3951,0,955,1237,56626,8554
"HER34L","HER34L_1A_201",31,1685.25,7.04,1,35409.60156,76128,1.39,57,44,589,46,14,2234,0,207,66,0,4056,0,873,1311,57314,8784
"HER34L","HER34L_1A_202",31.1,1692.11,7.04,1,35599.78906,76925,1.56,58,36,624,27,29,2198,0,165,53,6,4161,0,915,1354,57835,8949
"HER34L","HER34L_1A_203",31.2,1698.98,7.05,1,35668.64844,75563,1.42,78,33,585,40,44,2075,0,177,0,0,4056,0,734,1011,57540,8712
"HER34L","HER34L_1A_204",31.3,1705.84,7.05,1,35763.64844,76268,1.33,28,20,616,71,9,1375,45,198,113,122,4251,0,554,1384,58010,8855
"HER34L","HER34L_1A_205",31.4,1712.7,7.06,1,35522.88281,75319,1.5,23,40,566,70,43,1289,46,204,66,28,4393,107,812,1307,57034,8673
"HER34L","HER34L_1A_206",31.5,1719.57,7.06,1,35508.88281,75451,1.42,51,15,563,70,21,1295,117,154,110,0,4172,0,719,1174,57499,8532
"HER34L","HER34L_1A_207",31.6,1726.43,7.07,1,35386.91406,75730,1.27,42,44,568,32,16,1545,7,178,32,59,4218,0,766,1344,57093,8948
"HER34L","HER34L_1A_208",31.7,1733.3,7.07,1,35371.96094,75659,1.21,25,33,542,55,19,1615,59,161,90,175,4157,0,721,1257,57384,8612
"HER34L","HER34L_1A_209",31.8,1740.16,7.08,1,35165.28125,75219,1.27,41,25,508,86,18,1515,0,135,125,18,3938,252,702,1302,57383,8687
"HER34L","HER34L_1A_210",31.9,1747.02,7.08,1,35316.04297,74816,1.43,52,38,529,75,33,1474,25,163,120,92,3900,151,767,1062,57437,8580
"HER34L","HER34L_1A_211",32,1753.89,7.09,1,35479.97656,75358,1.42,52,23,525,49,31,1924,40,160,114,35,4046,63,736,1148,57535,8382
"HER34L","HER34L_1A_212",32.1,1760.75,7.1,1,35441.28516,75178,1.36,45,35,493,46,23,988,98,250,127,93,4049,88,989,1224,57369,8738
"HER34L","HER34L_1A_213",32.2,1767.61,7.12,1,35021.1875,74413,1.38,69,38,531,44,29,993,29,247,10,93,4079,37,763,1125,56902,8516
"HER34L","HER34L_1A_214",32.3,1774.48,7.12,1,34859.18359,74137,1.34,40,22,442,19,19,939,45,165,59,72,4314,0,693,1242,56901,8463
"HER34L","HER34L_1A_215",32.4,1781.34,7.14,1,34903.39844,73454,1.47,57,27,614,82,58,1095,0,190,118,56,3950,0,704,1072,56286,8550
"HER34L","HER34L_1A_216",32.5,1788.2,7.14,1,34990.71484,75147,1.35,29,18,533,18,13,1051,0,248,101,95,3910,81,779,1379,57708,8540
"HER34L","HER34L_1A_217",32.6,1795.07,7.15,1,34979.50781,75874,1.52,36,19,588,76,20,1272,0,191,122,149,4317,0,1143,1296,57117,8828
"HER34L","HER34L_1A_218",32.7,1801.93,7.16,1,35386.16406,75369,1.56,61,43,477,56,30,952,0,178,94,48,4314,50,842,1085,57435,8740
"HER34L","HER34L_1A_219",32.8,1808.79,7.17,1,35428.29297,76262,1.32,37,36,601,65,17,886,6,260,116,127,4432,25,801,1187,58525,8642
"HER34L","HER34L_1A_220",32.9,1815.66,7.18,1,35452.99219,75505,1.26,35,42,570,41,20,748,41,227,133,153,4259,41,805,1184,57678,8762
"HER34L","HER34L_1A_221",33,1822.52,7.19,1,35652.98438,75064,1.57,57,44,531,89,33,1176,98,215,112,0,4622,0,726,1179,57217,8468
"HER34L","HER34L_1A_222",33.1,1829.38,7.19,1,35577.87891,75738,1.45,37,42,575,79,47,840,0,242,88,0,4364,215,858,1321,57894,8730
"HER34L","HER34L_1A_223",33.2,1836.25,7.2,1,35787.39844,76379,1.34,66,34,603,75,36,1137,64,230,97,53,4375,7,788,1481,58182,8751
"HER34L","HER34L_1A_224",33.3,1843.11,7.2,1,35573.53516,75198,1.46,52,17,503,83,15,761,18,114,11,18,4387,0,709,1192,57873,8684
"HER34L","HER34L_1A_225",33.4,1849.97,7.19,1,35664.86328,74983,1.26,43,32,604,83,23,946,53,175,14,10,4144,177,935,1207,57627,8527
"HER34L","HER34L_1A_226",33.5,1856.84,7.18,1,35775.44141,75419,1.55,39,9,610,23,0,651,28,129,83,44,4460,0,756,1178,57914,9050
"HER34L","HER34L_1A_227",33.6,1863.7,7.18,1,35912.25781,76183,1.47,29,30,513,46,8,1149,0,195,126,63,4481,159,678,1328,58561,8533
"HER34L","HER34L_1A_228",33.7,1870.56,7.18,1,35773.63672,75242,1.35,41,33,537,61,37,669,8,205,58,42,4336,0,860,1082,58052,8793
"HER34L","HER34L_1A_229",33.8,1877.43,7.19,1,35701.69531,75755,1.36,44,32,560,52,0,856,0,202,22,44,4419,61,838,1053,58078,8763
"HER34L","HER34L_1A_230",33.9,1884.29,7.2,1,35706.29297,76514,1.52,48,22,513,90,0,618,0,178,55,84,4816,0,772,1372,58209,8864
"HER34L","HER34L_1A_231",34,1891.15,7.2,1,35824.89063,76372,1.29,45,19,537,24,21,706,0,200,137,90,5134,45,879,972,58193,8645
"HER34L","HER34L_1A_232",34.1,1898.02,7.21,1,35925.95703,76974,1.34,65,51,602,196,34,982,27,199,93,102,5013,154,768,1351,57995,8793
"HER34L","HER34L_1A_233",34.2,1904.88,7.21,1,35731.35156,75975,1.33,66,30,554,55,0,784,0,157,93,37,4876,0,878,1410,57723,8729
"HER34L","HER34L_1A_234",34.3,1911.75,7.22,1,35603.8125,75784,1.46,49,38,504,94,8,738,80,189,55,52,4386,69,794,1256,58327,8722
"HER34L","HER34L_1A_235",34.4,1918.61,7.23,1,35681.375,76219,1.51,70,39,529,53,24,999,71,188,107,112,4814,87,773,1274,57717,8640
"HER34L","HER34L_1A_236",34.5,1925.47,7.24,1,35836.76172,75536,1.36,67,39,533,57,24,922,6,222,78,0,4484,9,718,1221,58240,8208
"HER34L","HER34L_1A_237",34.6,1932.34,7.24,1,36170.4375,76839,1.39,54,12,546,68,17,1024,40,239,6,47,4367,0,778,1386,58833,8767
"HER34L","HER34L_1A_238",34.7,1939.2,7.25,1,36197.49609,76722,1.35,44,27,608,82,0,1310,44,193,20,11,4612,0,721,1062,58613,8738
"HER34L","HER34L_1A_239",34.8,1946.06,7.26,1,36312.52344,77051,1.26,76,51,619,43,38,1013,68,220,129,112,4450,0,820,1303,58893,8726
"HER34L","HER34L_1A_240",34.9,1952.93,7.25,1,36113.52734,76067,1.37,60,48,599,78,26,689,10,113,33,19,4412,71,954,1308,58489,8887
"HER34L","HER34L_1A_241",35,1959.79,7.26,1,35827.94141,76395,1.33,62,38,580,78,8,856,31,273,195,62,4120,180,759,1227,58406,8833
"HER34L","HER34L_1A_242",35.1,1966.82,7.26,1,35667.36328,75359,1.34,60,32,567,53,0,895,0,243,108,125,3725,37,856,1308,57988,8684
"HER34L","HER34L_1A_243",35.2,1973.85,7.25,1,35568.47656,74534,1.48,37,44,560,40,35,1484,36,234,67,15,4021,0,724,846,57010,8792
"HER34L","HER34L_1A_244",35.3,1980.88,7.25,1,35573.62891,76535,1.32,60,26,583,77,0,1542,68,218,111,58,3759,14,741,1348,58334,9056
"HER34L","HER34L_1A_245",35.4,1987.9,7.25,1,35865.14063,76068,1.48,83,27,551,106,30,1047,112,222,48,60,3906,0,680,1218,58451,9050
"HER34L","HER34L_1A_246",35.5,1994.93,7.26,1,35959.32422,75974,1.39,42,17,561,83,0,1418,16,183,42,100,3594,0,654,1206,58711,8668
"HER34L","HER34L_1A_247",35.6,2001.96,7.26,1,36069.02344,75445,1.47,59,12,557,72,10,1215,0,214,136,116,3808,0,744,1128,58271,8678
"HER34L","HER34L_1A_248",35.7,2008.99,7.27,1,36020.92969,76666,1.32,50,18,598,87,0,1298,19,248,100,89,4021,0,736,1224,58791,8679
"HER34L","HER34L_1A_249",35.8,2016.02,7.27,1,35988.90625,75949,1.53,53,52,600,105,63,1864,76,184,84,85,3698,0,750,1106,58023,8762
"HER34L","HER34L_1A_250",35.9,2023.05,7.26,1,36064.19141,75864,1.42,55,36,508,64,16,1536,37,155,84,0,3492,0,845,1061,58874,8665
"HER34L","HER34L_1A_251",36,2030.08,7.27,1,35958.55469,76254,1.41,37,30,620,108,31,2500,0,212,15,4,3532,0,791,1524,58138,8398
"HER34L","HER34L_1A_252",36.1,2037.11,7.28,1,36205.69531,77176,1.49,35,17,541,66,15,2402,4,245,179,40,3486,44,757,1162,58839,8792
"HER34L","HER34L_1A_253",36.2,2044.14,7.28,1,36141.30078,76115,1.29,71,29,595,33,33,1509,56,234,139,59,3814,0,888,1507,57887,8613
"HER34L","HER34L_1A_254",36.3,2051.16,7.28,1,36272.1875,76263,1.56,62,33,567,35,32,1627,0,218,82,27,3577,0,682,1196,58784,8917
"HER34L","HER34L_1A_255",36.4,2058.19,7.28,1,36220.79688,76568,1.4,66,41,488,71,23,1463,62,190,58,12,3660,0,794,1211,58859,8941
"HER34L","HER34L_1A_256",36.5,2065.22,7.29,1,36084.66016,76621,1.24,42,28,508,31,40,1248,51,168,115,69,3608,228,807,1278,59111,8806
"HER34L","HER34L_1A_257",36.6,2072.25,7.29,1,35942.31641,74999,1.39,56,45,548,24,0,786,35,203,111,51,3417,60,555,1191,58538,8696
"HER34L","HER34L_1A_258",36.7,2079.28,7.29,1,35771.94531,74502,1.34,56,11,522,41,22,1058,38,227,125,53,3346,0,752,1196,57918,8684
"HER34L","HER34L_1A_259",36.8,2086.31,7.29,1,35538.46484,73873,1.25,84,35,513,49,11,549,21,255,136,173,3157,0,816,1158,57515,8755
"HER34L","HER34L_1A_260",36.9,2093.34,7.29,1,35336.25391,74009,1.39,52,65,550,51,39,689,18,224,128,20,3401,0,867,1229,57465,8657
"HER34L","HER34L_1A_261",37,2100.37,7.31,1,35387.33984,73667,1.53,47,35,578,54,0,576,0,86,0,0,2944,89,694,1273,57618,8860
"HER34L","HER34L_1A_262",37.1,2107.39,7.31,1,35775.02734,74844,1.54,44,26,533,18,35,769,0,139,109,14,3265,0,1018,1230,58064,8827
"HER34L","HER34L_1A_263",37.2,2114.42,7.32,1,35857.34766,75360,1.24,57,17,514,80,10,780,13,217,99,102,3534,0,545,1110,58800,8786
"HER34L","HER34L_1A_264",37.3,2121.45,7.32,1,35839.45313,74789,1.39,49,33,515,49,51,1074,0,185,34,38,3596,0,797,1229,57672,8587
"HER34L","HER34L_1A_265",37.4,2128.48,7.33,1,35684.6875,75392,1.39,54,33,583,95,49,996,0,193,86,70,3679,140,937,1317,57696,8866
"HER34L","HER34L_1A_266",37.5,2135.51,7.33,1,35460.95313,73486,1.21,59,37,570,45,37,705,29,254,122,0,3659,0,717,1087,57113,8672
"HER34L","HER34L_1A_267",37.6,2142.54,7.33,1,35539.67578,74774,1.47,64,45,594,45,44,1119,0,200,86,27,3492,56,830,1151,57841,8704
"HER34L","HER34L_1A_268",37.7,2149.57,7.34,1,35618.26563,75966,1.39,51,45,566,22,55,1095,53,236,153,33,3589,58,733,1280,58440,8903
"HER34L","HER34L_1A_269",37.8,2156.6,7.34,1,35984.74609,75637,1.44,48,36,534,85,14,1120,71,214,94,75,3775,0,820,1223,58140,8686
"HER34L","HER34L_1A_270",37.9,2163.62,7.33,1,35955.1875,76910,1.6,68,41,572,75,42,1568,0,204,92,22,3700,0,951,1235,58368,8973
"HER34L","HER34L_1A_271",38,2170.65,7.35,1,35787.85547,75745,1.29,56,31,559,52,40,1403,51,196,144,127,3573,47,579,1521,58113,8831
"HER34L","HER34L_1A_272",38.1,2177.68,7.35,1,35810.55469,75338,1.4,46,20,529,54,10,2076,51,252,61,53,3687,8,788,1235,56930,8675
"HER34L","HER34L_1A_273",38.2,2184.71,7.36,1,35699.75391,75474,1.41,57,44,549,40,23,2583,0,226,168,89,3471,46,577,1152,57218,8515
"HER34L","HER34L_1A_274",38.3,2191.74,7.36,1,35501.16016,75333,1.39,48,35,563,125,35,2119,26,210,17,16,3302,184,1016,1024,57531,8410
"HER34L","HER34L_1A_275",38.4,2198.77,7.35,1,35496.32422,73696,1.35,70,56,515,85,0,1172,0,174,91,57,3621,0,770,1104,56776,8657
"HER34L","HER34L_1A_276",38.5,2205.8,7.36,1,35527.18359,73833,1.39,67,31,509,79,9,1092,5,237,65,67,3515,56,780,1307,57082,8475
"HER34L","HER34L_1A_277",38.6,2212.83,7.36,1,35489.45703,74262,1.29,52,0,525,15,28,847,140,190,46,51,3319,50,858,1220,57774,8588
"HER34L","HER34L_1A_278",38.7,2219.86,7.36,1,35355.26563,74716,1.29,58,38,572,83,27,1133,8,232,114,67,3595,0,970,1237,57246,8622
"HER34L","HER34L_1A_279",38.8,2226.88,7.37,1,35420.38672,75092,1.46,73,24,563,44,35,1123,6,154,97,0,3684,109,711,1265,57580,8733
"HER34L","HER34L_1A_280",38.9,2233.91,7.37,1,35465.78125,74730,1.47,55,55,602,57,13,1047,11,170,36,0,3587,50,798,1478,57736,8415
"HER34L","HER34L_1A_281",39,2240.94,7.38,1,35584.56641,74829,1.4,33,37,598,73,50,896,0,163,45,70,3639,10,855,1340,58114,8447
"HER34L","HER34L_1A_282",39.1,2247.97,7.38,1,35506.75781,74890,1.55,45,46,658,76,11,1085,9,186,65,46,3741,72,920,1111,57374,8832
"HER34L","HER34L_1A_283",39.2,2255,7.38,1,36032.94922,76052,1.46,67,50,645,56,29,996,87,207,130,0,3636,53,942,1152,58728,8547
"HER34L","HER34L_1A_284",39.3,2262.03,7.39,1,36099.66797,75582,1.29,82,52,581,53,33,848,0,198,141,95,3953,8,825,1136,58263,8703
"HER34L","HER34L_1A_285",39.4,2269.06,7.39,1,35932.71484,75082,1.46,82,45,631,86,11,1157,0,223,61,110,3837,160,830,959,57923,8572
"HER34L","HER34L_1A_286",39.5,2276.09,7.38,1,35951.47656,75872,1.38,77,55,643,101,62,942,0,265,94,50,3860,83,1040,1189,57812,8947
"HER34L","HER34L_1A_287",39.6,2283.11,7.38,1,36116.23438,75936,1.53,81,48,595,86,56,1088,38,245,67,81,3817,0,635,1327,58300,8583
"HER34L","HER34L_1A_288",39.7,2290.14,7.38,1,35950.28125,77202,1.47,29,51,589,122,44,1054,0,345,37,78,4041,0,973,1342,58034,9125
"HER34L","HER34L_1A_289",39.8,2297.17,7.37,1,35950.43359,75862,1.56,73,40,600,94,41,911,45,145,50,48,3997,0,918,1243,58370,8840
"HER34L","HER34L_1A_290",39.9,2304.2,7.37,1,35688.92969,75016,1.41,72,34,635,80,45,943,67,209,101,73,3986,0,750,1213,57569,8826
"HER34L","HER34L_1A_291",40,2311.23,7.36,1,35813.74609,75626,1.51,89,0,645,80,49,1054,15,213,125,0,3692,161,807,1478,57408,8797
"HER34L","HER34L_1A_292",40.1,2318.14,7.36,1,35838.92969,74416,1.27,62,46,574,86,5,1357,0,215,97,82,3893,49,624,1153,56844,8693
"HER34L","HER34L_1A_293",40.2,2325.05,7.35,1,35559.08594,75927,1.3,64,10,580,90,31,1280,94,224,104,131,3913,38,822,1331,57474,8862
"HER34L","HER34L_1A_294",40.3,2331.96,7.35,1,35465.08203,74783,1.26,46,22,495,96,28,1209,53,168,165,73,3802,33,847,1057,57034,8741
"HER34L","HER34L_1A_295",40.4,2338.87,7.35,1,35351.14453,75075,1.5,61,41,420,94,24,1743,0,192,54,21,3938,0,793,1363,57341,8530
"HER34L","HER34L_1A_296",40.5,2345.78,7.35,1,35643.63281,76448,1.43,53,36,606,62,50,2792,67,192,85,48,3935,0,774,981,57342,8812
"HER34L","HER34L_1A_297",40.6,2352.7,7.35,1,35615.55078,77721,1.33,89,21,594,130,61,3933,108,179,120,69,3755,0,664,1456,57524,8452
"HER34L","HER34L_1A_298",40.7,2359.61,7.35,1,35954.32813,83230,1.25,72,32,514,84,40,9543,70,251,98,77,3805,44,1000,1317,56914,8718
"HER34L","HER34L_1A_299",40.8,2366.52,7.35,1,36045.83984,84737,1.3,67,66,446,133,0,11844,12,198,139,52,3977,62,904,1401,56063,8660
"HER34L","HER34L_1A_300",40.9,2373.43,7.36,1,35758.43359,81583,1.37,88,29,562,93,30,8646,52,185,83,89,3847,56,681,1047,56849,8654
"HER34L","HER34L_1A_301",41,2380.34,7.37,1,35457.82031,80226,1.41,71,26,478,81,50,6544,0,213,46,74,3811,92,827,1422,56987,8922
"HER34L","HER34L_1A_302",41.1,2387.25,7.39,1,35202.96484,79705,1.3,86,53,479,91,47,7520,31,187,34,43,3949,42,929,1009,55990,8210
"HER34L","HER34L_1A_303",41.2,2394.16,7.37,1,35097.12109,79535,1.81,87,38,490,146,65,6019,102,190,71,115,4173,83,741,1590,56106,8941
"HER34L","HER34L_1A_304",41.3,2401.07,7.35,1,34928.87109,76699,1.37,52,43,541,96,50,5339,0,253,101,62,3939,0,769,1150,55146,8613
"HER34L","HER34L_1A_305",41.4,2407.98,7.33,1,35184.38281,77567,1.53,77,27,494,92,36,5267,0,192,96,82,3963,105,432,1372,55927,8841
"HER34L","HER34L_1A_306",41.5,2414.89,7.32,1,34890.95703,78304,1.44,82,52,551,111,53,5920,28,240,110,57,3862,86,994,1220,55495,8648
"HER34L","HER34L_1A_307",41.6,2421.8,7.33,1,35282.98438,83114,1.35,112,30,517,99,49,11652,49,144,14,110,4157,0,776,1097,54899,8612
"HER34L","HER34L_1A_308",41.7,2428.71,7.33,1,34899.76563,77278,1.51,85,50,518,78,55,6075,7,194,105,0,4279,8,745,1106,54886,8401
"HER34L","HER34L_1A_309",41.8,2435.63,7.33,1,34815.875,77517,1.23,84,38,527,91,47,5675,0,164,97,33,4199,124,956,1092,54955,8752
"HER34L","HER34L_1A_310",41.9,2442.54,7.33,1,34703.21484,76152,1.26,58,23,529,124,32,4880,101,167,133,15,4342,0,956,1292,54437,8509
"HER34L","HER34L_1A_311",42,2449.45,7.33,1,35101.55078,77770,1.24,59,66,550,174,42,6323,42,207,121,148,4375,0,843,1090,54388,8477
"HER34L","HER34L_1A_312",42.1,2456.36,7.33,1,34603.97266,78993,1.25,82,27,518,92,63,8916,88,165,77,6,4208,72,890,1158,53801,8322
"HER34L","HER34L_1A_313",42.2,2463.27,7.34,1,34126.89453,79746,1.29,63,23,474,125,55,9134,97,200,79,76,4434,113,1013,1041,53596,8500
"HER34L","HER34L_1A_314",42.3,2470.18,7.35,1,33638.11719,75915,1.26,90,47,460,101,91,6452,4,174,143,72,4405,205,897,1287,52249,8391
"HER34L","HER34L_1A_315",42.4,2477.09,7.36,1,33780.92969,76469,1.41,78,53,520,136,34,7686,18,167,51,15,4553,63,862,1069,51989,8420
"HER34L","HER34L_1A_316",42.5,2484,7.36,1,34072.50391,79406,1.56,92,67,536,106,77,9700,32,167,95,59,4773,0,1028,1126,52238,8408
"HER34L","HER34L_1A_317",42.6,2490.91,7.37,1,34102.48828,80777,1.45,85,53,443,112,128,11443,49,162,124,25,4618,0,905,906,52461,8520
"HER34L","HER34L_1A_318",42.7,2497.82,7.38,1,34543.29297,84365,1.38,69,55,592,220,69,16078,97,177,35,69,4182,0,802,1090,51803,8605
"HER34L","HER34L_1A_319",42.8,2504.73,7.38,1,34680.38281,87226,1.36,90,25,395,87,85,21445,105,131,139,39,3327,0,584,997,51196,8106
"HER34L","HER34L_1A_320",42.9,2511.65,7.39,1,34706.02734,93926,1.5,148,33,330,100,48,28536,194,182,0,84,3097,22,854,979,50444,8237
"HER34L","HER34L_1A_321",43,2518.56,7.39,1,34725.46484,93902,1.4,115,33,411,98,96,28698,198,150,147,50,3095,0,716,972,50312,8269
"HER34L","HER34L_1A_322",43.1,2525.47,7.38,1,35336.33594,103916,1.57,127,31,339,107,82,41587,37,129,0,60,2955,57,526,918,48258,8050
"HER34L","HER34L_1A_323",43.2,2532.38,7.38,1,35361.53516,107378,1.62,127,33,314,119,42,45461,80,174,14,0,3106,65,465,844,47979,7821
"HER34L","HER34L_1A_324",43.3,2539.29,7.38,1,34509.625,99581,1.55,128,40,312,104,10,36656,100,118,89,0,3097,24,578,936,48374,8513
"HER34L","HER34L_1A_325",43.4,2546.2,7.39,1,35708.73828,104635,1.47,115,31,413,96,69,39558,191,121,64,0,3302,104,607,1017,50402,7999
"HER34L","HER34L_1A_326",43.5,2553.11,7.38,1,36164.01172,103357,1.66,96,43,395,154,37,36075,284,145,65,0,3676,54,585,1038,51733,8439
"HER34L","HER34L_1A_327",43.6,2560.02,7.38,1,35918.93359,92502,1.43,110,34,408,82,93,24628,38,156,96,60,3372,0,538,902,53229,8303
"HER34L","HER34L_1A_328",43.7,2566.93,7.39,1,35262.58984,87809,1.61,88,37,455,119,35,19628,113,168,120,0,2783,97,739,1040,53352,8335
"HER34L","HER34L_1A_329",43.8,2573.84,7.38,1,34546.62109,83832,1.42,78,39,419,74,57,15950,204,214,92,83,2626,0,642,1163,53034,8725
"HER34L","HER34L_1A_330",43.9,2580.75,7.38,1,34904.37891,87106,1.62,105,48,525,103,56,19647,154,165,107,0,2709,96,839,1050,52863,8259
"HER34L","HER34L_1A_331",44,2587.67,7.38,1,35074.24609,84607,1.31,69,41,461,112,60,15934,27,189,66,62,3079,96,988,1053,53632,8221
"HER34L","HER34L_1A_332",44.1,2594.58,7.38,1,35012.78516,83918,1.42,60,50,500,81,57,14248,0,147,84,59,4012,79,1055,1245,52876,8739
"HER34L","HER34L_1A_333",44.2,2601.49,7.38,1,34975.38672,85170,1.71,76,61,545,162,89,14795,86,185,32,75,4698,0,934,1338,52634,8556
"HER34L","HER34L_1A_334",44.3,2608.4,7.39,1,35099.08594,86730,1.51,68,88,607,145,100,17359,125,237,12,65,4799,31,1097,1042,52029,8314
"HER34L","HER34L_1A_335",44.4,2615.31,7.39,1,35103.30078,82286,1.44,53,30,555,155,40,11242,103,161,112,96,4895,38,1140,1120,53375,8409
"HER34L","HER34L_1A_336",44.5,2622.22,7.4,1,34822.29297,81780,1.41,58,42,642,143,34,10729,79,172,24,48,5058,0,951,1122,53432,8741
"HER34L","HER34L_1A_337",44.6,2629.13,7.4,1,35241.60938,84582,1.52,77,42,646,172,77,12684,254,207,65,99,5397,80,888,1194,53435,8554
"HER34L","HER34L_1A_338",44.7,2636.04,7.39,1,35490.21094,85357,1.32,102,62,657,151,69,13342,132,164,93,63,5178,155,987,1526,53562,8726
"HER34L","HER34L_1A_339",44.8,2642.95,7.39,1,34925.98438,79819,1.32,91,74,659,126,43,7857,57,183,96,95,5584,67,878,1102,53562,8522
"HER34L","HER34L_1A_340",44.9,2649.86,7.39,1,34756.21875,80878,1.54,88,78,666,250,88,9639,64,180,129,57,5202,80,1041,1079,52978,8477
"HER34L","HER34L_1A_341",45,2656.77,7.39,1,34446.01172,80557,1.69,81,47,612,189,40,10467,0,106,69,5,5396,26,1037,1211,52325,8424
"HER34L","HER34L_1A_342",45.1,2664.14,7.38,1,34400.26172,79863,1.39,52,48,687,165,81,9691,39,190,102,52,5511,0,836,1083,51880,8748
"HER34L","HER34L_1A_343",45.2,2671.51,7.38,1,34351.64063,78413,1.56,50,82,588,201,70,8041,58,132,0,87,5492,5,751,1198,52687,8572
"HER34L","HER34L_1A_344",45.3,2678.88,7.38,1,34193.60938,79490,1.67,81,71,635,197,88,9920,60,183,109,0,5307,168,944,1098,51734,8267
"HER34L","HER34L_1A_345",45.4,2686.25,7.38,1,33962.71094,82725,1.45,93,60,539,215,125,14647,0,149,69,43,5132,0,731,1113,50725,8311
"HER34L","HER34L_1A_346",45.5,2693.62,7.39,1,33460.53906,86071,1.58,82,72,546,154,104,20290,163,222,148,70,5000,63,1013,1131,47763,8233
