"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_156",26.5,1362.99,6.69,1,34624.50391,74976,1.58,-2.27746217875236,0.534280480906978,-1.92915548448415,-3.02776777315225,2.54884955587927,-1.36117144687821,2.15037399195282,-5.86098111720847,0.982768831797754,5.05873299581441,3.18153214412421,6.53584102200142,0.153002497556738,-0.356674943938732,-2.83824269246122,-2.48156774852249
"HER34L","HER34L_1A","HER34L_1A_157",26.6,1370.24,6.7,1,34600.28516,75049,1.36,-2.70547062482083,0.259489990066408,-1.771161387444,-2.59106027364308,2.29276487629134,-3.15745574856389,1.84200624493424,-2.46430856800394,0.725579719991008,4.70373923380063,2.86587653739212,6.28370430169531,0.159141797893037,-0.953104704996871,-2.99416855157781,-2.04106384658094
"HER34L","HER34L_1A","HER34L_1A_158",26.7,1377.48,6.71,1,34484.67578,75525,1.39,-3.01442206976959,0.0722118533039578,-1.8945323826542,-2.53638626882659,2.09834271940304,-1.61212736730326,1.63615314098057,-2.35406471203264,0.554656184531724,4.4557101585893,2.5944587437777,6.43242284498049,0.15546241658854,-1.14209740060785,-3.11794990627824,-1.97585250567039
"HER34L","HER34L_1A","HER34L_1A_159",26.8,1384.73,6.7,1,34050.95313,74769,1.41,-2.24538109996696,0.80644064023807,-1.78990557128414,-1.71928800407018,2.95651007965701,-5.50347763798845,2.49418548903165,-5.50347763798845,1.54055525928624,5.39865452742941,3.5651839556558,6.25616501498041,0.159842331141442,-0.470003629245736,-3.08922261664133,-2.61921898739559
"HER34L","HER34L_1A","HER34L_1A_160",26.9,1391.98,6.7,1,33750.14063,74460,1.39,-2.80839546976571,0.0769129861739064,-1.97416969094586,-2.21055846901009,2.21866976714808,-1.50088198649894,1.68228171700128,-3.53231430899241,0.735633358983764,4.58126206517328,2.7315600307327,6.35856241818398,0.157268252512586,-0.851752210736584,-2.91438663410004,-2.06263442336345
"HER34L","HER34L_1A","HER34L_1A_161",27,1399.22,6.7,1,33597.25781,73078,1.11,-2.4204452532079,0.499779467837948,-1.78981842962929,-3.27789548505912,2.50900189630759,-0.798959002257623,2.09340677424541,-5.91695281467438,1.01647021105634,4.96150938607168,3.12390324930934,6.28210900473934,0.159182210822127,-0.645137961373585,-2.94936105637187,-2.30422309499828
"HER34L","HER34L_1A","HER34L_1A_162",27.1,1406.47,6.7,1,33436.46875,72109,1.39,-1.63272570976631,0.842878547359381,-1.05736156486274,-2.03819081787447,2.7921209220905,-5.62170975633058,2.41259718000891,-5.62170975633058,1.29003754392109,5.23707768039403,3.39698573139076,6.29775893397941,0.158786643071478,-0.583584978048419,-2.49273754336855,-1.90915256532013
"HER34L","HER34L_1A","HER34L_1A_163",27.2,1413.72,6.71,1,32967.58984,72035,1.42,-2.64076172438945,0.4947324915397,-1.29528935778981,-1.90839383067622,2.48129567674323,-2.76859509589934,2.08733380843594,-5.85963754925765,1.2254267446949,5.00896899383455,3.17491984276416,6.25980684392512,0.159749338107846,-1.3758230612526,-3.17457556597162,-1.79875250471903
"HER34L","HER34L_1A","HER34L_1A_164",27.3,1420.96,6.73,1,33229.94531,72793,1.28,-3.7901139245952,0.235237766139946,-1.90304427556282,-3.69480374479088,2.42108838069216,-2.16087338486492,1.81532042704322,-1.52835082612141,0.875210184212635,4.78395097289757,2.94637842494971,6.28189910979228,0.15918752952291,-1.97716269255942,-4.12892489581888,-2.15176220325946
"HER34L","HER34L_1A","HER34L_1A_165",27.4,1428.21,6.74,1,33415.83594,73334,1.33,-3.7092302741934,-0.175057209840449,-2.14061435627956,-2.50525746986747,2.15231539491367,-1.9864636764523,1.49952701564199,-0.856598844280086,0.656836340901748,4.45588690577357,2.60865617368229,6.34287432351173,0.157657230617546,-1.62362254742606,-3.60121851555551,-1.97759596812945
