"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Ca","Fe","Cu","Br","Sr","Zr","Mo_inc","Mo_coh"
"HER14L","HER14L_2A_233",24.7,1263.56,7.5,1,28272,71943,1.48,72,466,5207,32,2326,1327,1169,51765,8647
"HER14L","HER14L_2A_234",24.8,1267.02,7.51,1,29155,74656,1.33,53,394,5641,91,2519,993,1184,53746,8654
"HER14L","HER14L_2A_235",24.9,1270.47,7.51,1,29703,76366,1.34,71,413,6001,101,2589,915,1334,54711,8968
"HER14L","HER14L_2A_236",25,1273.93,7.51,1,29885,76450,1.17,60,426,6247,96,2688,863,1284,55264,8630
"HER14L","HER14L_2A_237",25.1,1277.38,7.51,1,30191,77321,1.35,50,495,5839,119,2578,782,1469,56313,8687
"HER14L","HER14L_2A_238",25.2,1280.84,7.51,1,30280,77340,1.27,75,562,5872,88,2314,589,1202,56689,8522
"HER14L","HER14L_2A_239",25.3,1284.29,7.52,1,30312,76952,1.3,53,487,5390,56,2611,596,1255,56576,8839
"HER14L","HER14L_2A_240",25.4,1287.75,7.52,1,30072,76339,1.31,77,536,4791,29,2712,828,1235,56282,8907
"HER14L","HER14L_2A_241",25.5,1291.2,7.52,1,30365,77081,1.34,70,430,4825,178,2778,579,1428,57168,8638
"HER14L","HER14L_2A_242",25.6,1294.66,7.53,1,30479,77354,1.33,75,347,5712,100,2595,639,1193,56689,8790
"HER14L","HER14L_2A_243",25.7,1298.11,7.53,1,30458,78103,1.27,33,438,5436,189,2948,474,1284,57417,8907
"HER14L","HER14L_2A_244",25.8,1301.57,7.53,1,30721,78519,1.43,93,407,5979,149,2961,498,1403,56947,8676
"HER14L","HER14L_2A_245",25.9,1305.02,7.53,1,30730,77170,1.36,64,401,4507,186,2986,576,1379,57525,8510
"HER14L","HER14L_2A_246",26,1308.48,7.53,1,30664,76592,1.45,62,435,3531,127,3058,626,1100,57935,8584
"HER14L","HER14L_2A_247",26.1,1311.93,7.53,1,30528,76293,1.46,46,424,3473,61,2928,557,1204,57608,8627
"HER14L","HER14L_2A_248",26.2,1315.39,7.53,1,30498,75402,1.41,69,349,3551,78,2814,552,1196,56934,8698
"HER14L","HER14L_2A_249",26.3,1318.84,7.54,1,30634,77227,1.62,54,376,4791,83,3030,537,1203,57661,8494
"HER14L","HER14L_2A_250",26.4,1322.3,7.54,1,30483,78198,1.36,28,430,5187,119,2837,558,1332,57816,8695
"HER14L","HER14L_2A_251",26.5,1325.75,7.54,1,30458,77718,1.4,74,518,4138,80,2850,605,1366,57720,8835
"HER14L","HER14L_2A_252",26.6,1329.21,7.54,1,30552,79272,1.4,56,503,5191,94,3086,677,1365,58144,8865
"HER14L","HER14L_2A_253",26.7,1332.66,7.54,1,30332,78294,1.31,60,424,5295,95,2880,830,1294,57373,8888
"HER14L","HER14L_2A_254",26.8,1336.12,7.54,1,30432,78575,1.34,80,510,5286,89,3075,780,1482,57271,8756
"HER14L","HER14L_2A_255",26.9,1339.57,7.54,1,30447,77963,1.52,77,479,4884,145,3143,821,1338,57108,8584
"HER14L","HER14L_2A_256",27,1343.03,7.55,1,30582,78110,1.41,44,469,4833,0,3078,732,1233,57902,8977
"HER14L","HER14L_2A_257",27.1,1346.48,7.54,1,30643,77788,1.37,66,445,4566,136,3125,742,1366,57397,8669
"HER14L","HER14L_2A_258",27.2,1349.94,7.55,1,30800,77811,1.36,66,397,5004,37,3032,538,1345,57746,8843
"HER14L","HER14L_2A_259",27.3,1353.39,7.55,1,30838,77711,1.45,38,421,4744,139,2916,530,1292,57812,8684
"HER14L","HER14L_2A_260",27.4,1356.85,7.55,1,30694,75859,1.3,69,422,4608,25,2870,345,1073,57090,8358
"HER14L","HER14L_2A_261",27.5,1360.3,7.55,1,30696,77773,1.33,62,392,5195,19,2909,502,1491,57645,8659
"HER14L","HER14L_2A_262",27.6,1363.76,7.55,1,30715,77053,1.3,44,415,4756,67,2674,513,1274,57527,8678
"HER14L","HER14L_2A_263",27.7,1367.21,7.56,1,30838,78092,1.27,57,418,4587,166,2717,625,1387,58246,8783
"HER14L","HER14L_2A_264",27.8,1370.67,7.56,1,30874,78234,1.24,69,464,5844,185,2756,482,950,57766,8579
"HER14L","HER14L_2A_265",27.9,1374.12,7.56,1,30796,78493,1.69,53,398,6190,127,2735,613,1244,57420,8701
"HER14L","HER14L_2A_266",28,1377.58,7.56,1,30922,78019,1.32,83,402,5393,160,2585,479,1252,57908,8536
"HER14L","HER14L_2A_267",28.1,1381.03,7.56,1,30986,79180,1.49,63,422,5173,52,2571,604,1423,58397,8710
"HER14L","HER14L_2A_268",28.2,1384.49,7.56,1,30933,77324,1.5,70,388,4627,25,2590,467,1327,58105,8662
"HER14L","HER14L_2A_269",28.3,1387.94,7.56,1,30840,78091,1.32,63,394,4545,72,2865,447,1251,58085,8965
"HER14L","HER14L_2A_270",28.4,1391.4,7.57,1,30818,77732,1.43,51,372,4394,162,2552,489,1219,58261,8908
"HER14L","HER14L_2A_271",28.5,1394.85,7.56,1,30857,77549,1.32,50,338,3919,0,2614,700,1440,58499,8812
"HER14L","HER14L_2A_272",28.6,1398.31,7.56,1,30912,75841,1.31,45,313,3070,103,2520,554,1432,58367,8682
"HER14L","HER14L_2A_273",28.7,1401.76,7.56,1,30722,76761,1.45,66,337,3414,108,2637,428,1317,58254,9010
"HER14L","HER14L_2A_274",28.8,1405.22,7.56,1,30836,76337,1.64,58,313,3379,88,2800,231,1252,58418,8653
"HER14L","HER14L_2A_275",28.9,1408.67,7.56,1,30883,78548,1.4,32,393,5037,116,2752,465,1236,58287,9018
"HER14L","HER14L_2A_276",29,1412.13,7.57,1,30827,76675,1.54,65,351,3504,39,2887,405,1219,58165,8813
"HER14L","HER14L_2A_277",29.1,1415.58,7.57,1,30806,76639,1.33,52,376,3985,110,2627,247,1132,58217,8834
"HER14L","HER14L_2A_278",29.2,1419.04,7.57,1,30823,78351,1.47,67,393,3967,149,2900,649,1352,59027,8705
"HER14L","HER14L_2A_279",29.3,1422.49,7.57,1,30729,78176,1.19,53,514,4014,49,2819,574,1259,59206,8845
"HER14L","HER14L_2A_280",29.4,1425.95,7.57,1,31097,79372,1.41,39,505,4702,118,2581,685,1334,59256,8847
"HER14L","HER14L_2A_281",29.5,1429.4,7.57,1,31076,78975,1.4,69,440,4417,55,2572,432,1283,59704,9150
"HER14L","HER14L_2A_282",29.6,1432.86,7.57,1,31198,79348,1.28,84,490,5124,91,2599,522,1367,58702,8903
"HER14L","HER14L_2A_283",29.7,1436.32,7.57,1,31112,78781,1.36,61,338,5470,89,2591,242,1271,59030,8828
"HER14L","HER14L_2A_284",29.8,1439.77,7.56,1,31266,80446,1.37,55,376,5551,136,2732,633,1428,59506,8777
"HER14L","HER14L_2A_285",29.9,1443.23,7.56,1,31260,78766,1.3,39,371,5265,13,2533,431,1179,59017,9011
"HER14L","HER14L_2A_286",30,1444.64,7.56,1,31241,80412,1.56,63,371,5258,98,2694,474,1529,59452,9206
"HER14L","HER14L_2A_287",30.1,1446.06,7.57,1,30869,77681,1.52,61,456,4603,108,2572,524,1088,58297,9036
"HER14L","HER14L_2A_288",30.2,1447.48,7.57,1,31048,79536,1.28,76,398,4810,59,2833,564,1460,59050,8958
"HER14L","HER14L_2A_289",30.3,1448.9,7.57,1,30982,79367,1.58,67,458,5302,111,2870,389,1277,58781,9145
"HER14L","HER14L_2A_290",30.4,1450.32,7.57,1,30875,78972,1.7,63,518,4565,226,2725,533,1213,59052,9009
"HER14L","HER14L_2A_291",30.5,1451.74,7.58,1,30889,79207,1.42,64,462,4434,76,2341,633,1378,59357,8887
"HER14L","HER14L_2A_292",30.6,1453.16,7.58,1,31015,78162,1.62,67,445,3853,113,2531,374,1404,59533,9023
"HER14L","HER14L_2A_293",30.7,1454.58,7.58,1,30854,78287,1.46,82,349,3538,73,2819,451,1349,58995,8939
"HER14L","HER14L_2A_294",30.8,1456,7.59,1,30868,77381,1.5,72,452,3774,75,2858,467,1316,58310,8915
"HER14L","HER14L_2A_295",30.9,1457.42,7.58,1,30846,77631,1.37,74,476,4110,121,2738,542,1402,58399,8764
"HER14L","HER14L_2A_296",31,1458.84,7.58,1,30850,78090,1.51,59,551,4468,80,2952,660,1308,58347,8675
"HER14L","HER14L_2A_297",31.1,1460.26,7.58,1,30768,77497,1.43,65,472,3924,118,2905,533,1253,58253,8810
"HER14L","HER14L_2A_298",31.2,1461.68,7.59,1,30665,76974,1.52,70,520,3527,148,3102,293,1269,58046,9120
"HER14L","HER14L_2A_299",31.3,1463.1,7.59,1,30997,77868,1.58,68,476,2917,184,3133,543,1448,58989,8916
"HER14L","HER14L_2A_300",31.4,1464.51,7.59,1,31014,76500,1.52,84,418,2341,110,3181,433,1139,58643,8982
"HER14L","HER14L_2A_301",31.5,1465.93,7.59,1,30944,77404,1.49,56,443,2353,86,3035,521,1355,59430,9114
"HER14L","HER14L_2A_302",31.6,1467.35,7.59,1,31049,76081,1.26,43,424,2154,124,3099,361,1311,58961,8742
"HER14L","HER14L_2A_303",31.7,1468.77,7.6,1,31000,76529,1.46,62,437,2491,56,3062,445,1453,58537,8908
"HER14L","HER14L_2A_304",31.8,1470.19,7.6,1,30897,77033,1.32,60,483,2916,165,2781,488,1338,58784,9077
"HER14L","HER14L_2A_305",31.9,1471.61,7.59,1,30842,77630,1.53,81,480,2663,24,3128,576,1298,59351,9065
"HER14L","HER14L_2A_306",32,1473.03,7.59,1,31149,77571,1.46,62,469,2644,68,2958,417,1454,59307,9010
"HER14L","HER14L_2A_307",32.1,1474.45,7.58,1,31160,77606,1.37,64,482,2913,137,3090,642,1388,58863,8876
"HER14L","HER14L_2A_308",32.2,1475.87,7.58,1,31146,76897,1.53,68,480,2913,100,3100,534,994,58970,8585
"HER14L","HER14L_2A_309",32.3,1477.29,7.59,1,31232,78061,1.66,94,519,3138,106,3060,546,1349,59168,8796
"HER14L","HER14L_2A_310",32.4,1478.71,7.59,1,31117,77714,1.46,41,413,3075,150,2966,487,1110,59510,8714
"HER14L","HER14L_2A_311",32.5,1480.13,7.59,1,31216,78073,1.31,46,405,3002,138,3288,410,1352,59210,9081
"HER14L","HER14L_2A_312",32.6,1481.55,7.59,1,31052,77615,1.29,109,476,2666,53,2873,493,1523,59379,8884
"HER14L","HER14L_2A_313",32.7,1482.97,7.59,1,30954,76680,1.48,67,489,2785,39,3097,483,1179,58820,8760
"HER14L","HER14L_2A_314",32.8,1484.38,7.59,1,31054,76760,1.36,79,488,2880,118,2849,650,1297,58911,8727
"HER14L","HER14L_2A_315",32.9,1485.8,7.59,1,31286,77978,1.31,49,444,3034,128,2859,619,1478,59760,8717
"HER14L","HER14L_2A_316",33,1487.22,7.58,1,31287,78201,1.35,65,531,3099,120,2860,591,1512,59691,8818
"HER14L","HER14L_2A_317",33.1,1488.64,7.58,1,31424,77952,1.49,70,509,3261,110,2794,687,1303,59240,8856
"HER14L","HER14L_2A_318",33.2,1490.06,7.59,1,31401,78009,1.59,69,455,2634,151,2968,555,1257,59775,8907
"HER14L","HER14L_2A_319",33.3,1491.48,7.59,1,31190,76633,1.5,53,372,2229,37,3075,388,1473,59400,8710
"HER14L","HER14L_2A_320",33.4,1492.9,7.59,1,31067,76442,1.42,74,432,2368,114,2898,357,1287,59131,8933
"HER14L","HER14L_2A_321",33.5,1494.32,7.59,1,31029,75246,1.45,69,349,2061,0,2814,491,1247,58206,8758
"HER14L","HER14L_2A_322",33.6,1495.74,7.59,1,30849,75922,1.27,58,424,1767,101,2958,540,1548,58752,8780
"HER14L","HER14L_2A_323",33.7,1497.16,7.59,1,30830,76331,1.51,56,385,2029,53,2767,537,1501,58614,9054
"HER14L","HER14L_2A_324",33.8,1498.58,7.59,1,31205,76687,1.31,46,393,2133,91,3036,422,1124,58892,9077
"HER14L","HER14L_2A_325",33.9,1500,7.59,1,31243,77920,1.43,61,469,2484,135,2960,734,1355,59526,8770
"HER14L","HER14L_2A_326",34,1501.42,7.58,1,31336,78242,1.18,55,467,3098,217,3026,473,1223,59574,8808
"HER14L","HER14L_2A_327",34.1,1502.84,7.58,1,31213,76682,1.35,72,402,2296,224,2937,568,1123,59166,8873
"HER14L","HER14L_2A_328",34.2,1504.25,7.58,1,31272,75915,1.32,45,405,1603,123,2680,399,1359,59575,8834
"HER14L","HER14L_2A_329",34.3,1505.67,7.58,1,31319,76043,1.27,35,412,1698,65,2646,211,1348,59689,8888
"HER14L","HER14L_2A_330",34.4,1507.09,7.58,1,31210,75816,1.53,63,393,1886,46,2457,321,1241,59146,9008
"HER14L","HER14L_2A_331",34.5,1508.51,7.58,1,31084,76477,1.33,82,386,2140,97,2705,470,1237,59241,8935
"HER14L","HER14L_2A_332",34.6,1509.93,7.58,1,31146,77509,1.58,66,448,3241,68,2826,607,1257,58916,8764
"HER14L","HER14L_2A_333",34.7,1511.35,7.57,1,31096,77006,1.43,77,516,3378,111,2922,467,1277,58361,8663
"HER14L","HER14L_2A_334",34.8,1512.77,7.56,1,31084,77470,1.43,79,406,3206,88,2833,651,1328,59122,8695
"HER14L","HER14L_2A_335",34.9,1514.19,7.57,1,31221,76853,1.24,61,448,3337,112,2680,574,1235,58681,8833
"HER14L","HER14L_2A_336",35,1515.61,7.57,1,30989,77591,1.3,59,494,3265,132,2976,568,1292,58888,9009
"HER14L","HER14L_2A_337",35.1,1517.03,7.57,1,30889,75845,1.52,82,458,2998,28,2610,540,1376,58179,8735
"HER14L","HER14L_2A_338",35.2,1518.45,7.56,1,31120,76079,1.35,55,514,3128,111,2753,408,1296,58227,8712
"HER14L","HER14L_2A_339",35.3,1519.87,7.56,1,30906,76886,1.28,51,371,2640,138,2696,502,1326,59275,8922
"HER14L","HER14L_2A_340",35.4,1521.29,7.56,1,30952,75859,1.31,70,395,2473,47,2802,440,1183,58933,8624
"HER14L","HER14L_2A_341",35.5,1522.7,7.56,1,31121,76510,1.4,60,438,2226,127,2648,396,1340,59514,8939
"HER14L","HER14L_2A_342",35.6,1524.12,7.56,1,30925,75653,1.55,55,382,2167,89,2577,562,1482,58782,8548
"HER14L","HER14L_2A_343",35.7,1525.54,7.56,1,31172,75553,1.36,72,406,2150,67,2622,343,1229,58837,8904
"HER14L","HER14L_2A_344",35.8,1526.96,7.56,1,31258,77783,1.24,39,470,2699,130,2571,556,1368,59398,8796
"HER14L","HER14L_2A_345",35.9,1528.38,7.56,1,31248,78055,1.41,62,473,2656,144,2585,500,1388,60020,9005
"HER14L","HER14L_2A_346",36,1529.8,7.55,1,31325,77386,1.58,71,427,2399,59,2536,496,1454,59986,8862
"HER14L","HER14L_2A_347",36.1,1531.22,7.55,1,31298,76848,1.47,70,365,2374,93,2644,607,1342,59587,8718
"HER14L","HER14L_2A_348",36.2,1532.64,7.54,1,31261,76768,1.48,57,458,2100,87,2651,417,1402,59426,9148
"HER14L","HER14L_2A_349",36.3,1534.06,7.54,1,31140,77301,1.56,72,409,1882,97,2607,458,1483,59970,9304
"HER14L","HER14L_2A_350",36.4,1535.48,7.54,1,31246,76276,1.49,64,405,1737,35,2593,418,1343,59697,9145
"HER14L","HER14L_2A_351",36.5,1536.9,7.54,1,31221,75912,1.51,68,385,1677,149,2740,457,1198,59189,8743
"HER14L","HER14L_2A_352",36.6,1538.32,7.53,1,31476,75800,1.38,46,381,1294,138,2101,402,1273,59926,9127
"HER14L","HER14L_2A_353",36.7,1539.74,7.53,1,31632,75589,1.6,47,331,887,91,1883,334,1335,60669,8978
"HER14L","HER14L_2A_354",36.8,1541.16,7.53,1,31332,74808,1.39,53,341,707,117,1795,464,1553,59964,9093
"HER14L","HER14L_2A_355",36.9,1542.57,7.53,1,31395,74822,1.42,54,366,613,53,1603,317,1409,60533,8781
"HER14L","HER14L_2A_356",37,1543.99,7.54,1,31358,75077,1.39,61,311,558,81,1481,240,1363,60603,9008
"HER14L","HER14L_2A_357",37.1,1545.41,7.53,1,31223,74875,1.48,56,339,769,68,1596,438,1186,59893,9329
"HER14L","HER14L_2A_358",37.2,1546.83,7.53,1,31122,73862,1.35,55,329,740,59,2114,368,1327,59356,8631
"HER14L","HER14L_2A_359",37.3,1548.25,7.53,1,31311,77249,1.35,83,435,1236,82,2876,597,1276,60444,9036
"HER14L","HER14L_2A_360",37.4,1549.67,7.53,1,31163,76950,1.43,73,449,1725,42,2900,575,1295,59945,8759
"HER14L","HER14L_2A_361",37.5,1551.09,7.54,1,31305,76924,1.38,43,465,1939,114,2806,545,1266,59350,8982
"HER14L","HER14L_2A_362",37.6,1552.51,7.54,1,31480,78006,1.2,21,395,1619,152,3168,851,1456,60163,9020
"HER14L","HER14L_2A_363",37.7,1553.93,7.54,1,31460,77631,1.31,73,462,1985,184,2953,622,1416,59803,9039
"HER14L","HER14L_2A_364",37.8,1555.35,7.54,1,31402,77911,1.43,43,475,1786,111,2880,688,1482,60299,9110
"HER14L","HER14L_2A_365",37.9,1556.77,7.54,1,31314,76741,1.54,52,420,1518,98,3040,469,1366,59760,8807
"HER14L","HER14L_2A_366",38,1558.19,7.54,1,31331,76964,1.3,71,454,1199,81,2946,590,1288,60460,8894
"HER14L","HER14L_2A_367",38.1,1559.61,7.54,1,31427,76607,1.39,59,468,1345,80,2838,552,1364,60201,8853
"HER14L","HER14L_2A_368",38.2,1561.03,7.53,1,31466,76764,1.28,80,396,1237,123,2636,608,1437,60338,8881
"HER14L","HER14L_2A_369",38.3,1562.44,7.53,1,31567,77448,1.48,72,409,1154,87,2782,530,1446,60803,9192
"HER14L","HER14L_2A_370",38.4,1563.86,7.52,1,31751,76850,1.39,64,420,1593,126,2653,403,1435,60261,8788
"HER14L","HER14L_2A_371",38.5,1565.28,7.51,1,31721,76328,1.34,48,367,1300,94,2491,663,1381,60158,8955
"HER14L","HER14L_2A_372",38.6,1566.7,7.51,1,31636,76844,1.3,42,282,1140,95,2810,515,1491,60326,9141
"HER14L","HER14L_2A_373",38.7,1568.12,7.5,1,31595,75547,1.6,52,354,993,90,2957,382,1284,59908,8662
"HER14L","HER14L_2A_374",38.8,1569.54,7.5,1,31660,75219,1.68,47,400,911,93,2563,511,1306,59231,9016
"HER14L","HER14L_2A_375",38.9,1570.96,7.5,1,31608,75679,1.52,54,313,947,127,2712,448,1447,59976,8798
"HER14L","HER14L_2A_376",39,1572.38,7.5,1,31599,75864,1.54,67,404,1221,156,2731,442,1526,59559,8608
"HER14L","HER14L_2A_377",39.1,1573.8,7.5,1,31611,75853,1.5,47,374,1127,124,2638,435,1247,59778,8964
"HER14L","HER14L_2A_378",39.2,1575.22,7.5,1,31560,75202,1.5,51,395,1151,0,3028,316,1027,59625,8781
"HER14L","HER14L_2A_379",39.3,1576.64,7.5,1,31544,76563,1.56,40,360,1392,52,2893,575,1326,59654,9135
"HER14L","HER14L_2A_380",39.4,1578.06,7.5,1,31592,75623,1.62,50,427,1314,96,2749,393,1396,59487,8631
"HER14L","HER14L_2A_381",39.5,1579.48,7.5,1,31492,77125,1.35,42,403,1455,88,2896,479,1460,60089,9093
"HER14L","HER14L_2A_382",39.6,1580.9,7.5,1,31486,77181,1.3,41,361,1593,140,2697,567,1245,60208,9021
"HER14L","HER14L_2A_383",39.7,1582.31,7.49,1,31455,77925,1.37,69,373,1593,178,2839,516,1615,60099,9006
"HER14L","HER14L_2A_384",39.8,1583.73,7.49,1,31594,77156,1.41,52,392,1508,52,3027,363,1516,60081,8960
"HER14L","HER14L_2A_385",39.9,1585.15,7.49,1,31586,76836,1.47,66,397,1635,84,2796,415,1431,60067,8923
"HER14L","HER14L_2A_386",40,1586.01,7.48,1,31595,77554,1.49,34,393,1768,122,2702,569,1562,60191,9023
"HER14L","HER14L_2A_387",40.1,1586.88,7.47,1,31588,76969,1.4,35,340,2128,67,2642,578,1346,59908,8731
"HER14L","HER14L_2A_388",40.2,1587.74,7.47,1,31599,76537,1.48,53,396,2215,120,2546,636,1448,59398,8686
"HER14L","HER14L_2A_389",40.3,1588.6,7.46,1,31513,76771,1.4,48,412,2141,9,2493,572,1463,59396,9165
"HER14L","HER14L_2A_390",40.4,1589.46,7.46,1,31467,77048,1.35,33,445,1749,142,3033,572,1432,59397,8899
"HER14L","HER14L_2A_391",40.5,1590.32,7.46,1,31507,77045,1.53,52,495,1726,116,2816,463,1189,59733,9165
"HER14L","HER14L_2A_392",40.6,1591.18,7.45,1,31564,77063,1.46,68,446,2170,101,2756,871,1345,59213,8835
"HER14L","HER14L_2A_393",40.7,1592.04,7.45,1,31635,76565,1.29,51,404,2011,132,2882,497,1435,59323,8863
"HER14L","HER14L_2A_394",40.8,1592.9,7.44,1,31715,77385,1.51,38,380,1703,50,2805,456,1339,60640,8902
"HER14L","HER14L_2A_395",40.9,1593.76,7.43,1,31915,77177,1.41,68,410,1724,118,2743,401,1494,59800,9136
"HER14L","HER14L_2A_396",41,1594.62,7.44,1,32059,77348,1.36,54,426,1426,172,2751,600,1394,60131,9185
"HER14L","HER14L_2A_397",41.1,1595.49,7.43,1,31882,76884,1.57,44,411,1373,104,2903,492,1358,60328,8822
"HER14L","HER14L_2A_398",41.2,1596.35,7.43,1,31859,77257,1.52,58,418,1597,89,2731,397,1319,60436,9125
"HER14L","HER14L_2A_399",41.3,1597.21,7.43,1,31781,77823,1.53,74,385,1457,224,2859,458,1510,60644,8730
"HER14L","HER14L_2A_400",41.4,1598.07,7.43,1,31699,77273,1.33,53,384,1414,154,2765,581,1536,60233,9188
"HER14L","HER14L_2A_401",41.5,1598.93,7.43,1,31852,77587,1.28,38,425,1515,80,3061,404,1345,60742,8886
"HER14L","HER14L_2A_402",41.6,1599.79,7.43,1,31991,77364,1.45,79,437,1470,105,2984,543,1266,60292,8995
"HER14L","HER14L_2A_403",41.7,1600.65,7.43,1,31991,76522,1.44,53,404,1560,172,2909,536,1442,59672,8667
"HER14L","HER14L_2A_404",41.8,1601.51,7.43,1,31950,77177,1.27,73,424,1486,103,2800,497,1333,60371,9073
"HER14L","HER14L_2A_405",41.9,1602.37,7.43,1,31852,77477,1.34,33,411,1896,178,2960,541,1398,60223,8727
"HER14L","HER14L_2A_406",42,1603.23,7.43,1,31921,77257,1.34,63,442,1568,151,2798,532,1445,60808,8665
"HER14L","HER14L_2A_407",42.1,1604.1,7.42,1,32057,76541,1.24,44,393,1517,136,2756,433,1263,60161,8964
"HER14L","HER14L_2A_408",42.2,1604.96,7.42,1,32059,75175,1.44,71,411,1309,12,2663,320,1346,59335,8735
"HER14L","HER14L_2A_409",42.3,1605.82,7.42,1,32033,76986,1.4,59,382,1316,155,2865,484,1468,60081,8850
"HER14L","HER14L_2A_410",42.4,1606.68,7.42,1,31938,76411,1.49,49,438,1375,117,2945,461,1450,59871,8762
"HER14L","HER14L_2A_411",42.5,1607.54,7.42,1,32052,76444,1.63,75,452,1472,146,3232,448,1136,59844,8883
"HER14L","HER14L_2A_412",42.6,1608.4,7.42,1,31856,75950,1.37,67,486,1341,197,3155,550,1204,59420,8670
"HER14L","HER14L_2A_413",42.7,1609.26,7.4,1,31943,76264,1.57,51,425,1631,136,2954,622,1271,58989,8690
"HER14L","HER14L_2A_414",42.8,1610.12,7.4,1,31873,76897,1.36,58,445,1514,139,2672,603,1488,59982,8915
"HER14L","HER14L_2A_415",42.9,1610.98,7.4,1,31993,76627,1.39,58,448,1605,125,2781,703,1626,59952,8657
"HER14L","HER14L_2A_416",43,1611.84,7.39,1,32038,76918,1.44,38,384,1814,50,2804,476,1319,60294,8958
"HER14L","HER14L_2A_417",43.1,1612.71,7.39,1,31842,76403,1.47,48,429,1758,88,2897,418,1178,59697,8959
"HER14L","HER14L_2A_418",43.2,1613.57,7.39,1,31986,77905,1.46,59,447,1961,68,2935,515,1440,60419,8772
"HER14L","HER14L_2A_419",43.3,1614.43,7.38,1,32016,76665,1.56,52,405,1610,93,3013,334,1340,60037,8737
"HER14L","HER14L_2A_420",43.4,1615.29,7.37,1,32126,77520,1.47,82,391,1678,168,3032,414,1287,60255,8865
"HER14L","HER14L_2A_421",43.5,1616.15,7.36,1,32255,78352,1.25,58,421,1564,140,2823,625,1551,61151,9111
"HER14L","HER14L_2A_422",43.6,1617.01,7.34,1,32359,78770,1.36,56,460,1850,75,2876,766,1579,60958,9016
"HER14L","HER14L_2A_423",43.7,1617.87,7.33,1,32350,76697,1.48,65,363,1759,68,2834,311,1234,60328,8929
"HER14L","HER14L_2A_424",43.8,1618.73,7.33,1,32391,77928,1.47,65,387,1556,95,2689,489,1326,61341,9091
"HER14L","HER14L_2A_425",43.9,1619.59,7.32,1,32413,78250,1.46,54,431,2008,159,2701,605,1377,60817,8951
"HER14L","HER14L_2A_426",44,1620.45,7.33,1,32446,79129,1.38,67,437,1985,101,2775,545,1421,61523,9084
"HER14L","HER14L_2A_427",44.1,1621.31,7.34,1,32236,77972,1.42,52,399,2099,88,2644,347,1419,60990,9138
"HER14L","HER14L_2A_428",44.2,1622.18,7.34,1,31982,77661,1.46,70,466,2115,82,2463,434,1216,60431,8934
"HER14L","HER14L_2A_429",44.3,1623.04,7.34,1,31867,77463,1.34,72,397,2334,180,2423,499,1483,60414,8792
"HER14L","HER14L_2A_430",44.4,1623.9,7.34,1,31633,76580,1.38,85,427,1644,59,2544,441,1335,60280,8844
"HER14L","HER14L_2A_431",44.5,1624.76,7.34,1,31746,77291,1.26,52,450,1591,66,2719,582,1433,60141,9174
"HER14L","HER14L_2A_432",44.6,1625.62,7.34,1,31852,77358,1.47,66,461,1599,23,2863,540,918,60651,9160
"HER14L","HER14L_2A_433",44.7,1626.48,7.33,1,31823,77664,1.29,54,442,1566,5,2946,408,1485,60618,9107
"HER14L","HER14L_2A_434",44.8,1627.34,7.32,1,31948,78266,1.32,66,484,1531,145,3100,700,1369,60603,9105
"HER14L","HER14L_2A_435",44.9,1628.2,7.32,1,31939,78389,1.33,51,426,2365,62,3054,710,1174,60625,8847
"HER14L","HER14L_2A_436",45,1629.06,7.34,1,32245,79906,1.35,74,460,2365,92,3217,669,1468,61124,9203
"HER14L","HER14L_2B_47",45.1,1629.92,7.33,1,33297,79308,1.44,36,414,889,57,2900,649,1326,62389,9469
"HER14L","HER14L_2B_48",45.2,1630.79,7.32,1,33291,80200,1.39,43,339,1029,99,3097,658,1397,62706,9401
"HER14L","HER14L_2B_49",45.3,1631.65,7.32,1,33468,80255,1.33,44,379,1083,124,2995,750,1502,62902,9631
"HER14L","HER14L_2B_50",45.4,1632.51,7.32,1,33542,80681,1.21,63,331,900,84,3170,631,1517,63455,9347
"HER14L","HER14L_2B_51",45.5,1633.37,7.32,1,33516,80593,1.41,84,436,964,202,3613,476,1460,62570,9395
"HER14L","HER14L_2B_52",45.6,1634.23,7.32,1,32667,78442,1.32,64,367,864,57,3290,751,1280,61744,9025
"HER14L","HER14L_2B_53",45.7,1635.09,7.31,1,33068,78476,1.45,38,323,838,119,3146,573,1177,62041,9192
"HER14L","HER14L_2B_54",45.8,1635.95,7.32,1,33244,80316,1.41,51,373,902,203,3459,463,1505,62361,9430
"HER14L","HER14L_2B_55",45.9,1636.81,7.32,1,33296,79500,1.53,25,384,889,44,3449,467,1381,62356,9379
"HER14L","HER14L_2B_56",46,1637.67,7.31,1,33406,80150,1.27,58,352,891,77,3420,457,1630,63013,9393
"HER14L","HER14L_2B_57",46.1,1638.53,7.32,1,33374,80201,1.29,50,364,953,159,3295,550,1292,62840,9379
"HER14L","HER14L_2B_58",46.2,1639.4,7.32,1,33408,79199,1.54,74,361,899,37,3237,503,1453,62453,9338
"HER14L","HER14L_2B_59",46.3,1640.26,7.32,1,33376,80060,1.54,59,381,923,180,3372,496,1352,62705,9329
"HER14L","HER14L_2B_60",46.4,1641.12,7.33,1,33234,78059,1.26,66,295,1020,67,3050,455,1151,61837,9346
