Site,label,ID,depth,SH20_age,surface,validity,kcps,cps,MSE,K,Ca,Ti,Fe,Br,Sr,Mo_inc,Mo_coh,inc_coh,coh_inc,LnK_Ti,LnK_Ca,LnTi_Ca
HER14L,HER14L_2A,HER14L_2A_64,7.8,615.08,7,1,31328,77584,1.4,-3.867466804,-1.109870866,-2.412179571,0.888173829,1.001165944,-0.778591199,4.08822549,2.190543178,6.671048234,0.149901479,-1.492904096,-2.803360381,-1.310456285
HER14L,HER14L_2A,HER14L_2A_65,7.9,622.28,7,1,31142,77827,1.71,-3.680034815,-1.08976765,-2.671806588,0.958641783,1.024477814,-0.706775397,4.020830284,2.144434568,6.530531845,0.153126885,-1.032362903,-2.62522585,-1.592862947
HER14L,HER14L_2A,HER14L_2A_66,8,629.48,7.01,1,30832,76421,1.41,-4.118940456,-1.208921701,-2.99679767,1.001616365,1.224759916,-0.446262977,4.230087644,2.314458879,6.791872345,0.147234805,-1.172720261,-2.980228087,-1.807507826
HER14L,HER14L_2A,HER14L_2A_67,8.1,636.67,7,1,30773,76257,1.58,-3.560896485,-1.301151551,-2.576043082,0.738799881,0.957027692,-0.351093957,3.984595557,2.108761944,6.526872149,0.153212745,-1.005521866,-2.289162073,-1.283640207
HER14L,HER14L_2A,HER14L_2A_68,8.2,643.87,7,1,30955,75912,1.55,-3.655535091,-1.246789802,-2.96238791,0.909229681,0.999186874,-0.385205984,4.105835196,2.235667035,6.489994472,0.154083336,-0.713766468,-2.445963676,-1.732197208
HER14L,HER14L_2A,HER14L_2A_69,8.3,651.07,7.01,1,30883,75784,1.54,-3.202877734,-1.116515749,-3.419100842,0.947724631,1.110527984,-0.838361683,4.195364398,2.323238996,6.502709877,0.153782041,0.223143551,-2.111078627,-2.334222178
HER14L,HER14L_2A,HER14L_2A_70,8.4,658.26,7.01,1,30678,75995,1.58,-3.387659803,-1.20359331,-2.803146463,0.806884925,1.064633402,-0.719614936,4.061923748,2.180572436,6.562991242,0.152369547,-0.597837001,-2.210602703,-1.612765703
HER14L,HER14L_2A,HER14L_2A_71,8.5,665.46,7.01,1,30806,75981,1.47,-3.842497727,-1.150447868,-2.776146301,0.813275038,1.067703169,-0.406975603,4.089539621,2.205549671,6.580333033,0.151967992,-1.098612289,-2.737609003,-1.638996715
HER14L,HER14L_2A,HER14L_2A_72,8.6,672.66,7.02,1,30989,76510,1.52,-3.466972408,-1.121567318,-2.821834447,0.844665292,1.046630585,-0.694383686,4.046873219,2.166588762,6.555990165,0.152532261,-0.660357358,-2.374155285,-1.713797928
HER14L,HER14L_2A,HER14L_2A_73,8.7,679.85,7.03,1,30783,76046,1.35,-3.559052669,-1.122936184,-2.830814169,0.779171343,1.111102367,-0.66669875,4.089942432,2.199285629,6.624351747,0.150958167,-0.747214402,-2.469354237,-1.722139835
HER14L,HER14L_2A,HER14L_2A_74,8.8,687.05,7.05,1,30495,74936,1.4,-6.52029671,-0.620399357,-2.271801468,1.126534681,1.414574856,-0.136790075,4.444378138,2.563799935,6.557925791,0.152487239,NA,NA,-1.663047363
HER14L,HER14L_2A,HER14L_2A_75,8.9,694.25,7.05,1,30225,74818,1.46,-3.560171687,-1.171725303,-2.623402424,0.613684938,0.955224689,-0.403905211,4.034573927,2.155721069,6.546621238,0.152750551,-0.958254931,-2.420368129,-1.462113198
HER14L,HER14L_2A,HER14L_2A_76,9,701.44,7.05,1,30201,74943,1.49,-3.596433376,-1.105591991,-2.638178445,0.816797724,1.022921445,-0.663336673,4.038421824,2.125399491,6.774204864,0.147618801,-0.980829253,-2.524246064,-1.543416811
HER14L,HER14L_2A,HER14L_2A_77,9.1,708.64,7.05,1,30153,74868,1.37,-3.578315533,-1.251037827,-2.305349857,0.785237948,0.945799529,-0.82602063,4.061000309,2.168686061,6.635347777,0.150708001,-1.299282984,-2.360154945,-1.060871961
HER14L,HER14L_2A,HER14L_2A_78,9.2,715.84,7.06,1,30333,75031,1.43,-3.776150529,-1.10200188,-2.604513105,0.741677647,1.044497538,-0.605701298,4.096010093,2.206181534,6.618878312,0.151083001,-1.203972804,-2.717528945,-1.513556141
HER14L,HER14L_2A,HER14L_2A_79,9.3,723.03,7.06,1,30420,75428,1.35,-3.347265557,-1.219033851,-3.213734164,0.825802162,0.989464803,-0.286548433,4.067565467,2.183749574,6.579191668,0.151994356,-0.137201122,-2.153812084,-2.016610963
HER14L,HER14L_2A,HER14L_2A_80,9.4,730.23,7.05,1,30334,75810,1.48,-3.850438838,-1.002626694,-2.785728101,0.920245787,0.951941518,-0.596195869,4.129653199,2.233148998,6.6632083,0.150077854,-1.098612289,-2.896202678,-1.79759039
HER14L,HER14L_2A,HER14L_2A_81,9.5,737.43,7.06,1,30050,75711,1.38,-4.060441213,-0.858856885,-3.755059563,0.94254586,1.203358649,-0.144141651,4.277163825,2.395430978,6.565495566,0.152311427,-0.3254224,-3.27278109,-2.947358689
HER14L,HER14L_2A,HER14L_2A_82,9.6,744.62,7.06,1,30673,77587,1.63,-3.604981649,-0.610917433,-3.268509413,0.984736432,0.881780306,-0.453671144,3.980570258,2.090992643,6.617202374,0.151121266,-0.346276237,-3.026294924,-2.680018687
HER14L,HER14L_2A,HER14L_2A_83,9.7,751.82,7.04,1,30401,75593,1.48,-3.46818409,-1.330017262,-2.743288211,0.658429868,1.035203402,-0.431371791,4.07397806,2.205250024,6.480656247,0.154305361,-0.741937345,-2.167147122,-1.425209777
HER14L,HER14L_2A,HER14L_2A_84,9.8,759.02,7.06,1,30621,75573,1.27,-3.307912815,-1.438310859,-2.658568257,0.724556343,0.990343936,-0.662751703,4.120301537,2.232341818,6.606505889,0.151365944,-0.663294217,-1.894174475,-1.230880257
HER14L,HER14L_2A,HER14L_2A_85,9.9,766.22,7.06,1,30561,75767,1.55,-3.588893048,-1.16001423,-2.719855201,0.732689237,1.04993507,-0.69852129,4.136046355,2.248613108,6.603028603,0.151445656,-0.891998039,-2.464703942,-1.572705903
HER14L,HER14L_2A,HER14L_2A_86,10,769.53,7.04,1,30570,74511,1.55,-4.7080791,-0.930404147,-2.37732313,0.840996985,1.251821064,-0.833906318,4.316740317,2.440154329,6.531790609,0.153097376,-2.470920408,-3.928552307,-1.4576319
HER14L,HER14L_2A,HER14L_2A_87,10.1,772.85,7.03,1,30825,75628,1.48,-3.7938521,-1.075851568,-2.615197104,0.828666724,1.117331115,-0.951853926,4.19397804,2.296778819,6.667836522,0.149973683,-1.214444104,-2.765988038,-1.551543934
HER14L,HER14L_2A,HER14L_2A_88,10.2,776.16,7.03,1,30866,75253,1.29,-3.442858121,-1.189869969,-2.733710599,0.652561132,1.065516912,-0.656255156,4.100773964,2.203841838,6.666059433,0.150013664,-0.725937003,-2.282382386,-1.556445382
HER14L,HER14L_2A,HER14L_2A_89,10.3,779.48,7.03,1,31025,76170,1.39,-3.305250448,-1.248500318,-2.502903976,0.678496738,0.952360627,-0.724645194,4.014274808,2.136167762,6.541726859,0.152864835,-0.816761137,-2.079441542,-1.262680405
HER14L,HER14L_2A,HER14L_2A_90,10.4,782.79,7.03,1,31227,76695,1.45,-3.84286448,-1.006853932,-2.46854631,0.891661727,1.030877768,-0.916125078,4.107117484,2.204732822,6.702498874,0.149198085,-1.410986974,-2.882003508,-1.471016535
HER14L,HER14L_2A,HER14L_2A_91,10.5,786.11,7.04,1,31230,76055,1.37,-4.302079957,-1.030094306,-3.265988025,1.122068779,1.250174658,-0.449999987,4.289191336,2.386727502,6.703033047,0.149186196,-1.098612289,-3.363841595,-2.265229306
HER14L,HER14L_2A,HER14L_2A_92,10.6,789.42,7.04,1,31143,76566,1.41,-3.05776882,-1.130668003,-3.248824057,0.73820877,1.054173611,-0.665820046,4.104426433,2.206272112,6.674204072,0.1498306,0.195744577,-1.945910149,-2.141654726
HER14L,HER14L_2A,HER14L_2A_93,10.7,792.74,7.04,1,30490,73817,1.39,-3.770491001,-1.198572975,-2.372897085,0.687549256,0.907845155,-0.553435013,4.106095707,2.193905956,6.768566091,0.14774178,-1.432814377,-2.614959778,-1.182145401
HER14L,HER14L_2A,HER14L_2A_94,10.8,796.05,7.01,1,30593,73364,1.41,-4.064928564,-1.084700477,-3.262582091,0.949800902,1.25845658,-0.547659011,4.327102511,2.424510149,6.703915839,0.14916655,-0.84729786,-3.056356895,-2.209059035
HER14L,HER14L_2A,HER14L_2A_95,10.9,799.37,7.01,1,31378,75635,1.35,-3.338962232,-1.119758748,-2.96248466,0.808697389,1.079878376,-0.724699561,4.081941685,2.175387749,6.730516864,0.148576999,-0.385662481,-2.245080599,-1.859418118
HER14L,HER14L_2A,HER14L_2A_96,11,802.68,7.02,1,31110,75502,1.59,-3.25469866,-1.110536927,-2.672093353,0.825594149,0.917898099,-0.716949528,3.948049115,2.062737106,6.589047347,0.151767008,-0.593063722,-2.164963715,-1.571899993
HER14L,HER14L_2A,HER14L_2A_97,11.1,806,7.02,1,30003,71159,1.35,-3.478440845,-0.918466623,-2.621968609,0.917997568,0.922755705,-0.923466633,4.000057028,2.101532408,6.676728335,0.149773954,-0.875468737,-2.590267165,-1.714798428
HER14L,HER14L_2A,HER14L_2A_98,11.2,809.31,7.03,1,28616,67455,1.26,-2.798113185,-0.991754917,-3.066377172,0.654205907,0.775965913,-0.382987533,3.825952042,1.983108944,6.315120868,0.158350097,0.272866987,-1.818754974,-2.09162196
HER14L,HER14L_2A,HER14L_2A_99,11.3,812.63,7.01,1,26045,63132,1.31,-3.796988652,-0.449593977,-2.939538421,1.173568418,0.690041291,0.004102792,3.580033377,1.738375171,6.307735663,0.158535496,-0.878550404,-3.382505249,-2.503954845
HER14L,HER14L_2A,HER14L_2A_111,12.5,852.41,7.07,1,25017,62684,1.52,-2.991845975,-0.764381513,-2.697606502,0.960914811,0.084131415,0.352502542,3.347770456,1.708514766,5.151830581,0.194105762,-0.297632403,-2.239290243,-1.941657839
