"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1E","HER42L_1E_137",170.6,2722.39,7.36,1,29471,71435,1.46,1.41176470588235,2.82352941176471,0.92156862745098,7.2156862745098,1,0.431372549019608,22.6666666666667,0.254901960784314,4.27450980392157,0.647058823529412,57.8039215686275,NA,9.98039215686275,1088.49019607843,166.274509803922,63993,6.54634433962264,0.152757011871093,-0.0816780310142672,-2.05793533645887,-1.97625730544461
"HER42L","HER42L_1E","HER42L_1E_138",170.7,2723.25,7.36,1,29460,71503,1.37,2.325,4.25,0.9,9.7,1,1.525,42.3,0.275,3.275,0.825,78.2,NA,8.7,1369.85,211.45,63252,6.47836367935682,0.154359966419681,-0.105360515657826,-2.37748640116716,-2.27212588550934
"HER42L","HER42L_1E","HER42L_1E_139",170.8,2724.11,7.37,1,29185,71058,1.37,1.69387755102041,3,0.448979591836735,7.87755102040816,1,0.510204081632653,25.9387755102041,NA,3.59183673469388,1.40816326530612,62.5102040816327,NA,9.89795918367347,1118.4693877551,169.69387755102,63120,6.59110042092604,0.151719733600949,-0.800777844752311,-2.86479491610651,-2.0640170713542
"HER42L","HER42L_1E","HER42L_1E_140",170.9,2724.96,7.38,1,29491,72119,1.38,2.04761904761905,3.66666666666667,1.02380952380952,9.02380952380952,1,0.5,24.9285714285714,0.952380952380952,4.66666666666667,4.09523809523809,73.8571428571429,NA,12.6666666666667,1328.35714285714,200.642857142857,64218,6.62050551797793,0.151045867613056,0.023530497410194,-2.17633608938886,-2.19986658679906
"HER42L","HER42L_1E","HER42L_1E_141",171,2725.82,7.37,1,30770,74104,1.39,1.79166666666667,3.85416666666667,1.10416666666667,8.89583333333333,1,0.645833333333333,34.4166666666667,0.708333333333333,4.5,2.45833333333333,63.125,0.729166666666667,10.75,1182.75,188.083333333333,65800,6.28843597696057,0.15902205312478,0.099090902644231,-2.0864920996765,-2.18558300232073
"HER42L","HER42L_1E","HER42L_1E_142",171.1,2726.68,7.38,1,29413,71111,1.31,1.65384615384615,3.65384615384615,1.51923076923077,8.53846153846154,1,NA,39.5384615384615,0.134615384615385,2.46153846153846,0.75,60.0961538461538,NA,6.84615384615385,1043.75,163.307692307692,62767,6.39130946773434,0.156462459695993,0.418204133885594,-1.7263767099652,-2.1445808438508
"HER42L","HER42L_1E","HER42L_1E_143",171.2,2727.54,7.37,1,28901,70522,1.33,1.10869565217391,3,0.717391304347826,8.34782608695652,1,0.826086956521739,31.695652173913,0.130434782608696,4.15217391304348,2.76086956521739,70.2391304347826,NA,8.41304347826087,1176.34782608696,185.173913043478,62630,6.35266494482273,0.15741425192194,-0.332133835022615,-2.45413499112125,-2.12200115609863
"HER42L","HER42L_1E","HER42L_1E_144",171.3,2728.39,7.37,1,29308,71496,1.54,1.11538461538462,2.94230769230769,0.711538461538462,9.55769230769231,1,0.403846153846154,35.8461538461538,0.423076923076923,4,0.461538461538462,64.8076923076923,0.480769230769231,17.8846153846154,1043.32692307692,160.653846153846,62607,6.49425424946134,0.153982268261663,-0.340325805937203,-2.5976721134524,-2.2573463075152
"HER42L","HER42L_1E","HER42L_1E_145",171.4,2729.25,7.37,1,29664,72691,1.27,1.88888888888889,4.27777777777778,1.77777777777778,9.88888888888889,1,0.666666666666667,48.5277777777778,2,6.41666666666667,2.05555555555556,98.0833333333333,NA,13.6111111111111,1529.97222222222,245.25,63908,6.23841884698154,0.160297027905372,0.575364144903562,-1.71604764749236,-2.29141179239592
"HER42L","HER42L_1E","HER42L_1E_146",171.5,2730.11,7.38,1,29779,72835,1.24,1.7741935483871,5.2258064516129,1.03225806451613,14.0645161290323,1,0.774193548387097,56.6774193548387,2.12903225806452,4.87096774193548,NA,114.548387096774,1.41935483870968,16.3548387096774,1781.22580645161,286.193548387097,64090,6.22385031559964,0.160672244557934,0.0317486983145803,-2.61190634054931,-2.64365503886389
