"Site","label","depth","min_age","max_age","median_age","mean_age","Density","Dry_den"
"HER42PB_WD","HER42PB1I",358.9,3907.01,4597.98,4211.01,4223.57,1.173444081,0.237378233
"HER42PB_WD","HER42PB1I",360.3,3923.6,4640.96,4236.77,4250.6,1.39847281,0.340772096
"HER42PB_WD","HER42PB1J",360.6,3933.6,4646.69,4243.08,4256.46,1.180718342,0.261027448
"HER42PB_WD","HER42PB1I",361.6,3953.73,4661.49,4263.25,4276.01,1.425873093,0.505420893
"HER42PB_WD","HER42PB1J",361.9,3959.65,4662.8,4270.29,4281.88,1.392238244,0.464745764
"HER42PB_WD","HER42PB1I",362.9,3979.57,4678.13,4289.59,4301.43,1.533210387,0.492934781
"HER42PB_WD","HER42PB1J",363.3,3987.44,4683.73,4297.18,4309.26,1.333268487,0.437534137
"HER42PB_WD","HER42PB1I",364.2,4000.49,4698.54,4315.56,4326.85,1.562961074,0.552653308
"HER42PB_WD","HER42PB1J",364.8,4008.97,4705.44,4329.53,4338.59,1.253791676,0.3719873
"HER42PB_WD","HER42PB1I",365.4,4015.89,4714.05,4342.43,4350.32,1.538120567,0.466578111
"HER42PB_WD","HER42PB1J",366.1,4022.21,4726.46,4357.41,4364,1.228744218,0.297311712
"HER42PB_WD","HER42PB1I",366.6,4029.93,4736.74,4367.48,4373.78,1.745693224,0.530521206
"HER42PB_WD","HER42PB1J",367.5,4039.24,4761.09,4385.97,4391.38,1.408914254,0.449125525
"HER42PB_WD","HER42PB1I",367.9,4043.26,4770.05,4393.86,4399.2,1.523993666,0.51791498
"HER42PB_WD","HER42PB1J",368.9,4051.89,4800.49,4414.02,4418.75,1.474075507,0.56433911
"HER42PB_WD","HER42PB1J",370.2,4069.96,4833.14,4439.08,4444.2,1.62500023,0.573413754
"HER42PB_WD","HER42PB1J",371.6,4110.84,4849.45,4468.16,4471.77,1.36093272,0.450416148
"HER42PB_WD","HER42PB1J",373,4142.73,4867.78,4496.98,4499.34,1.453135602,0.526006116
"HER42PB_WD","HER42PB1J",374.5,4163.48,4886.79,4528.74,4528.88,1.511349909,0.552699064
"HER42PB_WD","HER42PB1J",375.8,4183.18,4908.12,4558.04,4554.48,1.376636954,0.451359279
"HER42PB_WD","HER42PB1J",377.3,4204.32,4933.62,4590.02,4584.02,1.432460071,0.379750435
"HER42PB_WD","HER42PB1J",378.8,4220.91,4961.98,4621,4613.56,1.412578053,0.5520555
"HER42PB_WD","HER42PB1J",380.3,4244.05,4996.96,4649.96,4642.83,1.499015514,0.582193263
"HER42PB_WD","HER42PB1J",381.7,4290.37,5008.21,4678.14,4669.17,1.308903557,0.426692215
"HER42PB_WD","HER42PB1J",383.1,4329.97,5020.18,4705.71,4695.5,1.239059593,0.226856357
"HER42PB_WD","HER42PB1J",384.4,4360.35,5033.55,4730.83,4719.95,1.211654764,0.187655361
"HER42PB_WD","HER42PB1J",385.9,4389.79,5051.69,4758.34,4748.17,1.203467608,0.183188097
"HER42PB_WD","HER42PB1J",387.3,4412.47,5070.49,4786.75,4774.5,1.235026872,0.205399168
"HER42PB_WD","HER42PB1J",388.8,4435.76,5096.43,4816.41,4802.71,1.17259324,0.219942304
"HER42PB_WD","HER42PB1J",390.2,4461.67,5126.97,4843.05,4829.11,1.295060201,0.293299246
"HER42PB_WD","HER42PB1J",391.7,4528.52,5136.55,4866.47,4857.84,1.341651706,0.273243078
"HER42PB_WD","HER42PB1J",393.2,4593.65,5147.46,4892.39,4886.56,1.391253553,0.282501488
"HER42PB_WD","HER42PB1J",394.6,4654.78,5160.96,4916.25,4913.36,1.235477389,0.230356869
"HER42PB_WD","HER42PB1J",396,4709.51,5175.7,4941.64,4940.17,1.452407997,0.473665959
"HER42PB_WD","HER42PB1J",397.4,4756.54,5190.19,4966.38,4966.98,1.393371403,0.408287641
"HER42PB_WD","HER42PB1J",398.9,4795.25,5212.89,4995.35,4995.7,1.501395409,0.428968873
"HER42PB_WD","HER42PB1J",400.2,4821.71,5238.86,5019.22,5019.17,1.621663089,0.398091339
"HER42PB_WD","HER42PB1J",401.5,4845.9,5250.59,5036.57,5034.8,1.407158528,0.317853857
"HER42PB_WD","HER42PB1J",402.9,4870.01,5262.39,5053.27,5051.64,1.289055837,0.278124598
"HER42PB_WD","HER42PB1J",404.4,4883.95,5280.07,5071.36,5069.68,1.51614018,0.313923856
"HER42PB_WD","HER42PB1J",405.9,4892.3,5301.39,5087.64,5087.72,1.368521749,0.23925355
"HER42PB_WD","HER42PB1J",407.4,4898.73,5329.74,5103.46,5105.76,1.44516518,0.328757537
"HER42PB_WD","HER42PB1J",408.8,4904.3,5361.85,5118.35,5122.6,1.294154282,0.247975938
"HER42PB_WD","HER42PB1J",410,4908.99,5393.81,5130.78,5137.03,2.239457748,0.502262171
