SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH_sed,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_147,2.4,1110,29,23.4,63,63,2.526,0.1179,1805.575,1.3679,1.2,0.9,2469.891,0.7898,1.4046,0.1179,1805.575,1.7253,1.2,0.7,3115.072,0.5856,1.4046,0.1179,1805.575,1.5466,1.2,0.8,2792.4815,0.6877,1.4046
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_148,2.4,1110.5,29,23.9,63.5,63.5,2.531,0.0874,1798.863,1.3634,2.2,1.6,2452.499,0.7924,1.5912,0.0874,1798.863,1.7194,2.2,1.3,3092.954,0.5889,1.5912,0.0874,1798.863,1.5414,2.2,1.4,2772.7265,0.69065,1.5912
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_149,2.4,1111,29,24.4,64,64,2.536,0.1042,1798.582,1.3449,1.1,0.8,2418.828,0.8029,1.4499,0.1042,1798.582,1.6955,1.1,0.6,3049.575,0.6025,1.4499,0.1042,1798.582,1.5202,1.1,0.7,2734.2015,0.7027,1.4499
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_150,2.4,1111.5,29,24.9,64.5,64.5,2.542,0.0836,1806.681,1.3564,0.6,0.4,2450.64,0.7963,1.4546,0.0836,1806.681,1.7106,0.6,0.4,3090.515,0.5939,1.4546,0.0836,1806.681,1.5335,0.6,0.4,2770.5775,0.6951,1.4546
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_151,2.4,1112,29,25.4,65,65,2.547,0.0933,1815.396,1.3527,0.7,0.5,2455.763,0.7984,1.4053,0.0933,1815.396,1.7059,0.7,0.4,3096.886,0.5966,1.4053,0.0933,1815.396,1.5293,0.7,0.5,2776.3245,0.6975,1.4053
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_152,2.4,1112.5,29,25.9,65.5,65.5,2.546,0.0961,1800.566,1.3402,0.8,0.6,2413.086,0.8056,1.7114,0.0961,1800.566,1.6897,0.8,0.5,3042.351,0.6059,1.7114,0.0961,1800.566,1.51495,0.8,0.5,2727.7185,0.70575,1.7114
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_153,2.4,1113,29,26.4,66,66,2.541,0.117,1781.907,1.3617,2.1,1.5,2426.434,0.7933,1.4009,0.117,1781.907,1.7175,2.1,1.2,3060.458,0.59,1.4009,0.117,1781.907,1.5396,2.1,1.4,2743.446,0.69165,1.4009
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_154,2.4,1113.5,29,26.9,66.5,66.5,2.541,0.1229,1765.81,1.3465,1.2,0.9,2377.661,0.802,1.4002,0.1229,1765.81,1.6977,1.2,0.7,2997.813,0.6013,1.4002,0.1229,1765.81,1.5221,1.2,0.8,2687.737,0.70165,1.4002
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_155,2.4,1114,29,27.4,67,67,2.547,0.125,1752.925,1.3495,2.2,1.6,2365.506,0.8003,1.4769,0.125,1752.925,1.7016,2.2,1.3,2982.821,0.5991,1.4769,0.125,1752.925,1.52555,2.2,1.5,2674.1635,0.6997,1.4769
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_156,2.4,1114.5,29,27.9,67.5,67.5,2.546,0.1064,1740.26,1.3481,1.6,1.2,2346.129,0.8011,1.5608,0.1064,1740.26,1.6999,1.6,0.9,2958.271,0.6001,1.5608,0.1064,1740.26,1.524,1.6,1.1,2652.2,0.7006,1.5608
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_157,2.4,1115,29,28.4,68,68,2.552,0.0925,1750.343,1.3595,1.2,0.9,2379.659,0.7945,1.446,0.0925,1750.343,1.715,1.2,0.7,3001.894,0.5914,1.446,0.0925,1750.343,1.53725,1.2,0.8,2690.7765,0.69295,1.446
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_158,2.4,1115.5,29,28.9,68.5,68.5,2.541,0.0838,1746.392,1.3638,0.9,0.7,2381.677,0.7921,1.3937,0.0838,1746.392,1.7203,0.9,0.5,3004.24,0.5884,1.3937,0.0838,1746.392,1.54205,0.9,0.6,2692.9585,0.69025,1.3937
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_159,2.4,1116,29,29.4,69,69,2.541,0.0899,1733.288,1.3854,1.5,1.1,2401.273,0.7798,1.4337,0.0899,1733.288,1.7496,1.5,0.9,3032.632,0.5716,1.4337,0.0899,1733.288,1.5675,1.5,1,2716.9525,0.6757,1.4337
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_160,2.4,1116.5,29,29.9,69.5,69.5,2.551,0.0806,1723.649,1.3827,1.4,1,2383.229,0.7813,1.4399,0.0806,1723.649,1.7466,1.4,0.8,3010.467,0.5734,1.4399,0.0806,1723.649,1.56465,1.4,0.9,2696.848,0.67735,1.4399
