SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER14L,HER14L_2A,HER14L-2A_48,2.9,65.2,1,65.2,4.7,4.7,1.911,0,1190.654,0.828,-0.9,-1.1,985.903,1.1042,0.6936,0,1190.654,1.8489,-0.9,-0.5,2201.398,0.4855,0.6936,0,1190.7,1.3385,-0.9,-0.8,1593.7,0.8,0.7
HER14L,HER14L_2A,HER14L-2A_49,2.9,65.3,1,65.3,4.8,4.8,1.917,0,846.3578,0.8146,-0.9,-1.1,689.4711,1.1123,0.6936,0,846.3578,1.835,-0.9,-0.5,1553.087,0.4939,0.6936,0,846.4,1.3248,-0.9,-0.8,1121.3,0.8,0.7
HER14L,HER14L_2A,HER14L-2A_50,2.9,65.4,1,65.4,4.9,4.9,1.918,0,782.8572,0.8359,-0.9,-1.1,654.3611,1.0995,0.6817,0,782.8572,1.8503,-0.9,-0.5,1448.489,0.4847,0.6817,0,782.9,1.3431,-0.9,-0.8,1051.4,0.8,0.7
HER14L,HER14L_2A,HER14L-2A_51,2.9,65.5,1,65.5,5,5,1.886,0,774.5381,0.8734,-0.9,-1,676.4592,1.0767,0.6702,0,774.5381,1.8991,-0.9,-0.5,1470.895,0.4551,0.6702,0,774.5,1.3863,-0.9,-0.8,1073.7,0.8,0.7
HER14L,HER14L_2A,HER14L-2A_52,2.9,65.6,1,65.6,5.1,5.1,1.754,0,727.801,0.8986,-0.9,-1,654.0035,1.0615,0.6702,0,727.801,2.0117,-0.9,-0.4,1464.144,0.3868,0.6702,0,727.8,1.4552,-0.9,-0.7,1059.1,0.7,0.7
HER14L,HER14L_2A,HER14L-2A_53,2.9,65.7,1,65.7,5.2,5.2,1.671,0,699.1633,0.9757,-1,-1,682.164,1.0147,0.6702,0,699.1633,2.1359,-1,-0.5,1493.345,0.3116,0.6702,0,699.2,1.5558,-1,-0.7,1087.8,0.7,0.7
HER14L,HER14L_2A,HER14L-2A_54,2.9,65.8,1,65.8,5.3,5.3,1.588,0,667.227,1.0639,-1,-0.9,709.8527,0.9613,0.6702,0,667.227,2.2753,-1,-0.4,1518.115,0.2271,0.6702,0,667.2,1.6696,-1,-0.7,1114,0.6,0.7
HER14L,HER14L_2A,HER14L-2A_55,2.9,65.9,1,65.9,5.4,5.4,1.601,0,970.3032,0.9716,-1,-1,942.6985,1.0172,0.659,0,970.3032,2.1943,-1,-0.5,2129.152,0.2762,0.659,0,970.3,1.583,-1,-0.7,1535.9,0.6,0.7
HER14L,HER14L_2A,HER14L-2A_56,2.9,66,1,66,5.5,5.5,1.747,0,1055.589,0.9129,-1,-1.1,963.6555,1.0528,0.6482,0,1055.589,2.0278,-1,-0.5,2140.525,0.3771,0.6482,0,1055.6,1.4704,-1,-0.8,1552.1,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_57,2.9,66.1,1,66.1,5.6,5.6,1.934,0,1168.58,0.8923,-1.1,-1.2,1042.701,1.0653,0.6482,0,1168.58,1.8821,-1.1,-0.6,2199.422,0.4654,0.6482,0,1168.6,1.3872,-1.1,-0.9,1621.1,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_58,2.9,66.2,1,66.2,5.7,5.7,1.972,0,1206.116,0.8396,-1,-1.2,1012.601,1.0972,0.6482,0,1206.116,1.8194,-1,-0.5,2194.44,0.5034,0.6482,0,1206.1,1.3295,-1,-0.9,1603.5,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_59,2.9,66.3,1,66.3,5.8,5.8,2.032,0,1250.462,0.79,-1,-1.3,987.8588,1.1273,0.6482,0,1250.462,1.7472,-1,-0.6,2184.834,0.5471,0.6482,0,1250.5,1.2686,-1,-0.9,1586.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_60,2.9,66.4,1,66.4,5.9,5.9,1.972,0,1228.661,0.8098,-1.1,-1.4,994.9733,1.1153,0.6378,0,1228.661,1.7972,-1.1,-0.6,2208.178,0.5168,0.6378,0,1228.7,1.3035,-1.1,-1,1601.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_61,2.9,66.5,1,66.5,6,6,1.925,0,1222.222,0.848,-1.1,-1.3,1036.489,1.0921,0.6378,0,1222.222,1.8549,-1.1,-0.6,2267.085,0.4819,0.6378,0,1222.2,1.3515,-1.1,-0.9,1651.8,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_62,2.9,66.6,1,66.6,6.1,6.1,1.941,0,1194.462,0.8465,-1.1,-1.3,1011.059,1.0931,0.6378,0,1194.462,1.8436,-1.1,-0.6,2202.149,0.4887,0.6378,0,1194.5,1.3451,-1.1,-0.9,1606.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_63,2.9,66.7,1,66.7,6.2,6.2,2.031,0,1249.846,0.8339,-1,-1.2,1042.275,1.1007,0.6276,0,1249.846,1.7805,-1,-0.6,2225.399,0.5269,0.6276,0,1249.8,1.3072,-1,-0.9,1633.8,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_64,2.9,66.8,1,66.8,6.3,6.3,2.065,0,1262.997,0.8038,-1,-1.2,1015.181,1.1189,0.6276,0,1262.997,1.739,-1,-0.6,2196.363,0.5521,0.6276,0,1263,1.2714,-1,-0.9,1605.8,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_65,2.9,66.9,1,66.9,6.4,6.4,1.951,0,1196.933,0.867,-1.1,-1.3,1037.775,1.0806,0.6276,0,1196.933,1.8527,-1.1,-0.6,2217.604,0.4832,0.6276,0,1196.9,1.3599,-1.1,-0.9,1627.7,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_66,2.9,67,1,67,6.5,6.5,1.989,0,1212.805,0.8207,-1.2,-1.5,995.4083,1.1086,0.6276,0,1212.805,1.7952,-1.2,-0.7,2177.232,0.5181,0.6276,0,1212.8,1.308,-1.2,-1.1,1586.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_67,2.9,67.1,1,67.1,6.6,6.6,1.995,0,836.4781,0.7735,-1.3,-1.7,646.9925,1.1373,0.6178,0,836.4781,1.7563,-1.3,-0.7,1469.113,0.5416,0.6178,0,836.5,1.2649,-1.3,-1.2,1058.1,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_68,2.9,67.2,1,67.2,6.7,6.7,1.945,0,1178.788,0.8545,-1.3,-1.5,1007.231,1.0882,0.6178,0,1178.788,1.8471,-1.3,-0.7,2177.348,0.4866,0.6178,0,1178.8,1.3508,-1.3,-1.1,1592.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_69,2.9,67.3,1,67.3,6.8,6.8,2.033,0,1228.399,0.8499,-1.4,-1.6,1043.994,1.091,0.6083,0,1228.399,1.7913,-1.4,-0.8,2200.382,0.5204,0.6083,0,1228.4,1.3206,-1.4,-1.2,1622.2,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_70,2.9,67.4,1,67.4,6.9,6.9,2.083,0,1258.61,0.7867,-1.4,-1.8,990.192,1.1293,0.6083,0,1258.61,1.7164,-1.4,-0.8,2160.337,0.5658,0.6083,0,1258.6,1.2516,-1.4,-1.3,1575.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_71,2.9,67.5,1,67.5,7,7,2.148,0,1286.228,0.7251,-1.3,-1.8,932.6456,1.1666,0.6083,0,1286.228,1.6362,-1.3,-0.8,2104.579,0.6144,0.6083,0,1286.2,1.1807,-1.3,-1.3,1518.6,0.9,0.6
HER14L,HER14L_2A,HER14L-2A_72,2.9,67.6,1,67.6,7.1,7.1,2.213,0,1345.289,0.7866,-1.4,-1.8,1058.154,1.1294,0.6083,0,1345.289,1.6499,-1.4,-0.8,2219.561,0.6061,0.6083,0,1345.3,1.2183,-1.4,-1.3,1638.9,0.9,0.6
HER14L,HER14L_2A,HER14L-2A_73,2.9,67.7,1,67.7,7.2,7.2,2.034,0,1232.727,0.816,-1.4,-1.7,1005.952,1.1115,0.5991,0,1232.727,1.7655,-1.4,-0.8,2176.396,0.5361,0.5991,0,1232.7,1.2908,-1.4,-1.3,1591.2,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_74,2.9,67.8,1,67.8,7.3,7.3,1.986,0,1207.295,0.8241,-1.4,-1.7,994.9346,1.1066,0.5991,0,1207.295,1.7995,-1.4,-0.8,2172.517,0.5155,0.5991,0,1207.3,1.3118,-1.4,-1.2,1583.7,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_75,2.9,67.9,1,67.9,7.4,7.4,1.97,0,1208.589,0.8244,-1.4,-1.7,996.3708,1.1064,0.5991,0,1208.589,1.8093,-1.4,-0.8,2186.75,0.5095,0.5991,0,1208.6,1.3169,-1.4,-1.2,1591.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_76,2.9,68,1,68,7.5,7.5,1.951,0,1193.272,0.8443,-1.4,-1.7,1007.448,1.0944,0.5991,0,1193.272,1.8358,-1.4,-0.8,2190.599,0.4935,0.5991,0,1193.3,1.3401,-1.4,-1.2,1599,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_77,2.9,68.1,1,68.1,7.6,7.6,1.943,0,1184.756,0.8413,-1.5,-1.8,996.6879,1.0962,0.5902,0,1184.756,1.8385,-1.5,-0.8,2178.186,0.4918,0.5902,0,1184.8,1.3399,-1.5,-1.3,1587.4,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_78,2.9,68.2,1,68.2,7.7,7.7,1.942,0,1180.547,0.858,-1.5,-1.7,1012.86,1.0861,0.5902,0,1180.547,1.8516,-1.5,-0.8,2185.879,0.4839,0.5902,0,1180.5,1.3548,-1.5,-1.3,1599.4,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_79,2.9,68.3,1,68.3,7.8,7.8,1.948,0,1169.97,0.8881,-1.5,-1.7,1039.009,1.0678,0.5901,0,1169.97,1.8702,-1.5,-0.8,2188.122,0.4726,0.5901,0,1170,1.3792,-1.5,-1.2,1613.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_80,2.9,68.4,1,68.4,7.9,7.9,1.943,0,1174.018,0.887,-1.5,-1.7,1041.409,1.0685,0.5901,0,1174.018,1.8726,-1.5,-0.8,2198.462,0.4712,0.5901,0,1174,1.3798,-1.5,-1.2,1619.9,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_81,2.9,68.5,1,68.5,8,8,1.913,0,1155.891,0.8943,-1.6,-1.8,1033.67,1.0641,0.5901,0,1155.891,1.897,-1.6,-0.8,2192.711,0.4564,0.5901,0,1155.9,1.3957,-1.6,-1.3,1613.2,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_82,2.9,68.6,1,68.6,8.1,8.1,1.926,0,1167.273,0.8684,-1.5,-1.7,1013.634,1.0798,0.5814,0,1167.273,1.8694,-1.5,-0.8,2182.118,0.4731,0.5814,0,1167.3,1.3689,-1.5,-1.3,1597.9,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_83,2.9,68.7,1,68.7,8.2,8.2,1.985,0,1203.03,0.8618,-1.6,-1.9,1036.802,1.0837,0.5815,0,1203.03,1.8282,-1.6,-0.9,2199.355,0.4981,0.5815,0,1203,1.345,-1.6,-1.4,1618.1,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_84,2.9,68.8,1,68.8,8.3,8.3,1.966,0,1198.781,0.8876,-1.4,-1.6,1063.998,1.0681,0.5815,0,1198.781,1.8588,-1.4,-0.8,2228.271,0.4795,0.5815,0,1198.8,1.3732,-1.4,-1.2,1646.1,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_85,2.9,68.9,1,68.9,8.4,8.4,1.957,0,1193.293,0.8277,-1.5,-1.8,987.7423,1.1044,0.5902,0,1193.293,1.8198,-1.5,-0.8,2171.511,0.5032,0.5902,0,1193.3,1.3238,-1.5,-1.3,1579.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_86,2.9,69,1,69,8.5,8.5,1.985,0,1225.309,0.8458,-1.5,-1.8,1036.325,1.0935,0.5814,0,1225.309,1.8162,-1.5,-0.8,2225.446,0.5053,0.5814,0,1225.3,1.331,-1.5,-1.3,1630.9,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_87,2.9,69.1,1,69.1,8.6,8.6,2.053,0,1271.208,0.8167,-1.6,-2,1038.223,1.1111,0.5815,0,1271.208,1.7553,-1.6,-0.9,2231.36,0.5422,0.5815,0,1271.2,1.286,-1.6,-1.4,1634.8,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_88,2.9,69.2,1,69.2,8.7,8.7,1.954,0,1221.25,0.8996,-1.6,-1.8,1098.66,1.0608,0.5814,0,1221.25,1.8751,-1.6,-0.9,2289.959,0.4696,0.5814,0,1221.3,1.3874,-1.6,-1.3,1694.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_89,2.9,69.3,1,69.3,8.8,8.8,1.744,0,1093.417,0.9542,-1.7,-1.8,1043.287,1.0278,0.5814,0,1093.417,2.0609,-1.7,-0.8,2253.416,0.357,0.5814,0,1093.4,1.5076,-1.7,-1.3,1648.4,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_90,2.9,69.4,1,69.4,8.9,8.9,1.753,0,1095.625,0.948,-1.7,-1.8,1038.707,1.0315,0.5814,0,1095.625,2.0494,-1.7,-0.8,2245.39,0.364,0.5814,0,1095.6,1.4987,-1.7,-1.3,1642,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_91,2.9,69.5,1,69.5,9,9,1.873,0,1163.354,0.8952,-1.6,-1.8,1041.447,1.0635,0.5729,0,1163.354,1.924,-1.6,-0.8,2238.29,0.44,0.5729,0,1163.4,1.4096,-1.6,-1.3,1639.9,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_92,2.9,69.6,1,69.6,9.1,9.1,2.176,0,1339.077,0.8059,-1.7,-2.1,1079.109,1.1177,0.5814,0,1339.077,1.6823,-1.7,-1,2252.764,0.5865,0.5814,0,1339.1,1.2441,-1.7,-1.6,1665.9,0.9,0.6
HER14L,HER14L_2A,HER14L-2A_93,2.9,69.7,1,69.7,9.2,9.2,2.305,0,1405.488,0.7394,-1.8,-2.4,1039.227,1.1579,0.5729,0,1405.488,1.5723,-1.8,-1.1,2209.869,0.6531,0.5729,0,1405.5,1.1559,-1.8,-1.8,1624.5,0.9,0.6
HER14L,HER14L_2A,HER14L-2A_94,2.9,69.8,1,69.8,9.3,9.3,2.481,0,1512.805,0.6895,-1.7,-2.5,1043.124,1.1882,0.5729,0,1512.805,1.4627,-1.7,-1.2,2212.766,0.7196,0.5729,0,1512.8,1.0761,-1.7,-1.8,1627.9,1,0.6
HER14L,HER14L_2A,HER14L-2A_95,2.9,69.9,1,69.9,9.4,9.4,2.392,0,1462.997,0.6546,-1.8,-2.7,957.6694,1.2093,0.5729,0,1462.997,1.4719,-1.8,-1.2,2153.418,0.714,0.5729,0,1463,1.0633,-1.8,-2,1555.5,1,0.6
HER14L,HER14L_2A,HER14L-2A_96,2.9,70,1,70,9.5,9.5,2.093,0,1276.22,0.779,-1.7,-2.2,994.1293,1.134,0.5729,0,1276.22,1.7053,-1.7,-1,2176.278,0.5726,0.5729,0,1276.2,1.2422,-1.7,-1.6,1585.2,0.9,0.6
HER14L,HER14L_2A,HER14L-2A_97,2.9,70.1,1,70.1,9.6,9.6,1.973,0,1203.049,0.8306,-1.7,-2,999.2488,1.1027,0.5729,0,1203.049,1.8121,-1.7,-0.9,2180.096,0.5078,0.5729,0,1203,1.3214,-1.7,-1.5,1589.7,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_98,2.9,70.2,1,70.2,9.7,9.7,1.97,0,1208.589,0.8836,-1.7,-1.9,1067.892,1.0706,0.5729,0,1208.589,1.8534,-1.7,-0.9,2239.986,0.4828,0.5729,0,1208.6,1.3685,-1.7,-1.4,1653.9,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_99,2.9,70.3,1,70.3,9.8,9.8,1.974,0,1211.043,0.8473,-1.7,-2,1026.072,1.0926,0.5729,0,1211.043,1.824,-1.7,-0.9,2208.893,0.5006,0.5729,0,1211,1.3357,-1.7,-1.5,1617.5,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_100,2.9,70.4,1,70.4,9.9,9.9,1.975,0,1215.385,0.9043,-1.6,-1.8,1099.03,1.058,0.5729,0,1215.385,1.8657,-1.6,-0.9,2267.531,0.4753,0.5729,0,1215.4,1.385,-1.6,-1.3,1683.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_101,2.9,70.5,1,70.5,10,10,1.976,0,1208.563,0.8082,-1.7,-2.1,976.7169,1.1163,0.5729,0,1208.563,1.7936,-1.7,-0.9,2167.661,0.519,0.5729,0,1208.6,1.3009,-1.7,-1.5,1572.2,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_102,2.9,70.6,1,70.6,10.1,10.1,1.998,0,1214.59,0.8024,-1.7,-2.1,974.5803,1.1198,0.5647,0,1214.59,1.7762,-1.7,-1,2157.323,0.5296,0.5647,0,1214.6,1.2893,-1.7,-1.5,1566,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_103,2.9,70.7,1,70.7,10.2,10.2,2.022,0,1221.753,0.8556,-1.6,-1.9,1045.287,1.0875,0.5729,0,1221.753,1.8018,-1.6,-0.9,2201.343,0.5141,0.5729,0,1221.8,1.3287,-1.6,-1.4,1623.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_104,2.9,70.8,1,70.8,10.3,10.3,2.018,0,1219.335,0.8298,-1.6,-1.9,1011.851,1.1031,0.5647,0,1219.335,1.785,-1.6,-0.9,2176.478,0.5243,0.5647,0,1219.3,1.3074,-1.6,-1.4,1594.2,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_105,2.9,70.9,1,70.9,10.4,10.4,2.022,0,1221.753,0.8167,-1.6,-2,997.8181,1.1111,0.5647,0,1221.753,1.7729,-1.6,-0.9,2166.023,0.5316,0.5647,0,1221.8,1.2948,-1.6,-1.4,1581.9,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_106,2.9,71,1,71,10.5,10.5,2.019,0,1219.94,0.8505,-1.6,-1.9,1037.537,1.0906,0.5729,0,1219.94,1.7997,-1.6,-0.9,2195.585,0.5153,0.5729,0,1219.9,1.3251,-1.6,-1.4,1616.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_107,2.9,71.1,1,71.1,10.6,10.6,2.048,0,1241.212,0.8074,-1.5,-1.9,1002.118,1.1167,0.5729,0,1241.212,1.7511,-1.5,-0.9,2173.538,0.5448,0.5729,0,1241.2,1.2793,-1.5,-1.4,1587.8,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_108,2.9,71.2,1,71.2,10.7,10.7,2.054,0,1248.632,0.896,-1.6,-1.8,1118.76,1.063,0.5647,0,1248.632,1.8135,-1.6,-0.9,2264.444,0.5069,0.5647,0,1248.6,1.3548,-1.6,-1.3,1691.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_109,2.9,71.3,1,71.3,10.8,10.8,2.066,0,1259.756,0.8014,-1.5,-1.9,1009.514,1.1204,0.5647,0,1259.756,1.7366,-1.5,-0.9,2187.75,0.5535,0.5647,0,1259.8,1.269,-1.5,-1.4,1598.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_110,2.9,71.4,1,71.4,10.9,10.9,2.093,0,1280.123,0.843,-1.5,-1.8,1079.094,1.0952,0.5729,0,1280.123,1.7529,-1.5,-0.9,2243.87,0.5437,0.5729,0,1280.1,1.298,-1.5,-1.3,1661.5,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_111,2.9,71.5,1,71.5,11,11,2.112,0,1295.706,0.8487,-1.5,-1.8,1099.647,1.0917,0.5729,0,1295.706,1.7469,-1.5,-0.9,2263.53,0.5473,0.5729,0,1295.7,1.2978,-1.5,-1.3,1681.6,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_112,2.9,71.6,1,71.6,11.1,11.1,2.129,0,1306.135,0.9018,-1.6,-1.8,1177.816,1.0595,0.5729,0,1306.135,1.7772,-1.6,-0.9,2321.237,0.529,0.5729,0,1306.1,1.3395,-1.6,-1.3,1749.5,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_113,2.9,71.7,1,71.7,11.2,11.2,2.117,0,1306.79,0.8611,-1.5,-1.7,1125.231,1.0842,0.5647,0,1306.79,1.7535,-1.5,-0.9,2291.411,0.5434,0.5647,0,1306.8,1.3073,-1.5,-1.3,1708.3,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_114,2.9,71.8,1,71.8,11.3,11.3,2.134,0,1317.284,0.8965,-1.7,-1.9,1180.967,1.0627,0.5647,0,1317.284,1.7707,-1.7,-1,2332.533,0.5329,0.5647,0,1317.3,1.3336,-1.7,-1.4,1756.8,0.8,0.6
HER14L,HER14L_2A,HER14L-2A_115,2.9,71.9,1,71.9,11.4,11.4,2.138,0,1319.753,1.0078,-1.7,-1.7,1330.084,0.9953,0.5647,0,1319.753,1.8501,-1.7,-0.9,2441.644,0.4848,0.5647,0,1319.8,1.429,-1.7,-1.3,1885.9,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_116,2.9,72,1,72,11.5,11.5,2.156,0,1326.769,1.0311,-1.7,-1.6,1367.996,0.9812,0.5647,0,1326.769,1.8576,-1.7,-0.9,2464.621,0.4802,0.5647,0,1326.8,1.4444,-1.7,-1.3,1916.3,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_117,2.9,72.1,1,72.1,11.6,11.6,2.17,0,1343.653,1.1056,-1.6,-1.4,1485.601,0.936,0.5647,0,1343.653,1.9042,-1.6,-0.8,2558.574,0.452,0.5647,0,1343.7,1.5049,-1.6,-1.1,2022.1,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_118,2.9,72.2,1,72.2,11.7,11.7,2.18,0,1354.038,1.1142,-1.7,-1.5,1508.603,0.9308,0.5646,0,1354.038,1.9052,-1.7,-0.9,2579.703,0.4514,0.5646,0,1354,1.5097,-1.7,-1.2,2044.2,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_119,2.9,72.3,1,72.3,11.8,11.8,2.195,0,1367.601,1.1303,-1.6,-1.4,1545.862,0.921,0.5646,0,1367.601,1.9092,-1.6,-0.8,2611.027,0.449,0.5646,0,1367.6,1.5198,-1.6,-1.1,2078.4,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_120,2.9,72.4,1,72.4,11.9,11.9,2.236,0,1397.5,1.2034,-1.7,-1.4,1681.786,0.8767,0.5566,0,1397.5,1.9408,-1.7,-0.9,2712.233,0.4298,0.5566,0,1397.5,1.5721,-1.7,-1.1,2197,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_121,2.9,72.5,1,72.5,12,12,2.307,0,1441.875,1.1903,-1.6,-1.3,1716.316,0.8846,0.5646,0,1441.875,1.8979,-1.6,-0.8,2736.545,0.4558,0.5646,0,1441.9,1.5441,-1.6,-1.1,2226.4,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_122,2.9,72.6,1,72.6,12.1,12.1,2.307,0,1446.395,1.245,-1.5,-1.2,1800.73,0.8515,0.5566,0,1446.395,1.9362,-1.5,-0.8,2800.454,0.4326,0.5566,0,1446.4,1.5906,-1.5,-1,2300.6,0.6,0.6
HER14L,HER14L_2A,HER14L-2A_123,2.9,72.7,1,72.7,12.2,12.2,2.292,0,1436.991,1.2167,-1.4,-1.2,1748.364,0.8687,0.5567,0,1436.991,1.9234,-1.4,-0.7,2763.843,0.4404,0.5567,0,1437,1.5701,-1.4,-0.9,2256.1,0.7,0.6
HER14L,HER14L_2A,HER14L-2A_124,2.9,72.8,1,72.8,12.3,12.3,2.256,0,1418.868,1.3084,-1,-0.8,1856.398,0.8131,0.5567,0,1418.868,2.0044,-1,-0.5,2844.038,0.3912,0.5567,0,1418.9,1.6564,-1,-0.6,2350.2,0.6,0.6
HER14L,HER14L_2A,HER14L-2A_125,2.9,72.9,1,72.9,12.4,12.4,2.251,0,1420.19,1.299,-0.5,-0.4,1844.86,0.8188,0.549,0,1420.19,2.0004,-0.5,-0.2,2840.933,0.3937,0.549,0,1420.2,1.6497,-0.5,-0.3,2342.9,0.6,0.5
HER14L,HER14L_2A,HER14L-2A_126,2.9,73,1,73,12.5,12.5,2.256,0,1418.868,1.2385,0.4,0.3,1757.223,0.8555,0.5567,0,1418.868,1.9557,0.4,0.2,2774.89,0.4208,0.5567,0,1418.9,1.5971,0.4,0.3,2266.1,0.6,0.6
HER14L,HER14L_2A,HER14L-2A_127,2.9,73.1,1,73.1,12.6,12.6,2.269,0,1440.635,1.1998,1.4,1.2,1728.475,0.8789,0.549,0,1440.635,1.9223,1.4,0.7,2769.372,0.441,0.549,0,1440.6,1.5611,1.4,0.9,2248.9,0.7,0.5
HER14L,HER14L_2A,HER14L-2A_128,2.9,73.2,1,73.2,12.7,12.7,2.285,0,1446.203,1.1673,2.7,2.3,1688.213,0.8986,0.549,0,1446.203,1.8919,2.7,1.4,2736.075,0.4595,0.549,0,1446.2,1.5296,2.7,1.9,2212.1,0.7,0.5
HER14L,HER14L_2A,HER14L-2A_129,2.9,73.3,1,73.3,12.8,12.8,2.325,0,1480.892,1.091,3.8,3.5,1615.591,0.9449,0.549,0,1480.892,1.8194,3.8,2.1,2694.381,0.5034,0.549,0,1480.9,1.4552,3.8,2.8,2155,0.7,0.5
HER14L,HER14L_2A,HER14L-2A_130,2.9,73.4,1,73.4,12.9,12.9,2.35,0,1496.815,1.0912,4.9,4.5,1633.38,0.9447,0.5489,0,1496.815,1.8085,4.9,2.7,2707.034,0.51,0.5489,0,1496.8,1.4499,4.9,3.6,2170.2,0.7,0.5
HER14L,HER14L_2A,HER14L-2A_131,2.9,73.5,1,73.5,13,13,2.354,0,1504.153,1.0371,5.6,5.4,1559.898,0.9775,0.549,0,1504.153,1.7681,5.6,3.2,2659.548,0.5345,0.549,0,1504.2,1.4026,5.6,4.3,2109.7,0.8,0.5
HER14L,HER14L_2A,HER14L-2A_132,2.9,73.6,1,73.6,13.1,13.1,2.334,0,997.436,1.0248,5.8,5.7,1022.168,0.985,0.549,0,997.436,1.7681,5.8,3.3,1763.592,0.5345,0.549,0,997.4,1.3965,5.8,4.5,1392.9,0.8,0.5
HER14L,HER14L_2A,HER14L-2A_133,2.9,73.7,1,73.7,13.2,13.2,2.326,0,1491.026,1.0421,5.4,5.2,1553.785,0.9745,0.5414,0,1491.026,1.7841,5.4,3,2660.114,0.5248,0.5414,0,1491,1.4131,5.4,4.1,2106.9,0.7,0.5
HER14L,HER14L_2A,HER14L-2A_134,2.9,73.8,1,73.8,13.3,13.3,2.318,0,1161.905,0.9488,4.6,4.8,1102.429,1.031,0.5414,0,1161.905,1.7204,4.6,2.7,1998.93,0.5634,0.5414,0,1161.9,1.3346,4.6,3.8,1550.7,0.8,0.5
HER14L,HER14L_2A,HER14L-2A_135,2.9,73.9,1,73.9,13.4,13.4,2.324,0,1447.975,0.9637,3.7,3.8,1395.399,1.022,0.5414,0,1447.975,1.7285,3.7,2.1,2502.833,0.5585,0.5414,0,1448,1.3461,3.7,3,1949.1,0.8,0.5
