SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER34L,HER34L_1A,HER34L_1A_133,2.9,14.2,1,14.2,24.2,24.2,2.426,0,1675.414,0.9303,-0.6,-0.6,1558.622,1.0422,0.5657,0,1675.414,1.6956,-0.6,-0.4,2840.85,0.5784,0.5657,0,1675.4,1.313,-0.6,-0.5,2199.7,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_134,2.9,14.3,1,14.3,24.3,24.3,2.42,0,1665.52,0.8675,-0.5,-0.6,1444.79,1.0803,0.5657,0,1665.52,1.6714,-0.5,-0.3,2783.681,0.5931,0.5657,0,1665.5,1.2695,-0.5,-0.4,2114.2,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_135,2.9,14.4,1,14.4,24.4,24.4,2.395,0,1625.933,0.8441,-0.6,-0.7,1372.385,1.0945,0.5657,0,1625.933,1.6751,-0.6,-0.4,2723.524,0.5909,0.5657,0,1625.9,1.2596,-0.6,-0.5,2048,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_136,2.9,14.5,1,14.5,24.5,24.5,2.421,0,1638.024,0.8607,-0.7,-0.8,1409.862,1.0844,0.5657,0,1638.024,1.6679,-0.7,-0.4,2732.116,0.5952,0.5657,0,1638,1.2643,-0.7,-0.6,2071,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_137,2.9,14.6,1,14.6,24.6,24.6,2.47,0,1665.543,0.8609,-0.6,-0.7,1433.82,1.0843,0.5573,0,1665.543,1.6422,-0.6,-0.4,2735.21,0.6108,0.5573,0,1665.5,1.2516,-0.6,-0.5,2084.5,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_138,2.9,14.7,1,14.7,24.7,24.7,2.467,0,1669.148,0.8572,-0.7,-0.8,1430.826,1.0865,0.5573,0,1669.148,1.6422,-0.7,-0.4,2741.087,0.6108,0.5573,0,1669.1,1.2497,-0.7,-0.6,2086,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_139,2.9,14.8,1,14.8,24.8,24.8,2.428,0,1642.76,0.7694,-0.6,-0.8,1263.968,1.1397,0.5573,0,1642.76,1.6263,-0.6,-0.4,2671.649,0.6204,0.5573,0,1642.8,1.1979,-0.6,-0.6,1967.8,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_140,2.9,14.9,1,14.9,24.9,24.9,2.448,0,1656.292,0.8749,-0.6,-0.7,1449.118,1.0758,0.5573,0,1656.292,1.6597,-0.6,-0.4,2748.975,0.6002,0.5573,0,1656.3,1.2673,-0.6,-0.5,2099,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_141,2.9,15,1,15,25,25,2.469,0,1676.171,0.8924,-0.6,-0.7,1495.813,1.0652,0.5573,0,1676.171,1.6565,-0.6,-0.4,2776.531,0.6021,0.5573,0,1676.2,1.2745,-0.6,-0.5,2136.2,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_142,2.9,15.1,1,15.1,25.1,25.1,2.489,0,1684.032,0.8012,-0.6,-0.7,1349.234,1.1205,0.5573,0,1684.032,1.6072,-0.6,-0.4,2706.577,0.632,0.5573,0,1684,1.2042,-0.6,-0.6,2027.9,0.9,0.6
