"Site","label","depth","mean_age","GRD","DCMS","K","Ca","Lncoh_inc"
"HER14L_0ka","HER14L_2A",42.6,1.60437,0.8427,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",42.8,1.60602,0.8359,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",43,1.60767,0.8593,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",43.2,1.60932,0.8559,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",43.4,1.61098,0.9199,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",43.6,1.61263,0.902,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",43.8,1.61428,0.8817,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",44,1.61593,0.8283,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",44.2,1.61758,0.843,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",44.4,1.61924,0.8825,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",44.6,1.62089,0.8752,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",44.8,1.62254,0.9041,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2B",45,1.62419,0.885,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",45.2,1.62585,0.8805,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",45.4,1.6275,0.8498,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",45.6,1.62915,0.8445,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",45.8,1.6308,0.9019,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",46,1.63245,0.8823,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",46.2,1.63411,0.9341,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",46.4,1.63576,0.874,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",46.6,1.63741,0.8554,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",46.8,1.63906,0.8649,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",47,1.64071,0.8937,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",47.2,1.64237,1.0953,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2B",47.4,1.64402,0.9429,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",47.6,1.64567,0.9659,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",47.8,1.64732,1.0161,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",48,1.64898,0.9668,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",48.2,1.65063,0.981,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2B",48.4,1.65228,0.8967,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",48.6,1.65393,0.8717,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",48.8,1.65558,0.8727,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",49,1.65724,0.8742,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",49.2,1.65889,0.846,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",49.4,1.66054,0.8908,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",49.6,1.66219,0.854,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",49.8,1.66384,0.769,-2.7,NA,NA,NA
"HER14L_0ka","HER14L_2B",50,1.6655,0.8215,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",50.2,1.66628,0.8041,-2.5,NA,NA,NA
"HER14L_0ka","HER14L_2B",50.4,1.66707,0.8467,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",50.6,1.66786,0.8919,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",50.8,1.66865,0.8806,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",51,1.66944,0.9002,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",51.2,1.67022,0.8588,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",51.4,1.67101,0.8253,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",51.6,1.6718,0.8843,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",51.8,1.67259,1.0392,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2B",52,1.67338,1.325,-1.5,NA,NA,NA
"HER14L_0ka","HER14L_2B",52.2,1.67416,0.8515,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",52.4,1.67495,0.8233,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",52.6,1.67574,0.8348,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",52.8,1.67653,0.8881,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",53,1.67732,0.8057,-2.4,NA,NA,NA
"HER14L_0ka","HER14L_2B",53.2,1.6781,0.7739,-2.6,NA,NA,NA
"HER14L_0ka","HER14L_2B",53.4,1.67889,0.8937,NA,NA,NA,NA
"HER14L_0ka","HER14L_2B",53.6,1.67968,0.9059,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2B",53.8,1.68047,1.2411,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2B",54,1.68126,1.0224,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",54.2,1.68204,0.9592,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",54.4,1.68283,0.9094,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",54.6,1.68362,0.8637,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",54.8,1.68441,0.9334,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2B",55,1.68519,0.9755,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2B",55.2,1.68598,0.8652,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",55.4,1.68677,0.8401,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2B",55.6,1.68756,0.88,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",55.8,1.68835,0.8964,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",56,1.68913,0.8901,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2B",56.2,1.68992,0.8617,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",56.4,1.69071,0.8924,-2,NA,NA,NA
"HER14L_0ka","HER14L_2B",56.6,1.6915,0.8325,-2.3,NA,NA,NA
"HER14L_0ka","HER14L_2B",56.8,1.69229,0.8683,-2.2,NA,NA,NA
