"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER49L","HER49L_1D","HER49L_1D_146",140.5,6202,7.12,1,26622,70987,1.33,-1.27701413023016,1.81949179910723,2.23299289524624,4.34636812049821,1.44082220762144,0.0881345309006707,1.21407905858324,-1.00791510821039,-0.601370967178243,0.0412010011551074,-0.0467803857931944,1.61142208288194,-1.46606268416072,-1.01856321266828,54386,5.55174075412601,0.18012368449604,-1.7857462220046,-1.73248285929851,0.0532633627060884
"HER49L","HER49L_1D","HER49L_1D_147",140.6,6205.06,7.11,1,27695,75585,1.39,-1.33176916558021,0.819063553279611,2.17414605864628,1.27328563747899,1.73548605165328,0.561459912799879,0.277338656416444,-0.363494657944359,-0.0789489012461953,0.0401854584117377,-0.949016953529336,1.49667319077009,-1.20060101396736,-0.557162687179721,55995,5.62349183818311,0.177825455922257,-1.36206706578457,-2.11214556809764,-0.750078502313077
"HER49L","HER49L_1D","HER49L_1D_148",140.7,6208.13,7.12,1,27832,76060,1.51,-0.181913423229102,1.24146659040683,2.32453241884618,1.08038652057952,1.98595031908035,0.546428938462019,0.97989395804154,0.306702610332315,-0.742023061852256,0.379376734697215,NA,1.72095511626142,-1.23651856137676,0.160571463580256,56036,5.44684767602393,0.183592429874958,-1.09565807677068,-1.95722390895559,-0.861565832184909
"HER49L","HER49L_1D","HER49L_1D_149",140.8,6211.19,7.12,1,28206,78686,1.36,-0.291423493929207,1.59717441114554,2.01068262364639,1.22672378167567,1.64708689844373,1.21154955291232,-0.581340045569785,-1.62655874046578,0.463566321067854,0.143770818235446,0.626530485651687,1.13417100887131,-1.39659778282578,0.0188340472537057,55111,5.3748987854251,0.186050015064779,-1.02629162708848,-1.76292391958817,-0.736632292499684
"HER49L","HER49L_1D","HER49L_1D_150",140.9,6214.26,7.13,1,27966,75633,1.31,-0.72946377672963,1.17477137401832,2.07606799764635,1.10699329532427,1.45555539982304,0.492317430845723,0.214889296271991,-0.647039656061413,1.02617469976391,0.145801903722186,0.411071006789325,1.71573925752907,-1.20588836866214,-0.620492171070307,55945,5.6340566820823,0.177492002020542,-1.13433037127019,-1.93546618989423,-0.801135818624041
"HER49L","HER49L_1D","HER49L_1D_151",141,6217.33,7.12,1,27399,73652,1.48,-0.236668458579154,1.73056484392256,2.24606997004623,1.83867960080504,0.85149451955776,0.26955839115864,-0.612564725642011,-0.879031018157185,0.001423724281812,-0.0105916787567469,0.330273702215939,1.90090224252773,-1.27061288302934,-0.110840610236542,55759,5.48209718670077,0.182411943083742,-1.2084074013938,-1.76422331141945,-0.555815910025648
"HER49L","HER49L_1D","HER49L_1D_152",141.1,6220.39,7.12,1,26954,73079,1.31,-1.05799398882995,2.28635831382679,2.04337531064637,1.65908387127794,1.57342093743577,0.323068659801421,0.40223737670535,-1.34301374234873,-0.541091498032238,-0.2299489113246,0.047483136209089,2.58157180710026,-1.40534926645853,-0.00227578070982304,55056,5.3736976151887,0.186091602395622,-0.97691535369059,-1.55418943820362,-0.577274084513032
"HER49L","HER49L_1D","HER49L_1D_153",141.2,6223.46,7.11,1,27575,73982,1.43,-0.838973847429736,2.99777395530421,2.63184367664597,0.987262808972873,0.792561750751392,0.154270817987254,-0.26909324484752,0.0231576122152604,-0.0387625884821917,0.166112758589579,1.0978480956631,2.60504317139586,-1.24782256106906,0.935603718812667,56231,5.28349536261035,0.189268643458399,-0.523248143764548,-1.48420532262427,-0.960957178859725
"HER49L","HER49L_1D","HER49L_1D_154",141.3,6226.52,7.1,1,28117,75104,1.26,-1.05799398882995,0.974685724852797,2.37684071804615,1.1469034574414,1.91228435807239,0.388303088427733,-0.00368346423359439,-1.36879056035937,-0.23969415230221,0.221967609474913,0.195611527926963,2.04433835766753,-1.17270565988797,0.0912106002715184,56363,5.50167262660053,0.181762905187235,-1.23708196293321,-2.07944154167984,-0.842359578746621
"HER49L","HER49L_1D","HER49L_1D_155",141.4,6229.59,7.11,1,28365,76284,1.34,0.365636930271427,2.28635831382679,2.88030809784581,5.10466120072374,3.35613719382841,0.630752704497413,1.24530373865547,-1.08524556224232,-1.38500406607631,0.122444420624683,NA,1.85135158457034,-1.36924939647344,0.0821635311442918,55282,5.37918301407801,0.185901836279389,-1.77389246739963,-1.7104138297741,0.0634786376255279
"HER49L","HER49L_1D","HER49L_1D_156",141.5,6232.65,7.1,1,27633,72421,1.3,-0.181913423229102,1.66386962753405,1.92568163744645,1.24002716904805,0.586297059929103,0.26625157680431,0.745708857499842,-1.21412965229552,0.0215168806638138,0.303211028944488,-0.720091257238076,1.07679656281539,-1.34354191330224,-1.89311322830018,54768,5.83659967544626,0.171332634685715,-1.0088422892394,-1.72249599836183,-0.713653709122431
"HER49L","HER49L_1D","HER49L_1D_157",141.6,6235.72,7.1,1,26602,68821,1.16,-0.400933564629313,1.39708876198002,2.42914901724611,1.69234233970889,1.29349028560552,0.281583170628928,-0.22225622473918,-0.956361472189109,0.443473164685852,-0.0583221876951224,NA,1.44973046217888,-1.94155996154004,-2.11325857706269,51415,5.47707231040564,0.182579294799549,-1.27629346590556,-1.91692261218206,-0.640629146276499
"HER49L","HER49L_1D","HER49L_1D_158",141.7,6238.78,7.09,1,26260,69956,1.37,-0.400933564629313,1.97511397068042,2.11529922204632,1.49279152912322,1.11669197918642,0.505995617493176,1.37020245894437,-0.827477382135902,-0.661650436324249,-0.079648585305886,0.936253486516333,1.32194192323615,-2.07137363542581,-1.83883081353682,50794,5.32631710051065,0.187746989360458,-1.00785792539965,-1.66018311143934,-0.65232518603969
"HER49L","HER49L_1D","HER49L_1D_159",141.8,6241.85,7.09,1,25276,69204,1.46,-0.291423493929207,2.24189483623445,2.87376956044581,2.43068033887584,1.30822347780711,0.784820191460477,2.75970072215845,-0.105726477837946,0.624311572123869,-0.728580398319119,0.330273702215939,1.93480532428804,-2.47284794707813,-2.38467065087949,48411,5.16857798165138,0.19347681384513,-1.23082424581951,-1.72186202961068,-0.491037783791162
"HER49L","HER49L_1D","HER49L_1D_160",141.9,6244.92,7.1,1,25477,72337,1.29,-0.34617852927926,3.13116438808123,3.78916479644519,1.53935338492654,1.35242305441189,1.20177941959271,2.35377988121951,-0.595486020040131,-0.420532559740227,-0.954030887347191,2.2694090119772,2.9362502009005,-2.52025181675552,-1.29299097619415,48513,4.90901339829476,0.203706920080391,-0.72054615474806,-1.64320477490492,-0.922658620156858
"HER49L","HER49L_1D","HER49L_1D_161",142,6247.98,7.09,1,25546,69715,1.33,-1.82456448373069,1.15253963522215,1.75567966504657,0.940700953169552,0.497897906719551,0.753555764837728,2.13520712071392,-1.21412965229552,-0.983140938436278,-0.584373328760623,0.0878817884957819,1.57751900112162,-2.27612188791698,-0.994437694995673,49951,5.01167408833795,0.199534124201527,-1.06755389164814,-1.87813353818515,-0.810579646537015
"HER49L","HER49L_1D","HER49L_1D_162",142.1,6251.05,7.09,1,26273,69388,1.6,-1.33176916558021,0.530050948929408,1.2652893600469,1.02717297109001,0.409498753509999,0.360345476159313,1.83857266002777,-0.698593292082696,0.985988386999902,-0.135503436191219,-0.41036825637343,2.26862028315886,-1.96854370274102,-0.931108211105087,51659,5.2015606242497,0.192249994230192,-1.40464349978809,-2.06388912867235,-0.659245628884264
"HER49L","HER49L_1D","HER49L_1D_163",142.2,6254.11,7.09,1,26388,70579,1.23,-0.838973847429736,2.33082179141913,1.69029429104661,1.80542113237409,1.20509113239597,0.567622612278401,3.83695218465026,-1.2656832883168,-0.139228370392201,-0.303067988847218,1.111314313092,2.3964088221016,-2.05113582952508,-1.67296787953767,50960,5.30380999505195,0.188543707435395,-1.01496225938118,-1.46776055657828,-0.452798297197096
