"depth","label","MSE","cps","kcps","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
815,"B",1.24,53189,16390,0.289533550170148,0.251931790407791,1.56047303013781,0.755795371223373,0.560266220459118,35.6746695745361,0.330895485908741,0.278253022241441,3.15102746808551,0.417379533362161,2.30874804940871,42.5802327548929,8.93417811953599,4.76599326599327,0.209819851642529,-1.09861228866811,-1.82358590083973,-0.724973612171622,100,97.0933839703698
815,"C",1.38,50777,17925,0.36236878901865,0.240266262284105,1.3687299367824,0.630206589597653,0.309195108021348,22.5594265120035,0.454930381865805,0.405695492053489,4.80335585008961,0.15558225180692,2.14467180022451,52.4331882545247,10.1364791145597,5.17272197396542,0.193321814903846,-0.964299951060516,-1.73989080083154,-0.77559084977102,100,96.0040963428324
816,"B",1.37,52309,16521,0.336462176680877,0.267640367814334,1.29614406698656,0.862184327744748,0.416754287025177,34.0151790322889,0.263816933988415,0.208377143512589,3.65902617140454,0.389990250243744,2.20994475138122,44.1338966525837,8.8474258731767,4.98833189282627,0.200467815992376,-1.16982491689337,-1.57750486533109,-0.407679948437717,100,96.9068420348315
816,"C",1.32,50630,17786,0.278491013233261,0.250839423266838,1.39443017973533,0.610310092830338,0.440450325893739,24.116136677859,0.106656132727632,0.319968398182896,4.51115939166502,0.373296464546711,2.32075844361051,51.7499506221608,9.6405293304365,5.3679573857816,0.186290599595435,-0.889154190439154,-1.71542815103465,-0.826273960595497,100,96.1129764961485
817,"B",1.26,50006,15874,0.255969283685958,0.313962324521057,1.34783825940887,0.745910490741111,0.49794024717034,33.9679238491381,0.267967843858737,0.413950325960885,3.27160740711115,0.279966404031516,2.48370195576531,44.1387033555973,9.22489301283846,4.78473878170388,0.208997825299021,-0.865332614295507,-1.456984305564,-0.591651691268492,100,97.2103347598288
817,"C",1.29,47120,17198,0.294991511035654,0.18251273344652,1.03777589134126,0.447792869269949,0.324702886247878,20.8404074702886,0.114601018675722,0.354414261460102,4.50551782682513,0.388370118845501,2.20076400679117,54.562818336163,10.9210526315789,4.99611348620288,0.200155581485803,-0.897510837222559,-1.73801519322136,-0.840504355998805,100,96.1757215619694
818,"B",1.25,52186,15423,0.20503583336527,0.251025179166826,1.39692637872226,0.691756409765071,0.484804353658069,38.3627792894646,0.364082320928985,0.235695397232974,2.66738205649025,0.279768520292799,2.65205227455639,40.1755260031426,9.20553405127812,4.36427976686095,0.229132881808643,-1.01368063513173,-1.71647640880751,-0.702795773675777,100,96.9723680680642
818,"C",1.49,48353,18318,0.417761048952495,0.169586168386656,1.06922011043782,0.388807312886481,0.285401112650715,19.3514363121213,0.229561764523401,0.32262734473559,4.82700142700556,0.308150476702583,1.9026740843381,56.3874009885633,10.810084172647,5.2161851922709,0.191710984779021,-0.829722715565696,-1.84132362724418,-1.01160091167848,100,96.4697123239509
819,"B",1.32,51317,15698,0.274762749186429,0.296198140966931,1.62714110333808,1.06787224506499,0.526141434612312,32.5350273788413,0.165637118303876,0.268916733246293,3.14710524777364,0.493014010951537,2.74762749186429,43.3287214763139,9.26593526511682,4.67613038906414,0.213852035079829,-1.28239476610174,-1.70355120400458,-0.42115643790284,100,95.7441003955804
819,"C",1.52,49156,17650,0.274635853202051,0.262429815281959,1.22467247131581,0.512653592643828,0.364146797949386,22.9595573276914,0.282773211815445,0.384490194482871,4.80307592155586,0.374318496216128,2.08723248433558,53.5234762795996,9.46985108633737,5.65198711063373,0.17692892436336,-0.669616683149751,-1.54044504094715,-0.870828357797398,100,96.5233135324274
820,"B",1.45,51868,15963,0.262204056450991,0.370170432636693,1.68504665689828,0.846379270455772,0.493560576848924,35.038945014267,0.219788694378037,0.239068404411198,3.2910465026606,0.445361301766021,2.43309940618493,42.2977558417521,9.36415516310635,4.51698579369981,0.221386571858334,-0.82700404104739,-1.51558500362775,-0.688580962580364,100,96.9865813218169
820,"C",1.32,45174,15919,0.301058130783194,0.250143888077213,1.27728339310223,0.442732545269403,0.374109000752645,23.5068844910789,0.367468012573604,0.2966308053305,3.91818302563421,0.301058130783194,2.84012927790322,51.9126045955638,10.4484880683579,4.96843220338983,0.201270734723466,-0.570929547835696,-1.63045444779576,-1.05952489996006,100,96.2367733652101
821,"B",1.36,53597,16266,0.264940201876971,0.384349870328563,1.58964121126182,0.957143123682296,0.479504449875926,38.2465436498311,0.0876914752691382,0.190309159094725,3.43302796798328,0.218295800138067,2.19228688172845,40.8548985950706,8.27285109241189,4.93843031123139,0.202493492259214,-0.912399676381188,-1.41971035803973,-0.507310681658546,100,97.1714834785529
